Author,Handle,Media URL,Reposts,Likes,Comments,Views,Post Link,Profile Link,Post,Date
januszy,@januszy2,,,1,,65,https://x.com/januszy2/status/1817065201084015009,https://x.com/januszy2,"@KenyaPower_Care Hey 
I am experiencing a power blackout in Utawala 
My meter number is 14245762316",27-Jul
REGISTERED NURSE,@femaleward1,,,,1,101,https://x.com/femaleward1/status/1817038304681893996,https://x.com/femaleward1,There is blackout in utawala fr now over 12hrs,27-Jul
januszy,@januszy2,,,,3,214,https://x.com/januszy2/status/1816927548242301379,https://x.com/januszy2,"@KenyaPower_Care Hey 
I am experiencing a power blackout in Utawala 
My meter number is 14245762316
Kindly assist",26-Jul
Esther Ngaru,@Estherngaru,,,,,15,https://x.com/Estherngaru/status/1816911401333739560,https://x.com/Estherngaru,@KenyaPower_Care Limuru office address the strategic blackout at Lower Kabuku.,26-Jul
REGISTERED NURSE,@femaleward1,,,,1,101,https://x.com/femaleward1/status/1817038304681893996,https://x.com/femaleward1,There is blackout in utawala fr now over 12hrs,27-Jul
januszy,@januszy2,,,,3,214,https://x.com/januszy2/status/1816927548242301379,https://x.com/januszy2,"@KenyaPower_Care Hey 
I am experiencing a power blackout in Utawala 
My meter number is 14245762316
Kindly assist",26-Jul
Esther Ngaru,@Estherngaru,,,,,15,https://x.com/Estherngaru/status/1816911401333739560,https://x.com/Estherngaru,@KenyaPower_Care Limuru office address the strategic blackout at Lower Kabuku.,26-Jul
Esther Ngaru,@Estherngaru,,,,,10,https://x.com/Estherngaru/status/1816908216737083551,https://x.com/Estherngaru,@KenyaPower_Care 37193554971 blackout every evening. No assistance from your Limuru team,26-Jul
Kidlary ke,@kidlary,,,,,86,https://x.com/kidlary/status/1816903152836174306,https://x.com/kidlary,"Utawala there's a blackout na imelast for like 5 hours now, this wasn't communicated",26-Jul
Eternally Vigilant,@wambuijl,,,1,,356,https://x.com/wambuijl/status/1816887409168072955,https://x.com/wambuijl,Why is there an unscheduled blackout now though?,26-Jul
its.denzy,@denzy_its,,,,,303,https://x.com/denzy_its/status/1816886096946503732,https://x.com/denzy_its,Should githurai 45 expect another blackout tomorrow tell us tukae tukijua,26-Jul
miss Leah muthoni,@Leah_muthoni11,,,2,,212,https://x.com/Leah_muthoni11/status/1816883221960732953,https://x.com/Leah_muthoni11,We always have a blackout in utawala airways which takes a week to be back.wat exactly is ur problem.we always see ur vehicles zikizunguka uku ama ni madem mnakuanga mkiangalia.very incompetent,26-Jul
Nickson Kiprop,@Nickirui032,,,,,908,https://x.com/Nickirui032/status/1816882654530404751,https://x.com/Nickirui032,Part of kawangware for now blackout please,26-Jul
A I,@Andrew_In22,,,,,21,https://x.com/Andrew_In22/status/1816878700618473509,https://x.com/Andrew_In22,"@KenyaPower_Care  we are having a power blackout,I have inboxed details",26-Jul
Dunamis Clements,@DunamisClement1,,,,,92,https://x.com/DunamisClement1/status/1816871465763110957,https://x.com/DunamisClement1,@KenyaPower_Care what’s happing with power in Utawala around Benedicta area? There is a blackout since 5:00 pm,26-Jul
CK,@tech_speaker,,,1,2,55,https://x.com/tech_speaker/status/1816869529127153712,https://x.com/tech_speaker,"@KenyaPower_Care I've been unable to purchase token for 4hrs now. Pls look into it, I'm in blackout",26-Jul
Aspoto,@pujols_24_,,,,1,89,https://x.com/pujols_24_/status/1816860930103193869,https://x.com/pujols_24_,"@KenyaPower_Care Hi! Power blackout since 4pm today at Thome Apartments, Gathiga area. Meter no. 14467248044.

Near Ekaya Gardens, Kindly advise.",26-Jul
Patrick Munene,@Patmsoo,,,3,1,1.5K,https://x.com/Patmsoo/status/1816835428898521449,https://x.com/Patmsoo,"@KenyaPower_Care Blackout in Kamutiine, around Accurate Health centre, lower Kabete. Account 14468269650",26-Jul
januszy,@januszy2,,,2,1,678,https://x.com/januszy2/status/1816827093272936796,https://x.com/januszy2,"@KenyaPower_Care Hey 
I am experiencing a power blackout in Utawala 
My meter number is 14245762316",26-Jul
its.denzy,@denzy_its,,,,,35,https://x.com/denzy_its/status/1816759758122054111,https://x.com/denzy_its,@KenyaPower_Care can barely hide their urge of suppressing the people of Githurai economically through numerous power blackout's note You will never see githurai in those statements they give on places that will experience power blackout's,26-Jul
Mary,@Mary71876765,,,,,24,https://x.com/Mary71876765/status/1816729813232542193,https://x.com/Mary71876765,Githurai 45 tumekuwa na blackout on and off aki please do something meter number 46201682138,26-Jul
Paps Gachanja,@papsgachanja,,,,,16,https://x.com/papsgachanja/status/1816724772933304779,https://x.com/papsgachanja,"@KenyaPower_Care blackout since last night in Molo area, Mucatha(kiambaa).
Kindly assist.",26-Jul
Ivine Kemei,@KemeiIvine,,,,2,616,https://x.com/KemeiIvine/status/1816549121504985436,https://x.com/KemeiIvine,"hello have tried since morning to load token in my meter but it keeps on telling failed, kindly assist am in blackout",25-Jul
trapp.ke,@_bund_o,,,,2,155,https://x.com/_bund_o/status/1816531514730979738,https://x.com/_bund_o,"Kindly check my DM, I need help, niko kwa blackout even after kulipa token",25-Jul
lilpussi,@I_thought_you__,,1,,,25,https://x.com/I_thought_you__/status/1816507103508647937,https://x.com/I_thought_you__,Blackout in fedha kwa ndege area since morning.  Please fix it,25-Jul
Lina Cheps,@LinaCheps,,1,,2,86,https://x.com/LinaCheps/status/1816499519703376129,https://x.com/LinaCheps,Hello Kenya Power kindly assist us we are  in a blackout. Meter no 12289187 Mogotio Rd off Parklands Rd.  Thank you. #PowerSawa,25-Jul
Cac franc,@Symonderitu,,,,1,53,https://x.com/Symonderitu/status/1816480870263378250,https://x.com/Symonderitu,"@KenyaPower_Care Another blackout in Embakasi since 1200hours, what do you people what",25-Jul
lilpussi,@I_thought_you__,,1,,,25,https://x.com/I_thought_you__/status/1816507103508647937,https://x.com/I_thought_you__,Blackout in fedha kwa ndege area since morning.  Please fix it,25-Jul
Lina Cheps,@LinaCheps,,1,,2,86,https://x.com/LinaCheps/status/1816499519703376129,https://x.com/LinaCheps,Hello Kenya Power kindly assist us we are  in a blackout. Meter no 12289187 Mogotio Rd off Parklands Rd.  Thank you. #PowerSawa,25-Jul
Cac franc,@Symonderitu,,,,1,53,https://x.com/Symonderitu/status/1816480870263378250,https://x.com/Symonderitu,"@KenyaPower_Care Another blackout in Embakasi since 1200hours, what do you people what",25-Jul
Maureen Gikonyo,@GikonyoMaureen,,,,2,172,https://x.com/GikonyoMaureen/status/1816463092345098532,https://x.com/GikonyoMaureen,@KenyaPower_Care there is power blackout at Astrol Utawala. Kindly restore.,25-Jul
...,@NdungaAugustine,,,,2,77,https://x.com/NdungaAugustine/status/1816443315778170904,https://x.com/NdungaAugustine,"@KenyaPower_Care 
THERE HAS BEEN A BLACKOUT IN ZIMMERMAN SINCE MORNING...9HRS LATER AND NOTHING HAS BEEN DONE.
WHY ARE YOU MISBEHAVING EVERY NOW AND THEN???",25-Jul
James Njumwa,@nuwjam,,,,2,107,https://x.com/nuwjam/status/1816379159184040048,https://x.com/nuwjam,@KenyaPower_Care we are not scheduled for any outage but a section of kinoo is experiencing power blackout since jana usiku mtr 92110095343. Kindly assist tuingie kazi bana.,25-Jul
clydedrexler,@clydedr58957812,,,,2,81,https://x.com/clydedr58957812/status/1816374203295080491,https://x.com/clydedr58957812,No power in meru makutano what's happening we keep experiencing blackout,25-Jul
Rita Mureithi,@ritamureithi,,,,2,59,https://x.com/ritamureithi/status/1816312968138645702,https://x.com/ritamureithi,@KenyaPower_Care please check on power that keeps going on and off. Metre no 01450663453. This has been happening since last night when there was a blackout.,25-Jul
Zek Zek,@Ezekiel_Mulwale,,,,3,61,https://x.com/Ezekiel_Mulwale/status/1816179117467038162,https://x.com/Ezekiel_Mulwale,@KenyaPower_Care hello...need to make a complaint. Why is my area experiencing blackout whereas my neighbouring area doesn't,24-Jul
BrianMash,@BrianMash_M,,,1,1,29,https://x.com/BrianMash_M/status/1816172204083515624,https://x.com/BrianMash_M,"@KenyaPower_Care Evening 
We have had a blackout in our area from around 8pm ruiru around zetech University and rainbow resort  acc no 54607502520
Kindly help on the issue",24-Jul
Pier Agulu Ochayo Mach,@pieragulu,,,,1,32,https://x.com/pieragulu/status/1816164437809639933,https://x.com/pieragulu,"@KenyaPower_Care Blackout in buru buru phase 1, possible transformer explosion. Acct. No. 37940107. Kindly assist.",24-Jul
Mocha Mami,@sheabutterrbaby,,1,1,1,62,https://x.com/sheabutterrbaby/status/1816135267364778255,https://x.com/sheabutterrbaby,@KenyaPower_Care must there be a blackout in langata every week???! Address this,24-Jul
Qúàmbîzŷ,@Shazzy_011,,,,2,34,https://x.com/Shazzy_011/status/1816003163624808480,https://x.com/Shazzy_011,"@KenyaPower_Care. Good morning. There is a power blackout in Kamurang'a, Kiserian, kindly assist.
Account number - 20814665",24-Jul
Victor Magak.,@OchiengMagak,,,,2,22,https://x.com/OchiengMagak/status/1815996574872330565,https://x.com/OchiengMagak,"@KenyaPower_Care 
Dear customercare no..kindly check on us what's wrong with electricity supply in a small section within an estate every week it's blackout,it's now 5 days without electricity on this week,yet we're just adjacent to Ruaraka power substation..metre no.14467306750.",24-Jul
J Nyakundi,@JNyakundi16,,,,1,10,https://x.com/JNyakundi16/status/1815947469089345637,https://x.com/JNyakundi16,@KenyaPower_Care Morning! We got a blackout in my area since 10 pm  last night a/c 14107214695,24-Jul
iykeOfficial,@Iyke254,,,,3,156,https://x.com/Iyke254/status/1815853755373609181,https://x.com/Iyke254,People of luckysummer have had a blackout since Sunday up to date ...kindly do something.,23-Jul
Guardian Angel,@mikemurimi_ke,,,,,32,https://x.com/mikemurimi_ke/status/1815783543148081349,https://x.com/mikemurimi_ke,"@KenyaPower_Care It's 24hrs now without electricity...no one has said anything, this is sad for a country that prides itself as efficient in terms of service delivery...there are countries that have never experienced a blackout for 70years.",23-Jul
Festus Kagika,@KagikaFesto,,,1,1,46,https://x.com/KagikaFesto/status/1815779613517271548,https://x.com/KagikaFesto,"@KenyaPower_Care  We have experienced power blackout at Umoja 2, Embakasi West, Nairobi, since morning and someone claiming to be your customer care person is calling me and asking suspicious questions, asking me to share my mpesa transactions. Is this your number +254104813773?",23-Jul
simon kibe,@kibesimo,,,,2,29,https://x.com/kibesimo/status/1815776116210053212,https://x.com/kibesimo,"@KenyaPower_Care ,@KenyaPower    hello kindly note we have been on power blackout since yesterday at 3:30pm , Old Kiambu town kangoya mtr 20554903 kindly sort it out.",23-Jul
Festus Kagika,@KagikaFesto,,,,1,48,https://x.com/KagikaFesto/status/1815775705189491142,https://x.com/KagikaFesto,"We have had a power blackout the whole day today (Tuesday) in Umoja 2, Embakasi West, Nairobi. What's the matter?",23-Jul
simon kibe,@kibesimo,,1,1,1,32,https://x.com/kibesimo/status/1815737763150401931,https://x.com/kibesimo,@KenyaPower_Care hello kindly note we have been on power blackout since yesterday at 3:30pm  Old Kiambu town mtr 20554903 kindly sort it out.,23-Jul
iykeOfficial,@Iyke254,,,,3,156,https://x.com/Iyke254/status/1815853755373609181,https://x.com/Iyke254,People of luckysummer have had a blackout since Sunday up to date ...kindly do something.,23-Jul
Guardian Angel,@mikemurimi_ke,,,,,32,https://x.com/mikemurimi_ke/status/1815783543148081349,https://x.com/mikemurimi_ke,"@KenyaPower_Care It's 24hrs now without electricity...no one has said anything, this is sad for a country that prides itself as efficient in terms of service delivery...there are countries that have never experienced a blackout for 70years.",23-Jul
Festus Kagika,@KagikaFesto,,,1,1,46,https://x.com/KagikaFesto/status/1815779613517271548,https://x.com/KagikaFesto,"@KenyaPower_Care  We have experienced power blackout at Umoja 2, Embakasi West, Nairobi, since morning and someone claiming to be your customer care person is calling me and asking suspicious questions, asking me to share my mpesa transactions. Is this your number +254104813773?",23-Jul
simon kibe,@kibesimo,,,,2,29,https://x.com/kibesimo/status/1815776116210053212,https://x.com/kibesimo,"@KenyaPower_Care ,@KenyaPower    hello kindly note we have been on power blackout since yesterday at 3:30pm , Old Kiambu town kangoya mtr 20554903 kindly sort it out.",23-Jul
Festus Kagika,@KagikaFesto,,,,1,48,https://x.com/KagikaFesto/status/1815775705189491142,https://x.com/KagikaFesto,"We have had a power blackout the whole day today (Tuesday) in Umoja 2, Embakasi West, Nairobi. What's the matter?",23-Jul
simon kibe,@kibesimo,,1,1,1,32,https://x.com/kibesimo/status/1815737763150401931,https://x.com/kibesimo,@KenyaPower_Care hello kindly note we have been on power blackout since yesterday at 3:30pm  Old Kiambu town mtr 20554903 kindly sort it out.,23-Jul
Robert,@BobbyNyagah,,,,1,23,https://x.com/BobbyNyagah/status/1815706318088417548,https://x.com/BobbyNyagah,"@KenyaPower_Care Hello, residents of Kware are still suffering for 6 days blackout. They are Kenyan Citizens too, kindly move in speed to restore power, as businesses have been closed and security is questionable.",23-Jul
Natalie 254,@NjeriNatas28854,,,1,2,385,https://x.com/NjeriNatas28854/status/1815675942917800405,https://x.com/NjeriNatas28854,Kindly we are experiencing blackout at Kasarani Mwiki area for the second day now,23-Jul
ik,@ik11548049,,,1,2,339,https://x.com/ik11548049/status/1815662483014664546,https://x.com/ik11548049,@KenyaPower_Care We had a planned scheduled blackout last week (Kiu Kenda /Waverly Estate). We are not on this week's list yet we have no power yet again. Meter Number is 37164491245.,23-Jul
Lewnatic,@LLewnatic,,,,,19,https://x.com/LLewnatic/status/1815643358708060517,https://x.com/LLewnatic,@KenyaPower_Care why is there a blackout for the second consecutive day in Athi river?,23-Jul
MB,@KE_MikeDev,,,,,50,https://x.com/KE_MikeDev/status/1815640929727844583,https://x.com/KE_MikeDev,"We've been in a blackout since yesterday morning 9am at Kibos Kisumu, acc no. 21557277. Kindly restore power",23-Jul
MB,@KE_MikeDev,,,,2,101,https://x.com/KE_MikeDev/status/1815640454781657325,https://x.com/KE_MikeDev,"@KenyaPower_Care Gd morning, we've been in a blackout since yesterday morning 9am at Kibos Kisumu, acc no. 21557277. Kindly restore power",23-Jul
idawosmalalo,@ma77978,,,,1,60,https://x.com/ma77978/status/1815633206432915729,https://x.com/ma77978,@KenyaPower_Care blackout drive in,23-Jul
Njonjo,@KahatoNjon93953,,,,,19,https://x.com/KahatoNjon93953/status/1815622304052691307,https://x.com/KahatoNjon93953,"Even this morning, there's a blackout",23-Jul
MB,@KE_MikeDev,,1,,1,28,https://x.com/KE_MikeDev/status/1815480948458233864,https://x.com/KE_MikeDev,"@KenyaPower_Care Hi we've been in a blackout since morning 9am at Kibos Kisumu, acc no. 21557277. Kindly restore power",22-Jul
African Prince,@odenyoscar,,,,,26,https://x.com/odenyoscar/status/1815474478807453970,https://x.com/odenyoscar,Anytime kuna protest kuna blackout.,22-Jul
Mohamed Mahamood,@Iam_Moha9,,,,1,25,https://x.com/Iam_Moha9/status/1815453252911329664,https://x.com/Iam_Moha9,"@KenyaPower_Care  Hi ,Shauri moyo shopping centers, around SDA Church - Shauri moyo police station  we are experiencing blackout for 12 days now . Kindly work on this, Thank you ! .",22-Jul
Good Fundi Services,@GoodFundi,,,1,,137,https://x.com/GoodFundi/status/1815452996580352369,https://x.com/GoodFundi,We at Seasons Kasarani just experienced a blackout. kindly help us out. S. O. S.,22-Jul
Moz Njugz,@Mosesn2,,,1,,680,https://x.com/Mosesn2/status/1815447372089921775,https://x.com/Mosesn2,@KenyaPower_Care  power poles have rammed onto a building near scholar  academy githurai.Blackout all over.A/c 54602839760 mbl 0786409725,22-Jul
Grace Gachagua,@gachagua_grace,,,,,123,https://x.com/gachagua_grace/status/1815443068314591576,https://x.com/gachagua_grace,"Am not in the planned power interruption area yet am in a blackout since 8.15 pm .my meter number is
37267153338",22-Jul
The Sniper,@kelvin_ramah,,,,,176,https://x.com/kelvin_ramah/status/1815442054203294020,https://x.com/kelvin_ramah,Mtr no: 54405704518 3hrs of blackout jameni.,22-Jul
its.denzy,@denzy_its,,,3,,815,https://x.com/denzy_its/status/1815441439419166897,https://x.com/denzy_its,Why do the people of Githurai always have to experience power blackout every time and again. We are starting to suspect this as a deliberate attempt to cripple the economy of this area you know very well the majority here are business owners.,22-Jul
Grace Gachagua,@gachagua_grace,,,,,123,https://x.com/gachagua_grace/status/1815443068314591576,https://x.com/gachagua_grace,"Am not in the planned power interruption area yet am in a blackout since 8.15 pm .my meter number is
37267153338",22-Jul
The Sniper,@kelvin_ramah,,,,,176,https://x.com/kelvin_ramah/status/1815442054203294020,https://x.com/kelvin_ramah,Mtr no: 54405704518 3hrs of blackout jameni.,22-Jul
its.denzy,@denzy_its,,,3,,815,https://x.com/denzy_its/status/1815441439419166897,https://x.com/denzy_its,Why do the people of Githurai always have to experience power blackout every time and again. We are starting to suspect this as a deliberate attempt to cripple the economy of this area you know very well the majority here are business owners.,22-Jul
Deogratias Leo Boy,@DeoLeoBoy,,,,,18,https://x.com/DeoLeoBoy/status/1815428127050330181,https://x.com/DeoLeoBoy,@KenyaPower_Care Hi we have no power in Ngong' around Zambia area. The blackout occurred at 7.30om. The Acc is 151440963.,22-Jul
EVE MUIA,@eve_muia,,,,,59,https://x.com/eve_muia/status/1815409020850593904,https://x.com/eve_muia,What of Kitengela? Blackout without notice Hadi saizi. 6:30 pm?,22-Jul
MERCY NDUNGE,@MERCYND56580545,,,1,2,45,https://x.com/MERCYND56580545/status/1815371660440047678,https://x.com/MERCYND56580545,"Blackout in gimu  estate,athriver, 14240689092",22-Jul
Duke,@MoonDukee,,,,2,109,https://x.com/MoonDukee/status/1815360911428698244,https://x.com/MoonDukee,"@KenyaPower_Care Hey, there's been a blackout Since morning at Nalepo and its environs. Any update? Mtr no. 37150664086",22-Jul
BrianMash,@BrianMash_M,,,,2,33,https://x.com/BrianMash_M/status/1815296372423249923,https://x.com/BrianMash_M,"@KenyaPower_Care Morning Thank you for restoring the power back yesterday 
We have had a blackout in our area from around 8am again in ruiru around zetech University and rainbow resort  acc no 54607502520
Kindly help on the issue",22-Jul
Peter Waruru,@waruru_pet20234,,,,,24,https://x.com/waruru_pet20234/status/1815293905279025401,https://x.com/waruru_pet20234,"Here in Karatina Nyeri,power outage knocked the door at 6pm yesterday and during the there was unwarranted power interruption; on and off.Therefore,It seems we are going to have power blackout for almost 24 http://hours.It's truly disheartening!",22-Jul
Diana Babu,@Dinahbabu,,,,2,23,https://x.com/Dinahbabu/status/1815291604783001744,https://x.com/Dinahbabu,"Unscheduled power blackout
54400789225",22-Jul
MB,@KE_MikeDev,,,,1,40,https://x.com/KE_MikeDev/status/1815280433271025833,https://x.com/KE_MikeDev,"@KenyaPower_Care Gd morning, we're in a blackout at Kibos Kisumu, acc no. 21557277",22-Jul
