Author,Handle,Post,Date,Likes,Reposts,Comments,Post Link,Profile Link
abel chumba,@chumbaabel10,The only real way to bring the cost of electricity down is by legalizing all the illegal connections. The lazyness inside the ACs can't allow you to think straight,6-Feb,,,,https://x.com/chumbaabel10,https://x.com/chumbaabel10
Patrick LumumbaOkamo,@jacongo24,"This work requires a bigger team of qualified technicians to inspect right from the transformer, evaluate the possibility of overload, and shed off load or step up the supply and inspect for illegal connections. AM VERY TIRED AND FRUSTRATED",29-Jan,,,,https://x.com/jacongo24,https://x.com/jacongo24
Patrick LumumbaOkamo,@jacongo24,"Power has been restored, but I am afraid it may not last long. How I wish your team would carry out  thorough inspection, upgrade the transformer or the phases, and replace all the messy naked wires behind the Migosi Police post and weed out the illegal connections",30-Jan,,,,https://x.com/jacongo24,https://x.com/jacongo24
Patrick LumumbaOkamo,@jacongo24,"NO POWER. One of your staff came but failed to detect where the problem was. Am not an expert, but behind Migosi police post the place where transformer was removed, there is a mesh of many cables some hanging loosely and maybe illegal connections in a slum next to it",29-Jan,,,,https://x.com/jacongo24,https://x.com/jacongo24
Marangu M. M. M #4,@Mimwama,"@KenyaPower_Care Good evening my power meter was faulty and was changed today A/C 43317136, Kiembeni Blue Estate now causing irregular supply... going on & off. Please can and rectify the loose connections because it looks like something is very loose!",10-Jan,,,,https://x.com/Mimwama,https://x.com/Mimwama
citizens' Observer,@gilbertkemo,"@KenyaPower_Care this is becoming too much now. Kindly let us know if we have illegal connections hapa kitale 14467666195. There is no power.
Kindly help",8-Jan,,1,1,https://x.com/gilbertkemo,https://x.com/gilbertkemo
Basil Oberholzer,@basiloberholzer,Account No. 20205266 has not had power connection for over 4 weeks after a transformer exploded. Can you please have this fixed?,30-Jul,,,1,,
Kenyan Wall Street,@kenyanwalstreet,"More than 9,000 households are set to benefit from electricity connection after the Japanese International Co-operation Agency (JICA) allocated a grant worth KSh 1.85 billion to utility provider, @KenyaPower (KPLC).

- The completion of Phase V of the last mile connectivity",30-Jul,2,1,,,
Fredrick Obondo,@FredrickObondo7,"@KenyaPower_Care @KenyaPower ,my question is, how do my ward or village in Kisumu south west qualify for last mile connections @StateHouseKenya ? Since it's launch, my area has never benefited as other regions in Kenya. @AokoOtieno_ help know how to go about this.",29-Jul,1,,1,,
The Humble Ancient,@Nginyahn,"Ndugu Mutoro, who pays the monthly bills after connection?",29-Jul,,,,,
Sh Mohammad Sagana,@MOHAMMAD486,"@KenyaPower someone is selling information to fraudsters and they use it to con people 
Like when you apply for electricity you are called severally asked to send money for connection please help",27-Jul,,,,,
Much T,@mainawang247,"@Kevin_Sang, Please come to our rescue. Illegal connections are keeping us in darkness on most days at Buruburu Phase 1, Tamarisk crescent next to Nairobi River primary and SOS children's village. Our daily complaints are falling on deaf ears. Please help us.",27-Jul,,,,,
Hanny,@Hannyhdc,"The rate at which our tokens get depleted is alarming.
Could you  please investigate and confirm if our meter is functioning correctly and that our connection is not inadvertently linked to another household.
Our meter number is 54402146630",25-Jul,,,2,,
Johnson Muthui,@jnmuts,@KenyaPower_Care @KenyaPower @JosephSiror how do you justify a whole year's delay in connecting a client who's dully applied & paid for power connection under reference No.E21482023070041. Deliberate delay tactic at Tala office to solicit bribes? @kot @bonifacemwangi @C_NyaKundiH,22-Jul,,,,,
Daniel Kaguru,@danielkaguru,@KenyaPower  30764338.  I need a r connection for my account. No lights for a whole day.,22-Jul,,,1,,
Bläck™,@OtienoRodg1093,You guys needs a competitor awape pressure..come check your last miles connections here in siaya,21-Jul,,,,,
Martin Karioki,@KariokiMartin,"Hello,my token metre is displaying  failed connection . Even when I try to recharge the token it fails.",20-Jul,,,,,
Kams Nation,@kams_nation,I pity the demonstrators because I do not get any connection with blocking of the road and KPLC. This is nonsense of the highest order. They must style up and shape up! Why don't they uproot all the power posts from their region? There is a lot of nonsense in the country.,20-Jul,,,,,
Keif,@keifrel,Say NO TO BRIBES to @KenyaPower_Care do not delay power connections.,19-Jul,,,,,
Prof. Steve,@DukesStve,"Who owns KPLC, because at the rate we have incidences with their poor quality, I believe this industry should be privatized. And competition be set to be fair so as we can have connection throughout the nation, at a cheaper price.",19-Jul,,,,,
#RutoMustGo,@_kieyah_,"You are talking gilberish , KPLC has failed on its job ,just like the National government,
Correcting the parastatals has to be the first step!!
Demanding for electricity I paid for connection can't lead to anarchy!!
KPLC just has to send technicians to correct the fault!!",19-Jul,1,,,,
christine,@christinenjagi4,"Hi. My token is giving the error ""Connection failed"" I can't even load anything. I'm running out of tokens. Meter no. 14284184943",19-Jul,,,2,,
Musa moses(The Great),@Dj_Musa_Moses,"@KenyaPower_Care @KenyaPower since 2016 my bro in taveta town town has never had a connection to electricity,,,,how do you charge ksh70,000 for just a drop,,,,,to date ako kwa giza tu,,your day is coming",18-Jul,,,,,
Phylis Johnson,@PhylisJ34740540,@KenyaPower what explanation can you offer to a frustrated http://client.New connections have taken one year since the customer paid.,17-Jul,,,,,
Phylis Johnson,@PhylisJ34740540,"My power new application connections has taken one full year @KenyaPower .
What is being done # Kenya power Tala office",17-Jul,,,,,
Phylis Johnson,@PhylisJ34740540,@KenyaPower I applied for power connection last year July. It's already one and the connection not http://done.am sure you are seeing my posts but still choose to ignore.#Delayed connections # Kenya power Tala office,17-Jul,,,,,
Phylis Johnson,@PhylisJ34740540,@KenyaPower  how long do I wait for my power connection to be done?I paid in August 2023. Your tala office has been managing me.Can you refund back my money or I sue you?,17-Jul,,,,,
Phylis Johnson,@PhylisJ34740540,I applied for power connection and paid in August 2023.Up to date the connection has not been done.What is the SLA.kindly consider refunding my money back for me to pursue othe sources of power.I have been patient for one year and it seems I will not be served,16-Jul,,,1,,
Pytah Kyle,@PeterKibira6,"My meter number is taking too long to update,then says connection failed",15-Jul,,,1,,
DAVIKA,@kausyajack,"@KenyaPower Thitani-Nzuli Secondary, Power connection down for a week , Kindly response ASAP,public amenities & Businesses negatively affect",15-Jul,,,1,,
Ngeus wa Githomo,@makwelakwela,"@KenyaPower @KenyaPower_Care
We've in darness since 28/06/2024, how will disconnecting electricity in whole  area solve power theft when your guys are the ones doing those illegal connections and collecting monies end month? 85% of people in my area have legit mtr number.",14-Jul,,,,,
reinhert,@octavy97,"@KenyaPower We  lost power connection since Friday night and no signs of restoration  in the affected area.Eastleigh section 1,Melawa road near Anas pre School.Kindly address the issue.",14-Jul,,,,,
Money Man,@MoneyManInc_,Getting connected to the grid by @KenyaPower_Care @KenyaPower has become the hardest task despite paying fully the connection fee. Their Ngong office is full of extortionists & the snail pace is deliberate. We need to #OccupyKPLC & demand better services @bonifacemwangi @Kimuzi_,13-Jul,,,,,
Money Man,@MoneyManInc_,"We really need to deal with rogue service providers like @KenyaPower @KenyaPower_Care who despite a customer paying for connection they are still harassed and asked for bribes. @Kimuzi_ said their CEO is incompetent, I believe the entire org is a crime scene.",13-Jul,,,,,
Johnson Muthui,@jnmuts,He's too mean to act on the whole list I don't know why! #ProsecuteCorruption @KenyaPower is just an example of parastatals which must be cleaned! A monopoly making losses with connection applications remaining unattended for more  than 6 months? @WilliamsRuto,11-Jul,,,,,
Old Monk,@OldMonk_11,Atandi there is no electricity connection from Unyolo stage all the way to kodiere market. There is power lines but hakuna droppings. @orengo_james @KenyaPower @KenyaPower_Care,11-Jul,,,,,
plant mama,@plantmamaKe,"@KenyaPower @KenyaPower_Care Our connection was cut due to not paying the bill. We then paid the bill + reconnection fee. Tell me why 48 hours we still had no power? The third time we went, the customer care agent asked us to PAY HIM directly to his number to reconnect it. Wtf?!",10-Jul,,,2,,
jared mokamba,@mr_mariaria,Your government with Uhuru did a lot in terms of last mile connectivity between 2013-2022. Currently Kenya Power @KenyaPower  bringing down those connections especially in Kisii land. Not sure if they are reading your tweets,10-Jul,3,,,,
Aleko ke,@Alekoke543685Ke,my ciu has connection problems isn't loading tokens.54501319328,9-Jul,,,,,
JONES,@Gentlejones_,"In Kinoo, we have not had power for a week now, and apparently, @KenyaPower is telling the affected landlords to purchase a new transformer because the other one had an overload issue. Like seriously, @KenyaPower_Care, aren't you the ones in charge of connections? #RutoMustGo",9-Jul,,,1,,
Moses Okoth- Homotechnologicus,@mozzdeff,@KenyaPower  @KenyaPower_Care  Siaya County is like Nigeria......just buy a generator....no use of having a meter box or a connection....what for?Wafanyikazi wenu nao drinking 24 hours!,7-Jul,1,,1,,
Meek_™,@Titusmeek_,"@KenyaPower_Care @KenyaPower @Kenyapower__8 I have an issue with my ciu,keeps on saying connection failed.I have bought new batteries but still doesn't pick.kindly assist 
Meter number :37193483270",7-Jul,,,5,,
Optimize Your Life,@awesamone,"@KenyaPower_Care @KenyaPower  we are having a challenge with power connection on account no: 2050334, name Glory Realm International Ministries. Kindly reconnect so we can proceed with service. Thank  you",7-Jul,,,,,
HILARY,@hilary_kartel,"@KenyaPower_Care @KenyaPower, what's happening with connection at #Githurai45?",6-Jul,,,,,
Le Patron Papaa Mugwe,@Papaa_Mugwe,"@WilliamsRuto Mr. President just wanted to ask about the last mile electricity connection.  In Lamu county, Mpeketoni to be specific we have places that are to get electricity and @KenyaPower are asking for lumpsum amount of money to connect. Do something Boss. 0729158067 my no.",6-Jul,,1,,,
Daniel Kimari,@DanielKimari4,"@KenyaPower_Care @KenyaPower
This customer was connected together with others two years ago. Nyahururu pondo dam project. It doesn't make sense investing in lines construction, distribution, connection and metering only to leave citizens with cables hanging.",5-Jul,,,1,,
GathoniNjuguna,@EsterNjuguna,"Dear Kenya Power, How long does one wait for to get electricity connection or the finance bill also affected this?",3-Jul,,,1,,
Nelson Mosomi,@MosomiNelson,"I need a new connection, what should I do. Am 100m from the kplc post to my compound",29-Jun,,,1,,
StrugglingSmallWig,@usiniambie_,"Hi, I am unable to reload tokens because the meter shows connection failure
Meter no. 92105249988
Kindly assist",26-Jun,,,3,,
The Dux,@okeyo_wilfred,"@KenyaPower do not be used a proxy by this gvt to ensure that there is no power>hence no internet connections..
We know this gvt and their ploys.

#RejectFinanceBill2024",24-Jun,1,,,,
Socrates Kipruto,@KiprutoKE,Hello am unable to update or reset mite it has a connection failure,24-Jun,,,1,,
Dr.benrise,@benrisem,"Whenever i insert the given token it popps out Connection failure and gives me in accurate reading, How does onr navigates about these?",24-Jun,,,,,
Samuel Ngugi,@lilisamje,How long does required to wait for a new connection to b connected,22-Jun,,,,,
Kritikal Bex,@kritikalbex,"What's the essence of purchasing tokens that are useless. What's the importance of having a power connection without the light. Again, what's the importance of raising concerns that are less likely to be attended to. Why is your system taking that long, to be restored.",21-Jun,1,,1,,
Gratia Donum Dei,@GratiaDonum,The corrupt dude @HonMwengiMutuse it is said that he has an illegal power connection of 20 kms @KenyaPower,21-Jun,,,,,
Gratia Donum Dei,@GratiaDonum,The corrupt dude @HonMwengiMutuse it is said that he has an illegal power connection of 20 kms @KenyaPower,21-Jun,,,,,
Leley,@pkomot,@KPLC I paid for power connection 2 months ago and still no connection. I keep being told poles are unavailable. Please address this issue urgently.  @KenyaPower_Care @KenyaPower @kplc,21-Jun,,,1,,
HM Gitary,@HarrisGitary,"The president directed @KenyaPower to uphold illegal connections. Alisema “ukipata mtu hana mita, usikate stima weka mita”",20-Jun,,,,,
Jared Rotich,@JaredRotich2,I've  bought tokens but it's  not loading ...im getting a reply connection failed,20-Jun,,,1,,
lennox,@lennox018,I have just bought tokens but when I key them in the meter keeps on saying connection failed,20-Jun,,,2,,
Akaco Adeke,@Adekeakaco,@KenyaPower @KenyaPower_Care . How long does it take to get new connection? I paid in April. I haven't received any communication,19-Jun,,,3,,
Mike Makori,@thee_cadillac,Hi kplc. My meter is having connection issues too. It could stay up to two days before showing network. I have tried calling your customer care but all I'm told is get new batteries! For sakes I did. How can you help?,19-Jun,,,5,,
BLESSED JC,@blessedjcn,Connection fee please,18-Jun,1,,,,
Robert Wafula,@waf254,"Hi, I am unable to reload tokens because the meter shows connection failure.",14-Jun,,,3,,
The Kenya Power & Lighting Company Plc.,@KenyaPower,"Yesterday we held a productive customer engagement forum where we addressed concerns around power supply quality and reliability in Bungoma County.

We educated consumers about electricity safety, illegal connections, and fraud, all of which are crucial in reducing the level of",14-Jun,25,2,46,,
The Kenya Power & Lighting Company Plc.,@KenyaPower,"Yesterday we held a productive customer engagement forum where we addressed concerns around power supply quality and reliability in Bungoma County.

We educated consumers about electricity safety, illegal connections, and fraud, all of which are crucial in reducing the level of",14-Jun,25,2,46,,
Alphonce Nzomo,@AliphonceNzomo1,What if I changed the phone number I was using when applying for connection. Where will get the code from ?,13-Jun,,,2,,
The Next Big Thing,@murrayk1,"When you want Electricity Connection you go to @KenyaPower you get a Quotation you pay you get Connected 
It has nothing to do with the Finance Bill 
Also through our Tokens or Monthly Bills we Kenyans pay REP Fees @RERECMashinani to cater for Rural Electrification",13-Jun,1,,,,
Betty Mbugua,@BettyMbugua9,"Tokens aside, just getting power connection is a nightmare, takes forever. Where's the professionalism that was there before????",13-Jun,,,1,,
Webster,@web__ster,"@KenyaPower_Care @KenyaPower there seem to be a recurring power outage due to improper phase connection in some buildings and it takes days to get power back. From yesterday 1900hrs and counting, no power and this might go till Monday as usual. This has been frustrating. Check DM",13-Jun,,,,,
Kui_Kogi,@KuiKogi,You terminated power connection two weeks ago meaning we are suffering without lightning and water. Businesses are at a standstill and we still don't understand why people should privately buy a transformer.,13-Jun,,,,,
Rommel Lukila,@RLukila,When are you continuing with the last mile connections in Taita? The team came and connected cables and left. It’s now 2 months as we wait for transformers,12-Jun,,,,,
Sambrian Mbaabu,@MbaabuSambrian,@KenyaPower_Care @KenyaPower How can you send your team and threaten to cut electric connection to the whole apartment 'coz some tenants haven't paid arrears? Is that fair to the rest of the tenants? @C_NyaKundiH @edgarobare,12-Jun,18,6,6,,
Dennis howse Bett,@DennisBett19527,It's connection with a very powerful voltage,12-Jun,,,,,
RamaJayi,@RamaJayi,Hi. How do I change my post paid connection to pre-paid meter?,12-Jun,,,3,,
The Next Big Thing,@murrayk1,"Unblock Customers Meters you are Blocking 
How do you Expect Customers to get Power or you expect them to do Direct Connections then your Hordes of Security & Others have an Extortion / Bribery Field day
How do you Expect to get REVENUES when Customers Cannot PURCHASE TOKENS",11-Jun,1,,2,,
Tonnie Tonnie,@kibeanthony,"I ran out of tockens I installed new batteries on the wireless CIU  but it wount establish a connection with the unit at the meter box unless I plug it at Neighbours.

I thought it could work with batteries",10-Jun,,,2,,
Ephantus Mugo,@Ephantu64388618,"Okay, waiting free connection of power",10-Jun,,,,,
Twahir Mwale,@TwahirMwale,Jamani help me I paid for power connection for two homes in 2021 till today no power connection where can I complain jamani kindly help,10-Jun,,,1,,
Moha,@Mp3tubeV,"@KenyaPower 
SF40F5VTQO Confirmed. KSH. 500 sent to KPLC (888888) for account 0108852 via MySafaricom App on 04-06-2024 18:19.

Rhapta road. 
Despite paying Kplc, still they come on a Saturday to disconnect the connection.
After so many calls no response.
So unprofessional.",8-Jun,,,2,,
The Next Big Thing,@murrayk1,"The Underground System would have made Connections tidy , neat & Safe but Poles & Overhead Conductors Tender preneurs felt their Supply Business was Threatened & Sorting Way leaves would turn into a Scandal 
The Turret Connection System like in Abroad is so Good & Efficient",7-Jun,3,1,1,,
The Next Big Thing,@murrayk1,"As usual the Ambitious Underground Cable Connections were Derailed & Sabotaged because of Impunity, Corruption and Ineptitude",7-Jun,4,,3,,
Raphael Wekesa Biketi,@Raphaelbiketi,"@KenyaPower_Care 
@KenyaPower you are unable to make a stable power supply, how will you ensure stable internet connection 
@davis_chirchir",4-Jun,,,,,
The Next Big Thing,@murrayk1,"Just launching Mirage Projects but cannot Handle Basis 
Customers are waiting Forever for Connection to their Premises with 25mm2 Service Cable Entry Lines others whose Meters are Stolen might wait till the 2nd Coming of Jesus then Quotations are so Exorbitant so Ridiculously",3-Jun,,,,,
Justin ambani,@JustinAmbani,"As we celebrate our progress your core desire should be one day kenyans will celebrate end of unnecessary power blackouts,Kenyans will celebrate an ease to power connection upon application and submitting your payments, Kenyans will celebrate an ease in cost of electricity.",1-Jun,,,,,
Maneno Bin Matamshi,@ManenoBmatamshi,"Hello how to apply for power connection in my plot at Kikambala, Kilifi county",31-May,,,1,,
chief Advisor to Kim Jong Un,@pindre360,"Hii ni kitu tu ya wakale, hata ukiona. Anyway, kindly do CSR within your industry, like training on safe use of electricity, providing free connection to elderly ppl homes or orphanages etc. Not this garbage.",31-May,,,,,
Richard Silla,@RichardSilla4,@KenyaPower I applied for supply connection recently using self-service portal. Today I get a call from one of your agents who claimed to be calling from Ruai office. Advises me that he wants to send me a quote for 35K but if I send him 10k initially he would adjust it to 15K.,31-May,,,,,
wanjohi joe,@wanjohip33,@DavisChirchir8 We want connection to Solar without argument solar is a common good for all of us not @KenyaPower to control and decide they should not fix a token for my sunshine? Are you suggesting @wasreb is extort us from using Atmospheric water generators AWG come out now?,29-May,,,,,
Steve Munguti,@MungutiMunguts,"How. I have been following up for my connection for over 3 years even willing to pay hut no help. @KenyaPower @davis_chirchir. Sir CS, can you help please? My case is in Machakos KPLC offices.",28-May,,,,,
The Next Big Thing,@murrayk1,"A Company which is in the red financially is talking of Connections without Pay
It seems @KenyaPower didn't learn from the Earlier Gpoba & Politically Influenced Last Mile Connections 
@EnergyMinK",28-May,1,,,,
Marck Patiat,@MarckPatiat,"The kenya power officials in Narok are in cahoot with simon yiaile from oloolaimutia in maasai mara who does the connections of the power illegally and collect the agreed amount on a monthly basis,the said person(simon) even has the audacity to tell people to go to hell.",28-May,,,,,
Brian Kibet,@kibe_bn,Hello my meter keeps saying connection failed when I enter the  token number. Please help 37207710015,26-May,,,2,,
Emoji,@emosmoses,"Just a matter of being careful on specificity. The team should ensure connection of electricity between mbaikini boys school and nyaani market, that's wamunyu. Machakos County.",25-May,,,,,
Jelani,@Polars2011,Their connection fees are exorbitant and unreasonable. You just have to pay.,23-May,,,,,
Achieno Mukudi,@AchienoM1092,"It's almost 2 years since I paid for power connection to my house. I can't stand the tossing around I have been subjected to. Everytime I enquire, am asked to DM the nearest landmark, Ref.  No & my cellphone. Then silence follows the circle. I wish my money could be refunded",23-May,,,1,,
Kangethe,@Kangethe_67,"This is total crap,at this time,all KPLC stores, there's no cable to connect new customers, you are given an  inflated quote but keep on begging for connection, useless company",23-May,,,,,
The Kenya Power & Lighting Company Plc.,@KenyaPower,"Eng. Kennedy Owino: The quote you get from Kenya Power after applying for an electricity connection will depend on the materials required for you to be connected. The cost given contains the costs of electric lines, electricity poles, labour, and transportation.",23-May,13,6,12,,
The Next Big Thing,@murrayk1,"On top of the Usual Incompetence & Ineptitude the Last Mile Program ,Gpoba Schemes are 2 Projects that have Sunk Kenya Power to it's Knees ,Exposed it to Debts ,Illegal Connections and System Losses
Very Low Return on Investments",23-May,,,1,,
Michael Mich,@MichaelMich4,"Electricity application  form is the only free thing that comes during connection. So why did I pay 29,560ksh for a dropping. Let's be open",23-May,,,1,,
TripleBil©™,@sangodoc,@KenyaPower @KenyaPower_Care @citizentvkenya #kenyapower @EPRA_Ke Electricity poles and cables passes outside my house but am told for connection we have to buy transfer yet my neibahood in same village have power from same feed. I decided to go solar coz can't buy transformer,23-May,,,,,
Mwendwa,@Kelvinmwendwa__,"If @KenyaPower doesn't charge for infrastructure whenever doing power connection, they why do they ask for 100k whenever installing especially in rural areas? Would that be an amount for operational pekeake? @citizentvkenya 

#CitizenTheBigConversation #StateOfElectricityKE",23-May,1,,,,
Shadie ole Motes,@Shadiemotes,@KenyaPower  are the connection fee standard or the vary with the location?,23-May,,,,,
Antony kimani,@Antonykymani,We have loose connection in Riabai Transformer stage - lights are flickering on and off highly unstable,22-May,,,,,
abel chumba,@chumbaabel10,I will take you very seriously the day you'll get out of your controlled rooms and make the illegal connections legal. That's when I'll truly feel you're working to reduce the cost of electricity,22-May,1,,,,
James Nanua,@Mutegin,"@KenyaPower
I am sending this mail in connection with a power blackout at Ruai block 10. The power went out at 3pm on Monday 20 May and still we are in dark. Ruai office was informed and nothing has been done yet. Can someone please help us?",20-May,,,2,,
Jully Gesure,@GesureJully,Hello KPLC  how do you give a client a connection fee of Kes 600k because the nearest transformer is far yet neibas have power. With 600k one can get a very good solar system. Do you know that? Why dont you make connections affordable since it is income 2 u?,20-May,,,,,
Jully Gesure,@GesureJully,Hello KPLC  how do you give a client a connection fee of Kes 600k because the nearest transformer is far yet neibas have power. With 600k one can get a very good solar system. Do you know that? Why dont you make connections affordable since it is income 2 u? @davis_chirchir,15-May,1,1,2,,
anne w. kimani,@annkimani09,"@KenyaPower Seriously KPLC, really unfair and punitive. You remove transformer in a section of Ngoingwa Estate Thika leaving residents helpless since yesterday reason someone attempted an illegal connection  Why punish innocent residents, clueless on location of transformer?",14-May,,1,,,
The Nomad,@_kmwaura,"@KenyaPower_Care @KenyaPower 
What is going on with you? If not you, your systems? 
Blackouts day in day out. Whose responsibility to ensure we have stable power connection to our homes? 
Where does your accountability come in, fast to disconnect, slow to have connections back.",13-May,,,,,
Lilian Njoki,@mlilianjoki,"No power 3 days now -Tassia Embakasi Mtr no:04226200360.
Saw a tweet claiming our transformer has illegal connections.why make us all suffer?why not isolate the illegal connections?",11-May,,,1,,
Hiten Vaya,@HitenVaya,"Same situation in Pangani a/c number 905307. Complaint number 11167907. Today is 10 days since we have had NO power. This is ridiculous!
@KenyaPower_Care  please assist. Am being told to transfer to another Power connection…..what’s going on?!",10-May,,,2,,
Ac Mwangi,@MwangiAc,"Hello.
I have reported
1. Low voltage for the whole month of April 2024. This started after a shoddy addition of more cables to connect a user who sought a three phase connection. 
2. Total outage from 1st May 2024",10-May,,,1,,
pita mutu,@pitamutu,"What about the thugs in your company denying kenyans services asking for bribes? What about applications taking months or years before connection is done? 

We report you do nothing!!!",5-Apr,,,1,,
Kenya Power,@KenyaPower_Care,"Apply for power connection by filling a form at our offices. You will need a copy of your ID , PIN and a route sketch map to attach. We will get back to you with a quote based on your requirements. ^EM",3-Apr,,,,,
Jared Onywere,@jonywere13,Why should @KenyaPower  come and destroy our line that has served us for over ten years? Has the line become illegal connection after that period?? Kindly don't punish us for someone's mistakes. We need power back our kids are home for holidays @KenyaPower,3-Apr,,,,,
Rangelander,@kiprandom,@KenyaPower_Care  Why can't you guys sort out @iam__marwa electricity problems? What's up with your Migori officers. It's a SHAME asking for 2.1 million for a single HOMESTEAD connection. @WilliamsRuto @EPRA_Ke @KenyaPower @EACCKenya  @OleItumbi,1-Apr,1,,,,
