Author,Handle,Post,Date,Likes,Reposts,Comments,Post Link,Profile Link
Njeru,@NjeruSamuel,"@KenyaPower @KenyaPower_Care, please Area around Ngangarithi Ciaraini in Nyeri hakuna stima",21-Jul-18,1,1,1,https://x.com/NjeruSamuel,https://x.com/NjeruSamuel
Raphael Mwadime,@raphael_mwadime,@KenyaPower  hivi kukinyesha stima inapotea...why are you living in the dark world...hapa kasarani Voi hatutaki giza. Shindwee,12-Dec-18,,,,https://x.com/raphael_mwadime,https://x.com/raphael_mwadime
Samuel Mugi,@Sir_SaQlever,@KenyaPower siku izi mnatupea pill ya stima,21-Oct-18,,,1,https://x.com/Sir_SaQlever,https://x.com/Sir_SaQlever
Robert,@salg_ooh,@KenyaPower @KenyaPower_Care mvua kidogo stima inapotea??? Kiambu,8-Oct-18,,,,https://x.com/salg_ooh,https://x.com/salg_ooh
Robert,@salg_ooh,@KenyaPower @KenyaPower_Care ata Sunday mnazima stima???    04215915267,22-Jul-18,,,,https://x.com/salg_ooh,https://x.com/salg_ooh
Malonza Maleve,@malevemalonza,@KenyaPower @KenyaPower_Care akiamungu muone mkate stima wakati nawatch opening ceremony ya#worldcup,14-Jun-18,,,1,https://x.com/malevemalonza,https://x.com/malevemalonza
GIIC,@StevenMburu,@KenyaPower 5 days down the line your team is yet to come to the ground! Honestly? @KenyaPower_Care Hakuna stima and its affecting my business mtr no 34265108,28-Feb-18,,,1,https://x.com/StevenMburu,https://x.com/StevenMburu
Nikoo,@stayhome_ED,Mtalipa gapi in case nione mwinzi wa stima? Mimi ukuwa free naeza kuwa napiga tu maround nikispy,31-May-18,,,,https://x.com/stayhome_ED,https://x.com/stayhome_ED
DON MUSAU,@Don_Musau,@KenyaPower hakuna stima kasarani. Was the area scheduled for maintenance today?,23-Dec-18,,,,https://x.com/Don_Musau,https://x.com/Don_Musau
FAITH IS THE SOUL,@RoaBi_Vibes,@KenyaPower  @KenyaPower_Care Hakuna Stima kwa line yetu from evening.  Account number 40184927 contact 0723727778,19-Dec-18,,,1,https://x.com/RoaBi_Vibes,https://x.com/RoaBi_Vibes
gilbert kaunda stima,@SuufStima,I wish it was true,12-Jun-18,,,,https://x.com/SuufStima,https://x.com/SuufStima
Tony owino,@tonyowino,"@KenyaPower @KenyaPower_Care meter number 37171148945, donholm phase 5, 8. Mrudishe stima http://bana.you people are inconveniencing us.i look forward to the day that you will not be a monopoly",11-Dec-18,,,1,https://x.com/tonyowino,https://x.com/tonyowino
small dic,@Dick_Aseri,Wale wenye huwa wanakuja kukata stima ama?,13-Dec-17,,,,https://x.com/Dick_Aseri,https://x.com/Dick_Aseri
gilbert kaunda stima,@SuufStima,@KenyaPower some guy  called me on this no. 0724131875 claimed he works at Kenya Power,7-Dec-17,,,,https://x.com/SuufStima,https://x.com/SuufStima
gilbert kaunda stima,@SuufStima,Kakamega county .Nambacha .1 km from Ewamakhumbi pri.sch EVIHANDE VILLAGE,5-Oct-17,,,,https://x.com/SuufStima,https://x.com/SuufStima
Steven Barclay,@StevenBarclayKE,"@KenyaPower @ntsa_kenya

Nikama stima ilipita Salgaa 

Kenya Power 
NTSA",9-Jan-18,4,,,https://x.com/StevenBarclayKE,https://x.com/StevenBarclayKE
gilbert kaunda stima,@SuufStima,She won gold....,15-Aug-17,,,,https://x.com/SuufStima,https://x.com/SuufStima
Gainwithtillen.ke,@OderoFrank,@KenyaPower nkt!!!! kwani stima zitapotea daily.... Mtaacha ujinga..,16-Oct-17,,,,https://x.com/OderoFrank,https://x.com/OderoFrank
Mayweather Car hire,@mosemaish,@KenyaPower   @KenyaPower_Care  hii stima timeni MB62LHICMW Confirmed KPLC PREPAID  for account 01450166093 on 6/2/18,6-Feb-18,,,1,https://x.com/mosemaish,https://x.com/mosemaish
Miss Habesha,@mauayako,@KenyaPower @KenyaPower_Care no stima 0051570,5-Sep-17,,,1,https://x.com/mauayako,https://x.com/mauayako
Nanzenzyko Nanzenz,@Cookshey,@KenyaPower @KplcCustomer 14245718839 is in a blackout.return stima at Membley Ruiru,21-Jun-17,,,,https://x.com/Cookshey,https://x.com/Cookshey
Bernard Gitau,@BernardGitau,@KenyaPower @KenyaPower_Care si mtuwashie stima kiasi hapa roysa tupige pasi ya kesho,14-Mar-17,,,1,https://x.com/BernardGitau,https://x.com/BernardGitau
Miss Habesha,@mauayako,@KenyaPower @KenyaPower_Care no stima account 28239137,6-Feb-18,,,1,https://x.com/mauayako,https://x.com/mauayako
Ricky,@nasriky,@kenyapower how do I pay stima loan through MPESA? can u check for me ma loan balance? REF: E24302014040084,23-Feb-17,,,,https://x.com/nasriky,https://x.com/nasriky
Am That Guy!!!,@Tsepoy,"@KenyaPower hey,can u guyz do sumn,am in busia,some areas dont have power,just because wind blew,tunakosa stima.?",24-Feb-17,,,,https://x.com/Tsepoy,https://x.com/Tsepoy
Miss Habesha,@mauayako,@KenyaPower @KenyaPower_Care no stima since am 0051570,7-Feb-18,,,1,https://x.com/mauayako,https://x.com/mauayako
Youht Mahn,@WastaniDimongo,"@KenyaPower meter number 14 2827 4599 25..Wazito,  4 days bila stima tena haiwezi.",19-Sep-17,,2,1,https://x.com/WastaniDimongo,https://x.com/WastaniDimongo
Nick,@Sarkwozy,@KenyaPower si mlisema stima hazitapotea hii week na next week?,26-Oct-17,,,,https://x.com/Sarkwozy,https://x.com/Sarkwozy
Advocate Oduol Aluoch,@_gneiss,@KenyaPower where is stima house located?,18-Sep-17,,,,https://x.com/_gneiss,https://x.com/_gneiss
V.I.N.T.A.G.E,@kihara_njuguna,@KenyaPower LA18O8WHTI Confirmed. Ksh530.00 sent to OKOA STIMA 1  for account 37167227265 on 1/1/17 at 10:06 AM,1-Jan-17,,,,https://x.com/kihara_njuguna,https://x.com/kihara_njuguna
Her Majesty Wamuyu,@Issysky,@KenyaPower @KenyaPower_Care  What is the issue with this stima? I have tokens but no lights in the house. Please assist promptly!,15-Feb-17,,,1,https://x.com/Issysky,https://x.com/Issysky
Myk Bryn,@MykBrynn,@KenyaPower @KenyaPower_Care tutashinda tukibeg stima hivi???? https://x.com/mikurobrian/st/MikuroBrian/status/816337598134136832…,4-Jan-17,,,1,https://x.com/MykBrynn,https://x.com/MykBrynn
KING HAVERTZ,@happy_tyme,Monday already has 48 hrs ikiwa na stima...Abeg dont make it a month,9-Jan-17,11,2,2,https://x.com/happy_tyme,https://x.com/happy_tyme
George Daria,@Ochas_finest,mrudishe stima Busia pia...haraka sana,9-Jan-17,,,,https://x.com/Ochas_finest,https://x.com/Ochas_finest
Love like Jesus,@dicmola,no stima kibos kisumu fr morning 37170687950 near jerualem toto school http://0726400806.help,5-Feb-17,,1,,https://x.com/dicmola,https://x.com/dicmola
Ruikiru,@Moffatmwai,"@Kenyapower
Kuna bill board imeangikia stima line pale karen catholic church na inatoa sparks anyhelp?!",5-Feb-17,,,,https://x.com/Moffatmwai,https://x.com/Moffatmwai
Ruikiru,@Moffatmwai,"aiye,pale karen mmeamua tusione stima tena sio?!",2-Feb-17,,,,https://x.com/Moffatmwai,https://x.com/Moffatmwai
Ruikiru,@Moffatmwai,@Kenyapower pale karen stima ni mpaka saa ngapi aki?!,2-Feb-17,,,,https://x.com/Moffatmwai,https://x.com/Moffatmwai
Nelly Mchoraji,@MusiomiArt,@KenyaPower akuna stima kayole.... Our businesses zimesimama... What's the way forward?,16-Jan-17,,,,https://x.com/MusiomiArt,https://x.com/MusiomiArt
GeeWeed™,@GeorgeMike5,@KenyaPower this monopoly sucks bana. Give us lights. Why the blackout without notice. Mnalipwa kuzima Stima ama kuleta stima???,9-Jan-17,,,,https://x.com/GeorgeMike5,https://x.com/GeorgeMike5
M Davis,@BmwTraveller,@KenyaPower Hey hatuna stima utawala astrol close to three hours .whats up,2-Jan-17,,,1,https://x.com/BmwTraveller,https://x.com/BmwTraveller
Mary Mshimba,@mary_mshimba,"@KenyaPower-Care no stima at nairobi estate bamburi since today morning ac no is 2337144-01 tel phone 0720830019
Please look into it",15-Feb-17,,,,https://x.com/mary_mshimba,https://x.com/mary_mshimba
Love like Jesus,@dicmola,no stima kibos kisumu fr morning 37170687950 near jerualem toto school http://0726400806.help,5-Feb-17,,1,,https://x.com/dicmola,https://x.com/dicmola
Ruikiru,@Moffatmwai,"@Kenyapower
Kuna bill board imeangikia stima line pale karen catholic church na inatoa sparks anyhelp?!",5-Feb-17,,,,https://x.com/Moffatmwai,https://x.com/Moffatmwai
Ruikiru,@Moffatmwai,"aiye,pale karen mmeamua tusione stima tena sio?!",2-Feb-17,,,,https://x.com/Moffatmwai,https://x.com/Moffatmwai
Ruikiru,@Moffatmwai,@Kenyapower pale karen stima ni mpaka saa ngapi aki?!,2-Feb-17,,,,https://x.com/Moffatmwai,https://x.com/Moffatmwai
Nelly Mchoraji,@MusiomiArt,@KenyaPower akuna stima kayole.... Our businesses zimesimama... What's the way forward?,16-Jan-17,,,,https://x.com/MusiomiArt,https://x.com/MusiomiArt
GeeWeed™,@GeorgeMike5,@KenyaPower this monopoly sucks bana. Give us lights. Why the blackout without notice. Mnalipwa kuzima Stima ama kuleta stima???,9-Jan-17,,,,https://x.com/GeorgeMike5,https://x.com/GeorgeMike5
M Davis,@BmwTraveller,@KenyaPower Hey hatuna stima utawala astrol close to three hours .whats up,2-Jan-17,,,1,https://x.com/BmwTraveller,https://x.com/BmwTraveller
Mary Mshimba,@mary_mshimba,"@KenyaPower-Care no stima at nairobi estate bamburi since today morning ac no is 2337144-01 tel phone 0720830019
Please look into it",15-Feb-17,,,,https://x.com/mary_mshimba,https://x.com/mary_mshimba
AkamaMac,@AkamaMac,"@KenyaPower nimelipa stima, tokens, nikapewa 35. but haijareflect.. inablink red tu",18-Jan-17,,,1,https://x.com/AkamaMac,https://x.com/AkamaMac
agi,@agnesgichinga,Ndio mkatuzimia stima.,9-Jan-17,,,,https://x.com/agnesgichinga,https://x.com/agnesgichinga
snake eyes,@camilojamach,@KenyaPower ata nakuru hamna stima..,9-Jan-17,,,,https://x.com/camilojamach,https://x.com/camilojamach
nzau_ke,@MaingiMr,@KenyaPower huku hakuna stima,11-Jan-17,,,,https://x.com/MaingiMr,https://x.com/MaingiMr
kibettRonald,@RonnieKibett,"@KenyaPower Nakuru ngata,kabasis center hakuna stima for the past two days.... do something urgently",16-Jan-17,,,,https://x.com/RonnieKibett,https://x.com/RonnieKibett
Susan Mwangi Kihara,@Suemwangikihara,@KenyaPower mbona stima imekatwa plot mzima kwa pole yetu only one person ndiye hajalipa? its very unfair 2275040 do something,11-Feb-17,,,,https://x.com/Suemwangikihara,https://x.com/Suemwangikihara
Dark Child,@JoelMakovi,@KenyaPower @KenyanTraffic Can somebody pliz switch off the road lights at Galleria?As my mama would say...hii nikumaliza stima.,10-Jan-17,1,,,https://x.com/JoelMakovi,https://x.com/JoelMakovi
Dark Child,@JoelMakovi,@KenyaPower @KenyanTraffic Can somebody pliz switch off the road lights at Galleria?As my mama would say...hii nikumaliza stima.,10-Jan-17,1,,,https://x.com/JoelMakovi,https://x.com/JoelMakovi
Em Sefwee,@Indakwa,"@KenyaPower where are my units? KA70STHPTM Confirmed Ksh1,500. sent to OKOA STIMA 1  for account 01450123805 on 7/1/16 at 3:05 PM New M-PESA",7-Jan-16,,,1,https://x.com/Indakwa,https://x.com/Indakwa
gilbert kaunda stima,@SuufStima,@KenyaPower what is prepay bill number,31-May-16,,,1,https://x.com/SuufStima,https://x.com/SuufStima
SPAPA DEH,@SpapaDeh,@KenyaPower @KenyaPowerAlert Banoh 106 hakuna Stima #Brekko @Elishifa @MajimajiKenya @King_Kafu @GhettoRadio895,26-Dec-16,,,,https://x.com/SpapaDeh,https://x.com/SpapaDeh
Sam_C,@Samkam26,@KenyaPower @KenyaPower_Care hii stima inawaka kama traffic lights on off on off.. 14252569240,15-Dec-16,,,1,https://x.com/Samkam26,https://x.com/Samkam26
Sack of cool vibes,@79patrickm,"@kenyapower @kenyapower_care power outage Gwa-Kairu, Ruiru. Rudisheni stima bana. Acc No :2424795-01",15-Apr-16,,,1,https://x.com/79patrickm,https://x.com/79patrickm
Lennie,@Lennie_Guy,@KenyaPower . acc. No.14106211411 okoa stima paid. Metre still blocked.. Kindly sort. ASAP. Transaction ID. JLL3OZQDCN,22-Dec-15,,,1,https://x.com/Lennie_Guy,https://x.com/Lennie_Guy
RASTA KASAMI TALA,@kasami_wa,"@KenyaPower iyo ni ufala mkonayo ..
Stima inapotea ovyoovyo aje",25-Sep-16,,,,https://x.com/kasami_wa,https://x.com/kasami_wa
Mistanewa tech,@djmistanewa,"@kenyapower mtaaddress issue SAA ngapi,,Mumias tunataka stima https://instagram.com/p/BKbQ3vdgRno/",16-Sep-16,,,,https://x.com/djmistanewa,https://x.com/djmistanewa
Fridah Mutinda,@F_Tellem,"@kenyapower @kenyapower_care mvua imenyesha,stima imeenda,imara daima,(maziwa area) reason being transfomer issues",25-Sep-16,,,1,https://x.com/F_Tellem,https://x.com/F_Tellem
Fridah Mutinda,@F_Tellem,"@kenyapower @kenyapower_care wah,stima bad,wats happening,imara daima(maziwa),one line is out of supply",5-Sep-16,,,1,https://x.com/F_Tellem,https://x.com/F_Tellem
Nanzenzyko Nanzenz,@Cookshey,"@KenyaPower mbona madharau hivi.Rudisheni stima Membley Estate, Ruiru.Hii ni masaa gani ya kuoga na naji baridi?BLACKOUT @ MEMBLEY!!!!!!!",17-May-16,,,,https://x.com/Cookshey,https://x.com/Cookshey
mwinamu,@mwinamu,"@KenyaPower kuna mtu anacheza na switch ya stima za rongai, ni off on off on repeat.  Tusiharibiane appliances tafadhali",15-Sep-16,,1,,https://x.com/mwinamu,https://x.com/mwinamu
JUZTUZ K Wa ARSENAL,@juztuz,"@KenyaPower you people mean that machakos yote hakuna mtu amelipa stima..ndo mtueke kwa giza ivi. 
#FeelingpissedOff",11-Jul-16,,,1,https://x.com/juztuz,https://x.com/juztuz
Mistanewa tech,@djmistanewa,"@kenyapower do something about hii stima mumias,inakuja ikienda..Mtatuchomea vitu",13-Sep-16,,,,https://x.com/djmistanewa,https://x.com/djmistanewa
Mistanewa tech,@djmistanewa,"@kenyapower do something stima irudi Mumias #NoPowerInMumias
mistanewa@gmail.com",12-Sep-16,,,,https://x.com/djmistanewa,https://x.com/djmistanewa
Mistanewa tech,@djmistanewa,"@kenyapower battery about to die,,mumias stima iregeshwe
mistanewa@gmail.com",12-Sep-16,,,,https://x.com/djmistanewa,https://x.com/djmistanewa
Mistanewa tech,@djmistanewa,@kenyapower some parts of mumias hatuna stima,26-Sep-16,,,,https://x.com/djmistanewa,https://x.com/djmistanewa
Fridah Mutinda,@F_Tellem,@kenyapower @kenyapower_care hamna stima imara daima jameni :-(,1-Sep-16,,,1,https://x.com/F_Tellem,https://x.com/F_Tellem
Njeru,@NjeruSamuel,@KenyaPower @KenyaPower_Care  HAKUNA STIMA KITALE HAPA KWA GATUA CC @ConsumersKenya,29-May-16,,,1,https://x.com/NjeruSamuel,https://x.com/NjeruSamuel
JUZTUZ K Wa ARSENAL,@juztuz,"@KenyaPower @kenyapower_care. you people mean that machakos
yote hakuna mtu amelipa stima..ndo mtueke kwa
giza ivi. #FeelingpissedOff",11-Jul-16,,,,https://x.com/juztuz,https://x.com/juztuz
#RutoMustGo,@mx_kalani,Merry Christmas na hakuna stima????,25-Dec-21,,,1,https://x.com/mx_kalani,https://x.com/mx_kalani
_Bu Anthony_,@bu_anthony99,@KenyaPower mazee kuna siku za kuzima stima na siku zingine za kulet it be....ni Christmas na mmezima stima...rada!!,25-Dec-21,,,,https://x.com/bu_anthony99,https://x.com/bu_anthony99
richard,@rolewa,scam ryt nw someone is making overtime.. hakuna stima kule niliko nw two days,11-Jul-21,,,1,https://x.com/rolewa,https://x.com/rolewa
Na0miee,@itsjustnaomy,@KenyaPower mrudishe stima..my phone is at 10% ...its my office,8-Jul-21,,,2,https://x.com/itsjustnaomy,https://x.com/itsjustnaomy
ᴷⁱʲᵃⁿᵃ ʸᵃ ᴹᵃˡᵃᵇᵃ,@Kwesii4,Mliamua tuishi bila stima wiki mzima,7-Nov-21,1,,1,https://x.com/Kwesii4,https://x.com/Kwesii4
insomniart_knight,@ArchEmawero,Thindigua hatuna stima,20-Oct-21,,,1,https://x.com/ArchEmawero,https://x.com/ArchEmawero
Eliud,@kimani_gee,@KenyaPower hakujakua naa stima njiru for one week and still counting what is going on ?????,27-Aug-21,,,1,https://x.com/kimani_gee,https://x.com/kimani_gee
Top Trends Kenya ,@TopTrendsKenya,@KenyaPower  si mkuje mtengeneze hii stima.Since 8 Am.,3-Aug-21,,,1,https://x.com/TopTrendsKenya,https://x.com/TopTrendsKenya
gilbert kaunda stima,@SuufStima,"I  have 2 WO for faulty meters from last week
11599690 and 11600084",7-Oct-21,,,1,https://x.com/SuufStima,https://x.com/SuufStima
Gidicaptain TM,@gidicaptain,@KenyaPower_Care kwendeni na hizo merry Christmas zenyu kutoka jana we hve bn complaining Wangige hakuna stima imekua normal zinapotea daily na kazi yenyu hapa ni pr tu,24-Dec-21,,,1,https://x.com/gidicaptain,https://x.com/gidicaptain
gilbert kaunda stima,@SuufStima,Since you are in the mood to work please  supply me with electricity the quotation was fully http://paid.Here is the reference E21312021060019,7-Oct-21,,,,https://x.com/SuufStima,https://x.com/SuufStima
George the technician,@Gegirethemaster,"@KenyaPower  simurudishe stima Aki Leo nioge, nilisema nitaoga Leo nika one week bwana sijaoga, nasiwezi oga maji baridi tafadhali!",21-May-21,,,,https://x.com/Gegirethemaster,https://x.com/Gegirethemaster
jojipoji,@jojeepoji,"@KenyaPower I keep recieving msgs from u ati mnanidai n I don't know those accounts kindly ends kata hiyo stima kwa pole... 
Dear Customer, Kindly Note That Your Electricity Account No. 1562677 Has An Outstanding Debt Of Ksh 3,074.17. 
Na ingine hii... Kata zote",15-Dec-21,,,1,https://x.com/jojeepoji,https://x.com/jojeepoji
Dan,@CEF_Institution,@KenyaPower  Power is off at Pangani  along  Juja road.  Kuna shughuli inahitaji stima,29-Jun-21,,,1,https://x.com/CEF_Institution,https://x.com/CEF_Institution
Suzzie,@ka_suzzie,Si mturudishie stima mlango Aki ya nani,8-Jun-21,,,,https://x.com/ka_suzzie,https://x.com/ka_suzzie
BlackChopstixs,@Le_SkinnyLegend,"@KenyaPower wewe, mturudishie stima!",26-Sep-21,,,1,https://x.com/Le_SkinnyLegend,https://x.com/Le_SkinnyLegend
Kavilanì,@fcarstone,@KenyaPower mbona mmeanua stima na hakunyeshi?,25-Jul-21,,,,https://x.com/fcarstone,https://x.com/fcarstone
man a badman,@karani_i_am,"@KenyaPower @KenyaPower_Care stima ilipotea Mandazi Road, Ongata Rongai jana jioni mpaka saa hii hakuna kitu mmefanya walai",29-Oct-21,,,1,https://x.com/karani_i_am,https://x.com/karani_i_am
Stanslaus Semele,@stanslaussemele,"@KenyaPower_Care tuache madharau. Hatuwezi shinda bila stima, halafu mna rudisha for one hour then mnazima. Kwani ni ya bure? 14228917754 hebu you guys communicate",24-Aug-21,,,1,https://x.com/stanslaussemele,https://x.com/stanslaussemele
CoffeeCrusader,@kimani_nimrod1,"@KenyaPower @KenyaPower_Care 3 Days... 3 Days KPLC!!! No lights in some parts of Kasarani Area.
Chakula ya sikuku iliharibika; watoto wanalia stima. 
We now understand nyinyi ndio mko, turudishieni stima. Point is home, but stima would be better.
#kplccustomercare #kplc",24-Dec-21,,,1,https://x.com/kimani_nimrod1,https://x.com/kimani_nimrod1
,@Mwathi0_0,"@KenyaPower @KenyaPower_Care kwani mko na nia?
Naivasha kuna mahali hakuna stima buana",5-Apr-21,,,1,https://x.com/Mwathi0_0,https://x.com/Mwathi0_0
