Author,Handle,Post,Date,Likes,Reposts,Comments,Post Link,Profile Lİnk
Criminal Anarchist,@njoks_mungai,"@KenyaPower_Care no lights since Friday on lumumba drive? Who the fuck do you think you are?
Mlibeba transformer then?
Fuck you, man!",Jul 29,1,,1,,
mukubio kimathi,@mukubio,@KenyaPower_Care we have been in darkness for 2weeks..at 1st Sunrise Avenue. What happened after you removed our transformer...,Jul 29,,,,,
victor agustin,@vshikuunzi,"@KenyaPower_Care Kenya power,i believe you're out to sabotage your customers,how can you subject your clients in darkness for the 8th day running, a faulty transformer was taken by your staffs midweek, untill now it hasn't been returned.. darkness since last Sunday...",Jul 29,,,1,,
Finance Bill,@Financebill7,@KenyaPower_Care 04214874945 no power kindly assist,July 29,,,2,,
sabastian nzioka,@kamustian,"@KenyaPower_Care you want to disconnect my power and the system failure is squarely on your side. 
How are we expected to pay our bills?
Have tried to pay my post paid bill since Thursday 24th",July 29,,,1,,
Kate Nderu,@katenderu,@KenyaPower_Care have you changed pay bill numbers?,July 29,,,,,
Cailine,@Nairobi_lively,"@KenyaPower_Care 22170688646 we have no power since Friday my location is tasia, one of your employees walikuja wakachokora poles and I am suspecting they have overloaded one transformers cause how comes daytime stima Inakuja for only 2hrs that is between 6 to 8pm alafu inapotea",Jul 28,1,,,,
Obuya Kamau,@marsancestry,The transformer at Rianchanga primary school has not been fixed for 3 months now,Jul 28,,,,,
Suregraphy,@sureobinge,"Dear Kenya Power,

The transformer on Lumumba Drive, Roysambu, has been out for 2 days. With 1-year-old twins at home, we are struggling with candles. Kindly expedite repairs and restore power by tomorrow please. Your prompt assistance is greatly appreciated.

Thank you.",Jul 28,2,,,,
nyawiram,@nyawiracnm,@KenyaPower_Care 14107262264 we have had no power since Sunday and they even carried the transformer for repairs. Till when do we wait?,Jul 28,,,,,
Gor Odhiamboh,@Dr_GorOdhiamboh,Return the transformer you took for repairs from Sunton Kasarani. It's been more than a week in darkness.,Jul 28,3,,2,,
Mze,@JakobMze,@KenyaPower_Care how much longer will we wait for a transformer? Meter number 106154933 has been without power for four months now,Jul 28,1,,,,
Suregraphy,@sureobinge,"Hello our able Kenya power.. Lumumba drive near cocorico our Transformer had an issue your staff came and picked it..
Kesho please sort us mm I have twins kwa hao 1 year old joh bila lights",Jul 28,,,,,
Mirriam Mumbe,@mirriamjohn3,"Your people came and carried the transformer, and they did not come again to replace and resolve this. Why do you have to be pushed to do your work?",Jul 28,,,,,
Mirriam Mumbe,@mirriamjohn3,"Your people came and carried the transformer, and they did not come again to replace and resolve this. Why do you have to be pushed to do your work?",Jul 28,,,,,
Eze Ndi Eze,@_2eyesC,"@KenyaPower_Care @KenyaPower Kindly work on restoring stablr power at Alessa Apartment, Kahawa Wendani. We've been out of power for 1 day now after some of your technicians came and did some shoddy job on a site provisioned for a transformer. Your technicians will soon kill us",Jul 28,,,1,,
Dj Nas254,@DjNas254,Huku Kasarani karibu na sunton police station mlienda na transformer hamjwahi leta and it has been week now...some of us have cybers,Jul 28,1,,2,,
Vinnie Ke,@VinniePacs,@KenyaPower_Care how long do you take to replace a faulty transformer?? Nduru Secondary school in kisii county south mugirango Constituency Nyamarambe sub county TRANSFORMER blew one month ago and upto now it has NOT been replaced. It was tampered by kplc staffs on that day,Jul 28,2,,1,,
Shico Kimani,@ShicoKimani,"@KenyaPower_Care  we keep getting  long blackouts  in our neighborhood due to transformer issues. Can this be fixed permanently please, we are very inconvenienced.   Kikuyu road area: 54607278071",Jul 28,,,2,,
Anthony,@w_antonN,Helloo help resolve power outage due to transformer in kasarani area at sunton 8th and 9th street near sunton police station...2nd week without power.Please help!!,Jul 28,1,,,,
Zipporah Muia,@yvonnezippy,"No stima for a whole week at kasarani (kwa mafuta) 8th street, just because of transformer can you guys get serious",Jul 28,2,,1,,
@M.Waikwa,@M.Waikwa,"@KenyaPower_Care , I think I will write a petition the national assembly energy committee to compel you to be compensating  people who Incur losses due blackouts, it has become too much bana, almost every weekend hatuna stima na mlituekea a new transformer which is not working,",Jul 28,,,,,
N7,@Nandanyonge,"Your mumias branch office and main office has ignored out pleas for power after your people cut trees and hit wires destroying our line and leaving it like that.
kindly restore power on the line served by transformer at MUMIAS KIDS center.
It is now 5 good days of darkness",Jul 28,1,,,,
James lawrence,@Jamesmu74640213,"@KenyaPower_Care hello I have an issue this is my meter no ac number ( post paid..2084837-01)
When I pay it says the account is invalid...the bills I receive are constant 110/=. What could be the problem current reading 5083...",July 28,,,1,,
Paul Murage,@murage0001,*977#not showing the bill. Error- we could not find your balance,July 28,,,,,
Gor Odhiamboh,@Dr_GorOdhiamboh,Kindly return the transformer you took for repair from Sunton Kasarani.  It's been a week of darkness.,Jul 27,2,1,,,
Mze,@JakobMze,@KenyaPower_Care how much longer will we wait for a transformer? Meter number 106154933 has been without power for four months now,Jul 27,,,,,
Mkenya Milele,@Sk_kariz,"@KenyaPower_Care what will it cost you to fix transformer at sunton kasarani stage ya mafuta from street 7,8,9,10...
Landmark sunton police station. 

Indeed #RutoMustGo",Jul 27,1,1,,,
The Razor Cut Deejay,@selectortechnix,"@KenyaPower_Care Hi, it has been more than 2 months without lights in my upcountry home area. Transformer was stolen and it has been hectic. Tala town, Matungulu constituency, at Kyekoyo Salvation Army. How soon can this be restored?",Jul 27,,,,,
Leta Petty Errands,@LetaErrands,"No power single phase Kawangware, Gitanga Road. You to address the transformer issue.",Jul 27,,,,,
Men_A_CE001,@Men_A_CE001,@KenyaPower_Care when is this transformer being replaced?! You guys can’t have us on chokehold for an entire week with no official communication or action!!!!,Jul 27,,,1,,
Akoth Edith Male,@AkothMale,@KenyaPower_Care no power along some parts of Naivasha Road. Heard a very loud bang as though a transformer blew and no power since then kindly respond.,Jul 27,,,1,,
Konki,@Konki332342,@KenyaPower_Care @Kericho county Bureti constituency cheplanget ward tabaita village the transformer in this place is really old it keeps on breaking down it is barely 24hrs before it's was made and it is down again plz we need a new fuse,Jul 27,,,,,
Konki,@Konki332342,@KenyaPower_Care @Kericho county Bureti constituency cheplanget ward tabaita village the transformer in this place is really old it keeps on breaking down it is barely 24hrs before it's was made and it is down again plz we need a new fuse,Jul 27,,,,,
Jeff_k28,@J3ff_k28,"@KenyaPower_Care  and @KenyaPower Its been a month and a half since you took a transformer in Nakuru county , Rongai constituency , Ol Rongai to be precise , for a repair ... Will be 2 months now without power 
Any feedback or response about this and when we will have power??",Jul 27,1,1,1,,
overthinker,@__overthinkerrr,Is fixing a transformer that hard  na ingekuwa areas kama za Karen ama Lavi huko inafixiwa within a day?what do you people want surely?,Jul 27,,,,,
Janet Ndunge,@DzhaneyL,So Ruai bypass is again in darkness after waiting for a transformer for a week 22170695617,Jul 27,,,,,
Simon Maina,@iamsimonmaina,"@KenyaPower_Care 
Hello,, it's been a week since a transformer was carried for maintenance by your team and it has not been returned..
We have been in the dark since then...
In kikuyu subcounty,kamangu,ndeiya",Jul 27,,,,,
victor agustin,@vshikuunzi,"@KenyaPower_Care hello,its now 1week down the line without power at sunton police station Kasarani and its environs, our faulty transformer was picked by your staff and never returned nor replaced.whats going on please... we're in darkness since Sunday",Jul 27,,,1,,
elphas cheren,@elishcheren,"@KenyaPower_Care Kindly help us get power back in our village Marigo, Sasur location -Chesikaki ward,Cheptais Mt Elgon. It's has been over three weeks. Our electricity these days only last for one or two days for almost 6 months. Whoever bills us, I don't know what why he does!",July 27,,,,,
George G,@gkamkono33,"@KenyaPower_Care Have an issue with meter number 57300011723, billing is due on 5th august,but as per today they have cut the power. So what can we do since I thought before due date we shud have paid the bill which we haven't defaulted paying. Kindly assist",July 27,2,,1,,
Butcher Bill is the treasonous criminal,@ezekiel16_8,@KenyaPower_Care I bought tokens yesterday at 6pm. Until now I haven't received them. Of course your customer care line goes unanswered. My mtr no. is 92105117573,July 27,,,2,,
Monsieur Le Blance',@tonnieb_,@KenyaPower_Care adjust the figures you sent for accnt 30059333 currently it reads 9648 and resend us the new bill so we can make correct payments,July 27,,,,,
Butcher Bill is the treasonous criminal,@ezekiel16_8,@KenyaPower_Care I bought tokens yesterday via mpesa and I'm yet to receive them. Mtr. No. 92105117573,July 27,,,,,
David Kiragu,@davidwkiragu,@KenyaPower_Care no power in buruburu phase 1 behind mesora and there was a loud blust from the transformer near us kindly work on it,Jul 26,1,,,,
John Evans,@Selluh097,"@KenyaPower_Care one of your transformers exploded around Roysambu Merima 1st Avenue, I'm wondering how long it takes to fix it..",Jul 26,1,,,,
N7,@Nandanyonge,"Good evening too 
When will you restore power to Mumias Kids center and customers around the that transformer.
It is now 4 days and Mumias branch seems uninterested.
Value your customers please.",Jul 26,,,1,,
Odhis,@Odhis49143912,We have been in total darkness for the last two weeks jacaranda grounds at stepa.......can you please solve this issue of transformer once and for all,Jul 26,,,,,
Mze,@JakobMze,Please bring us a transformer...four months is a  long time without power.,Jul 26,,,1,,
jymo,@jameschege96,@KenyaPower_Care Hallo we don't have power for the last two weeks due to transformers leakage  in jujafarm kwa murage it has been happening several times and they still bring the same transformer we are kindly requesting you do something in the same.,Jul 26,,,,,
Irungu James,@IrunguJames15,Thank you kplc. You've solved Murang'a town issue by re-installing the faulty transformer now repaired.,Jul 26,,,1,,
Shiku Maina,@ShikuMa12231424,Are you guys going to do something about the transformer in thika around kivulini estate because it's been a week,Jul 26,,,,,
rosecaren wairimu,@RosecarenW,"@KenyaPower_Care 
What is not happening. On Monday at around 8:25pm our transformer failed and you people have failed to respond. Today is Friday yet people are still in darkness. We have reported and called to no avail. At sunton,kasarani.",Jul 26,1,1,3,,
SG,@gitausamm,"Kenya power for christ sake. Kasarani Sunton Police Station and sorrounding Over a week no power. You carried the Transformer, how can we continue in this situation??",Jul 26,,1,,,
D-Man,@Thee_Ngich,"Advice the team to fix the low hanging cables 200m from the transformer on your way to TTC, they're easily hit by lorries plying the route.",Jul 26,,,,,
fefe_astro,@FefeAstro,Transformer power failure now 6 days. I have not witnessed any of your ground agents taking care of the situation actually.,Jul 26,,,,,
Dr.David Kabata,@knowledgehawker,@KenyaPower_Care we are without electricity at jalyn school transformer one line 92108193449,Jul 26,,,,,
Mze,@JakobMze,@KenyaPower_Care how much longer will we wait for a transformer? Meter number 106154933 has been without power for four months now.,Jul 26,,2,2,,
Ben Powerist,@KanyiNgatia,"RUAI: It's darkness for a large section of Ruai from MONDAY. 5 DAYS NOW. When you KPLC switched off and carried away a functional transformer on Monday, even if you have no heart for businesses and households, WHAT ABOUT THESE KIDS IN THE DARK AT A PRIMARY BOARDING SCHOOL?",Jul 26,,,,,
overthinker,@__overthinkerrr,Stranded for a whole week at kasarani Santon area due to transformer explosion.Watu wanaumia.,Jul 26,,,,,
Gloria Koech 9,@adriannarhian,Hey what of an issue where bills are cleared but when the other month bills are given out are over payed,July 26,1,,,,
Martin Nyagaka,@GLIZZY_GRAM,"I have the bill and the message isnt coming
The token number is 45077240989",July 26,,,,,
Mr. Kariuki,@mirat_kariuki,"@KenyaPower_Care, good evening, how can you slash my mum with an exaggerated electricity bill of over 5, 000 ksh overnight while she is used  not to exceed a bill of more than 500 ksh. More so she's all by herself there upcountry. Please assist.",July 26,,,1,,
Alice Kavua,@f865ca6cf88b4d4,How can I check my post paid bill? Sms and email methods not working,July 26,,,,,
Mze,@JakobMze,@KenyaPower_Care how much longer will we wait for a transformer? Meter number 106154933 has been without power for four months now.,Jul 25,,,,,
Kelvin A.,@YungYeezy_Ke,"@KenyaPower_Care Big up to the Ruai Team. The last 2wks we've not experienced weekly blackouts that had frequented every 2days in Utawala Airways. Seen them do daily maintenance of transformers.

Mambo iko shwari .",Jul 25,,,,,
Calvin Smawl,@calvin_smawl,"@OsoroSylvanus @KenyaPower_Care Hello. The residents of Ekona centre, Etago Sub County, Kisii County have been without electricity for two weeks now. The transformer exploded a 2 wks ago. Due to this, resetting and updating the token metres has bn a problem. Plz act fast, help",Jul 25,1,,1,,
dan mpatinga,@DMpatinga55144,"Narasha transformers is burning in narok east,",Jul 25,,,,,
benson mugo,@B_enMugo,Power outage in Kamulu Athi near St Mary Catholic church due to a faulty transformer that has never been fixed since 2015.,Jul 25,,1,1,,
eric Alpha,@erickamotho,"@KenyaPower_Care hi kplc meter number 92105061144, there was a huge explosion yesternight, i guess something went wrong with the transformer - area is Gathiga kirawa road",Jul 25,,1,2,,
nangulu07,@nangulu07,"@KenyaPower_Care 
Reporting power outage. Kikuyu-Gitaru area. Loud sound @ the transformer. Frequent blackouts too.",Jul 25,,,,,
Georgina Mwangi,@MwangiGeorgina,@KenyaPower_Care Since Sunday we are in darkness Buru Buru farm 3rd avenue. Transformer serving us was taken by your staff for repairs. Kindly lets us know when we will be sorted,Jul 25,,,,,
I_rush,@I_rush254,"@KenyaPower_Care The transformer at Karia, Githunguri was recently exchanged , but was still working. The smaller one they replaced it with just worked one day and died.",Jul 25,,,2,,
N!sh,@Kristy_Nish,"@KenyaPower_Care  Hello , I have Beeen trying to reach your customer care number from Monday in vain 
On Thursday evening power went off in one line and it was established that the issue is from the transformer (pole ) there is a loose connection,",Jul 25,,,2,,
Remmy omondi,@omondi_remmy,"@KenyaPower_Care Good afternoon.
We have no power for 4 months now.
Area next to Kanyibok shopping centre.
Meter number 3717 2357 537.
How long will it take to restore power. Transformer was taken away for repairs.
We are supposed to update our meters before August. Kindly advise",Jul 25,1,,1,,
Waceke Mwangi,@NeliusMwangi13,"The area mentioned needs a transformer replacement,it's not a one person problem",Jul 25,,,1,,
Superprodusir,@Superprodusir,"@KenyaPower_Care one of your transformers malfunctioned 3 days ago. We have not had electricity and that affects water in our area. Kindly assist acc: 13185095
Eastern Bypass,Sunrise Estate 1st Sunrise Avenue near The Mark Hotel",Jul 25,,,1,,
EMMA KARIS,@karis_emma,"@KenyaPower_Care 
It's been 4days since the transformer blew at sunton and nothing has been done yet
#OccupyCBDThursday 
#Sifuna",Jul 25,,,2,,
Linda,@Linda16319703,"@KenyaPower_Care 
May 28 this year you sent me an estimated power bill , because I delayed in submitting my reading and you decided to estimate the readings fortunately I took a photo of the meter on the next day. See attached I don't owe you any money.",July 25,,,1,,
Gabriel Ogutu,@GabrielBaky,"@KenyaPower_Care kindly schedule for checks on a blown Transformer in Buruburu Phase 1, near Raphaels / Ol Musalala Rd area. No power since 7.45 pm last evening.",Jul 24,,,3,,
Director trends. Ke,@ke_trends56573,"@KenyaPower_Care Kenya power, how can you explain this? 
There are no lights for almost 2 weeks at Ruai, Hurlighum area 3rd Avenue yet you picked the transformer",Jul 24,,,3,,
Director trends. Ke,@ke_trends56573,"@KenyaPower_Care Kenya power, how can you explain this? 
There are no lights for almost 2 weeks at Ruai, Hurlighum area 3rd Avenue yet you picked the transformer",Jul 24,,,3,,
Big man,@Bigmantannonane,2weeks ham fix transformer. @KenyaPower_Care  mnapenda attention,Jul 24,1,,2,,
Justgits,@cornygits,We ave been in darkness for 2 days again juat this week after last week 48hrs of darkness  just here in Ruiru Kimbo behind Ola petro station..Why cant you guys Fix this Transformer Issue!! This is so frustrating!!,Jul 24,,,,,
Ngochi,@JaneJanengochi,"Look into the restoration of the transformer near ruiru Kihunguro ( the village and key west ,Mark Hotel building your staff carried it on Monday we are in total darkness what of the people with food in the freezer they go to waste at whose expense ?",Jul 24,,,,,
Mze,@JakobMze,@KenyaPower_Care how much longer will we wait for a transformer? Meter number 106154933 has been without power for four months now,Jul 24,,,1,,
walvine mach,@walvine,A/c 49213077  we have people around stealing transmission cables. How can I get In contact with your security team. The transformer will be vandalized soon.,Jul 24,1,,1,,
Sebastian Kweyu,@SebastianKweyu,"@KenyaPower_Care no power 4th time in a day. the reason is one transformer was moved to God knows where. Any other action is not optimal, can KPLC listen and act. Account 32391278 Melonye road Ongata Rongai. The emergency no. only works when the ladies are in a good mood",Jul 24,,,,,
My Golden Balls,@GoldenBalls009,"Here at Kimbo, near St Dominic's catholic church. We usually have power interruption daily, unscheduled power interruption. Kindly resolve the transformer issue.

Bensam rd, Kimbo. Notable landmark : St Dominic's catholic church, Kimbo.",Jul 24,,,,,
Pier Agulu Ochayo Mach,@pieragulu,"@KenyaPower_Care Blackout in buru buru phase 1, possible transformer explosion. Acct. No. 37940107. Kindly assist.",Jul 24,,,1,,
Georgina Mwangi,@Wairimumwangijo,@KenyaPower_Care transformer serving our area Buru Buru Farm 3rd avenue was carried by your staff on Monday for repairs. When will it be returned.,Jul 24,,,1,,
walvine mach,@walvine,"Am a/c 49213077 . People known in the community have stolen distribution cables almost 10,000metrs. They vandalized the transformer and using the stolen cable to distribute for people illigly. We reported to a nearby police station and were found with the cables but worked out.",Jul 24,,1,,,
DON K,@Donpedro254,"@KenyaPower_Care @KenyaPower 
We have been without power at Kihinguro Ruiru, since Monday. Do we have to pay to be reconnected? Isn't it a duty you have to serve? Leteni transformer, and let your staff at Ruiru learn to serve.",Jul 24,,,4,,
Kibui,@charleskibui_,"@KenyaPower_Care having a transformer issue in Kayole Junction for more than the past two weeks without any concern, shows how much we need to #DrainTheSwamp.  We need to #OccupyKPLC",Jul 24,,,1,,
Beatrice,@Beatrckithinji,@KenyaPower_Care in Murera Jabezu area people have had no Power for 10 days now. Can you enlighten the public on how long you take to replace a transformer.,Jul 24,,,1,,
Janie Wachira,@svdgirlll,@KenyaPower_Care we have been in darkness for the last three weeks in Matangi prairie area. Bring us our transformer please,Jul 24,,,,,
Jackie Kioko,@cherubjak,@KenyaPower_Care experiencing power outage from yesterday at account 37172364020 Machakos. Believe it's out from the transformer.,Jul 24,1,1,2,,
Joskim Thuranira,@CEO_Joskim,@KenyaPower_Care This transformer in Meru Kaaga area near Kaaga Methodist Church is producing those dangerous sparks.,Jul 24,1,1,3,,
Aõsä Mkëñyâ,@CRIS1288577,Hello @KenyaPower_Care ..in what instance does kenya power officers come and take the transformer...this happened to our areas lately..sai they have brought a small transformer which cannot accommodate all the residents using the power.. please help us..@KenyaPower_Care,Jul 24,,,2,,
emm,@305Marnuh,We have not had power since Monday in RUAI (buruburu farmers) since Monday. You took our transformer and there has been no communication since then.,Jul 24,,,1,,
Eddie Owino,@owinoeddie,"@KenyaPower_Care, @KenyaPower, Kanyamlori shopping center has not had power for the last four months, how much longer are they gonna wait till you reinstall the transformer for them to have power. @JakobMze, kindly confirm the meter number...",Jul 22,,,,,
Eddie Owino,@owinoeddie,"Kanyamlori shopping center has not had power for the last four months, how much longer are they gonna wait till you reinstall the transformer for them to have power. @JakobMze, kindly confirm the meter number...",Jul 22,,,,,
Calvin Smawl,@calvin_smawl,"@KenyaPower_Care Hello. The residents of Ekona centre, Etago Sub County, Kisii County have been without electricity for two weeks now. The transformer exploded a fortnight ago. Due to this, resetting and updating the token metres has been a problem. Please act fast and help. Thnx",Jul 22,,,,,
Irungu James,@IrunguJames15,"Faulty transformer next to main matatu terminal -Murang'a town. We were distributed to other transformers but at Forthall dry cleaners& Mathai supermkt, there's a phase that drops every day from 10am-6pm. Kindly let your engineers balance the loads. Mostly we are on low voltage",Jul 22,,,,,
Agnes Opara,@AgnesOpara17612,"Hello, how long will we wait for you guys to come and replace the  transformer at Nduru Boys, South Mugirango,  Kisii County. We have been in darkness for a month now!!!",Jul 22,,,,,
Nancy Wainaina,@nancie_wainaina,"@KenyaPower_Care
@KenyaPower
Since yesterday morning, there has been a power outage in Kinoo, Makutano due to a blown transformer.
@KenyaPower_Care
, Could you please provide information on your plans to repair the transformer and restore power to the area?",Jul 22,,1,1,,
Jus.gracie,@graciousmungai,It's not an account please we don have a transformer and customer care at naivasha are very rude and arrogant,Jul 22,2,,1,,
Nancy Wainaina,@nancie_wainaina,"@KenyaPower_Care @KenyaPower Since yesterday morning, there has been a power outage in Kinoo, Makutano due to a blown transformer. @KenyaPower_Care, Could you please provide information on your plans to repair the transformer and restore power to the area?",Jul 22,,,1,,
Icer Sol,@Okoyo_isa,Krind Area Ugunja Sub County Sigomre Ward We do not have electricity up-to-date since the transformer exploded 5 Months Ago ... Kindly @KenyaPower_Care we seek you to listen to us..Tunaumiaaa,Jul 22,,,,,
Khalid ®,@Eriqsville,"@KenyaPower_Care a transformer was stolen a few weeks ago at Sagana railways along kpcu rd and nothing has been done yet to restore power till now. When will the transformer be replaced since its been almost a month now.
14228889078",Jul 22,,,,,
Gor Odhiamboh,@Dr_GorOdhiamboh,"Hi, our transformer blew out last night. We are in darkness.  Kindly send help. Meter number 37186672665",Jul 22,,,2,,
rhoda,@rhoda79458591,"@KenyaPower_Care I am a frustrated customer. The transformer serving my home in machakos was vandalized in April. We have received numerous promises since then, but no power till date.
Ref no. 11267643, 11368895,1157950.
I have accumulated the above reference numbers over time.",Jul 22,1,,4,,
Jani Stores,@Jaani_ST,@KenyaPower_Care dispatch a team to sort out our transformer. Reference no. 11578755,Jul 22,,,1,,
Mze,@JakobMze,@KenyaPower_Care how much longer will we wait for a transformer? Meter number 106154933 has been without power for four months now,Jul 22,,1,1,,
Suzzy James,@SuzzyJames1,But @KPLC_Kenya_  send your team to work on the transformer it is in Kinoo area a place called Makutano......,Jul 22,,,1,,
Rose Lynn Nyokabi,@RoseLynn74476,Mlibeba transformer huku home 4weeks ago.,Jul 22,,,,,
Y-Ranto The Minister,@YRanto,"How long does it take to replace a transformer, it's been over three weeks now bila stima apa kayole near Embakasi High school since it was hit by lightning during the heavy rains.",Jul 22,,,,,
King,@I_am__slavique,transformer about to catch on fire in kinoo makutano junction please send someone to check it out,Jul 21,,,,,
John Mugwira,@JohnMugwir14907,"@KenyaPower_Care we have suffered enough without a transformer that blew up 27331552 Hilton GWA KABATHA VILLAGE 
More than two months now",Jul 21,,,,,
Kasuku,@DennisO29042418,@KenyaPower_Care Please  fix the transformer that exploded more than 2wks ago at Dwele primary school in Kisumu west. They contacted your Kisumu office and they came and never to seen again and now it's 2wks 3 days. This transformer is also serving the community around. Please.,Jul 20,1,,1,,
Mze,@JakobMze,@KenyaPower_Care how much longer will we wait for a transformer? Meter number 106154933 has been without power for four months now!,Jul 20,,,1,,
Cabdullahi Nuune,@CabdullahiNuune,We are very unhappy with the way you decided to treat there's no power in our area Eastleigh second avenue muyuyu  three nights consecutive people call for help you visited to know the problem I think it's the transformer get shocked. you're failing us,Jul 20,,,,,
baddeyes,@coolboywaemass,"Hello,kindly come and shift us to another line. We dont have electricity for two weeks due to  a faulty transformer. Meter no 37273152043. Area is Kitale Bidii Estate.",Jul 20,,,2,,
Mtukufu Lies,@pre_stony,"@KenyaPower_Care Hello...am a resident of Naivasha, Moi North Lake Kasarani, the transformer providing us with power has some technical issues and we have not had power since Tuesday, some of our businesses rely on power....what can you do about this??",Jul 20,,,,,
mhandisi,@mcanthony47,@KenyaPower_Care we have no power since Monday like we live in a bush. Our transformer was taken for repair and not returned upto today. Is this even right? Meter no 14272066318  Utawala near lakewood premier school,Jul 20,,,1,,
Martin Mutua,@martinmutua09,@KenyaPower_Care please come to our rescue in Utawala. You staff in Ruai office took away a transformer that supplies power to over 100 families 5days ago and we have been in darkness since then. We are being taken round in circles.,Jul 20,,,,,
Mohamed Omar,@MohazeAmir,"@KenyaPower_Care A/c no. 131885378. Power outages in parts of Eastleigh, 12 street near the mosque since last night kindly intervene.  The transformer exploded yesterday evening and the emergency guys are demanding money in order to fix",Jul 20,,,1,,
