Author,Handle,Post,Date,Likes
Stacy,@StacyNyambura15,@KenyaPower_Care loud transformer sound then no power. Account 31862616. Pls urgently resolve.,Feb-25,
moasphenom,@moasplinter,your engineers took transformer (luckysummer) on wednesday morning today is saturday and it looks like we might be screwed today also. I have to throw food I've been storing in fridge neighbours also throwing out food businesses are not running how can you help?,Feb-25,
FelixKipSinyei,@felix25kip,@KenyaPower_Care need to do something here ticking time bomb!!!!This is a transformer near Mariakani primary school SouthB,Feb-25,
PETER LANGAT,@PETERLA78337828,"@KenyaPower_Care hi ? I am in bomet,sotik , there is power outage in transformer near kapkures primary we have complaint for sometimes but no response.KPLC doesn't know their work",Feb-25,
Faith Wairimu,@FaithWa07652138,@KenyaPower_Care day 4 without lights at lucky summer junction please restore the transformer   Ref number 9159774 account number 92100445060 phone number (DM),Feb-25,
Nyagarobert,@Nyagarobert51,"Today, I have met you had already replaced the transformer, thanks though we had long nights! Kware.",Feb-24,
Denis Hash,@hash_denis,"Hello we got power outage in Zambezi around koitat area for 3 days now,your employees keep saying that they need to replace a damaged transformer.Kindly address the issue,it's a  disaster.",Feb-24,
Ms.Gatwiri Kithinji,@geegatwiri,Yaawa it’s the transformer on the road,Feb-24,
Tabz Ndunge,@NdungeTabz,"For how long do you want us to wait for power 1week 3 days,KPLC KITENGELA says it on your end to deliver transformer,there's no communication whatsoever regarding the matter Acc- 100096056 THIS IS TOO MUCH.",Feb-24,
choko by,@kamaa_longman,Na nyinyi mtachange transformer lini area ya kikuyu zambezi?we are suffering bana,Feb-24,
Reinhard Kiumo,@ReinhardKiumo,What's the cost of installing electricity in a distance of 800 m from the transformer,Feb-24,
eric momanyi,@ericmom04855772,Hello Kenya power we raised concern in lucky summer where transformer was taken and it’s now heading 5 days we losing in terms of business wise kindly assist,Feb-24,
Enchome,@jamesorenge97,@KenyaPower_Care kindly sort out the matter at Riribe Primary School all residents near this place from Kenyenya Market to Riribe Primary School have no power now it's the Third week kindly rekebisha hiyo Transformer,Feb-23,1
Freddy,@Augusti98877465,Hapa car wash Zimmerman Kwa AP hii transformer imechapa please mtuokolee ..,Feb-23,3
mark kangethe,@mark1kangethe,"@KenyaPower_Care there is a power surge since morning, muruka pry ach transformer and its supplied homes, kandara, muranga, kenya. Alot of electrical gadgets have been damaged. Kindly help.",Feb-23,
Collins Miller,@CollinsSifuna4,Lol nyumba  ndo imebeba transformer,Feb-23,
luther,@clmlutherking,@KenyaPower_Care hello kplc.  Fire at transformer in jamii Bora kisaju off namanga Rd has caused low voltage.  Urgently attend.  My meter no 14286201992,Feb-23,
luther,@clmlutherking,@KenyaPower_Care hello kplc.  Fire at transformer in jamii Bora kisaju off namanga Rd has caused low voltage.  Urgently attend.  My meter no 14286201992,Feb-23,
Amadi Chamwada,@8e299fb809ee4fd,"Good afternoon KPLC team. We haven't been sorted upto now, kindly this is hurting us....Bungoma county, Sikata transformer power line  serving Safaricom booster next to Sikata Primary school.  Kindly assist",Feb-23,
Richard Njenga,@richardnjenga82,"@KenyaPower_Care There is a transformer that has a fuse problem affecting distribution of water.
Located in Ruiru,kimbo.
At the end of Kimbo matangi road.Juction area.The transformer is Next to theta Police station",Feb-23,
Wafula,@Wafula17448831,We want you kplc mueke transformer kimili - bahai a place called arangara..sijui mnataka nini,Feb-23,
Damn,@DamnRkt,Will it really make a difference it isn't the first time i complained of the issue hakuna hadi transformer bana.,Feb-23,
Mambatasta,@DrunkenMaster50,"Tumeshinda tukiulizia connection in athi river almost 2 years now tunaambiwawe need to buy a transformer (one household). Nyinyi muenjoy tu monopoly, wacha tuombe",Feb-23,1
rotich junior,@Thomas24331159,Please help the resident of kemeloi maraba ward they are in black out since last year December due to damage of transformer.,Feb-22,
Bernard Gichimu,@wacikubm,@KenyaPower_Care Restore power at Matangi area. Replace the transformer you carried away next to ACK Matangini church in Juja Constituency.,Feb-22,
Bernard Gichimu,@wacikubm,@KenyaPower_Care Why do you like mistreating your customers? We have been without power at Matangi area in Juja since Saturday. The transformer was taken on Monday and has not been replaced to date. Thugs are having their best opportunity to terrorize us!,Feb-22,
Shee,@joyce_sheey,"@KenyaPower_Care @KenyaPower Mtr no. 37163044714, no lights since midday... Apparently the transformer was taken by ur ppl who had mentioned it will be returned by 2pm but still no lights till now... Kindly advise",Feb-22,
Remmy Meso,@MesoAndrew,"@KenyaPower_Care 11 good days,24 man hrs daily.just look at the area around the transformer,most power lines are hugging tree trunks and branches in ths area yet we have people who are paid to do this.we have to keep away bees despite reporting the affect",Feb-22,
Kimaru,@gachuhi_sue,@KenyaPower_Care kindly assist to resolve transformer issue on reference number Ref 9147608.,Feb-22,
Optah,@kimeuoptah,"Halo halo
Mr and Mrs @KenyaPower_Care  please we are tired of staying in the darkness ust relate if it were you or your family in this situation We have been in darkness for a very long time Area 3 mathare north next to Las Vegas pub Transformer ikuharibuka kindly tunataka stima",Feb-22,1
mercy debbie,@mercydebbie6,Hey @KenyaPower_Care we have been in darkness for one month now somebody can't believe we are just next to the Kenya power headquarters near kca university... Mathare area 3.....they pass there daily and ignore reparing our transformer .....,Feb-22,1
Freddy Kyalo,@freddy_kyalo,@KenyaPower_Care It is almost 4 weeks since the transformer within Njoro (Beeston )was removed for replacement but we are still waiting..we are really suffering especially due to water shortage because we relied on the power @KenyaPower @susankihika,Feb-22,
The Kinsman,@FestusAlvesDiam,"@KenyaPower_Care we are still in shock on how can someone vandalize and steal the components of our transformer here in Kiptulwa-Sosur area of Bomet East, Longisa ward
This must be an inside job coz how yet power was cut .Kindly replace this asap!",Feb-21,
Kevin Kimamo,@KevyKillswitch,your maintenance caused an issue with the transformer in our area. Ref no 9139413 since yesterday. Kindly advise.,Feb-20,
Lil_krusty,@mutugi___,"There's this place in nyeri called embassy, the transformer was vandalized and now we've been in dark for 2 weeks",Feb-20,
BujaP,@buja_p,@KenyaPower_Care No power on Timau/Tigoni roads in Kilimani since 12.30am last noght when the transformer blew. When is power expected to return?,Feb-20,
Generation Z Champion,@erick31742933,Good morning @KenyaPower_Care 3 weeks later since i raised this issue and you guys acknowledged Nothing has been done. Is this how you take the issues of Kenyans with contempt?  Why should the issue of Transformer takes more than 6 months to be resolved?  Hii madharau kplc wako n,Feb-20,
Charles  Ngugi,@chngugi,@KenyaPower_Care @KenyaPower  ac 01450047699. I hve reported daily for the lst 2 wks on a malfunctioning transformer causing multiple outages. It gets worse frm noon till 7.30 pm! How hard is it to repair & how r the ref nos closed without resolution? cc ,Feb-20,
Sina Taabu,@TaabuSina,Your team is made up of cons who want to earn the overtime money while inconveniencing us. Everytime they do maintenance during day time we end up with blown up transformers. Mirema drive,Feb-19,
Rotich Leon,@rotichcooper,"Power outage Muthiga from 5pm to now, what could be the issue? We are always told there's a faulty transformer thus regular power outage, kindly work on it, businesses are affected greatly.",Feb-19,6
Masterkraft Photos,@masterkraft_pix,"@KenyaPower_Care good evening, we have had trouble all day with lights, & now all the neighbors have power apart from two houses. 
Suspected issue at the transformer since there was something burning. Kindly assist. 
Meter number 37221406988. Power issues",Feb-19,
Engineer Kevo,@kevoengineer1,"Hello,There is an interruption of power at our local area chebocho-kipchebor ward kericho.The breaker at the transformer section keeps cutting on and off",Feb-19,1
Sarah Mutua,@mutuasara,DM sioni kitu na hio transformer yenye imebeba hizo connections iko hapa https://goo.gl/maps/rNruBkc1oNpXZ5vG8… na fuse moja imeungua.,Feb-19,
maryann,@suttonshish,@KenyaPower_Care transformer along gathanga road Ashton apartments is faulty and lights are fluctuating please look into it,Feb-19,
Moses Kabera,@MosesKabera2,Transformer at njoro biston is now 4 weeks since you took it for replacement no water plz help,Feb-19,
ann wanjiro,@annwanjiro5,"Hello no power for four days now in raini since a transformer fault,,Acc.45077390370",Feb-19,
~Revolutionary,@Evening_primose,The whole area has no electricity your people took the transformer so account number is not going to help,Feb-18,
booboo,@boosherr,"Kikuyu nderi road. Landmark is conix piping company, silver star company, steel rolling, etc etc Transformer exploded. I can't get any clearer than that.",Feb-18,
booboo,@boosherr,@KenyaPower_Care we are having the same problems we had back in 2007 za a faulty transformer. Kampuni like 100 zimejengwa and our transformer is still substandard how is that possible after all this years?? Are you guys somehow becoming worse??,Feb-18,
booboo,@boosherr,@KenyaPower_Care we spent the whole day without electricity in Kikuyu zikarudi 3 and then promptly at 6 transformer ikalipuka sides za steel rolling Kwa makampuni. Seriously what do you guys want from us. We still have the worst transformer ever and it's ,Feb-18,
3REE SIDES,@edwinlaaria,There is a possibility of fire on a transformer,Feb-18,
Abbey,@abbeylumumba,"@KenyaPower_Care No power at meter no.04225878414 since 6am today. One phase missing 'cause neighbours have power. Located behind muhindi mweusi supermarket,Umoja innercore. Transformer next to umoja sda church.",Feb-18,
grid ojaka,@GridOjaka,Guys please just fix the faulty wiring on the transformer. It can't be that difficult,Feb-18,
Alice Gatwirie,@AGatwirie,Transformer burning utawala riverside court,Feb-18,
Brian Karari,@brian_karari,"@KenyaPower_Care  its day 27 without lights , i have now regressed to living like a cave man only being awake when the sun is up . Fix the damn Transformer at maguguni thika east christian area 
#14february",Feb-15,
Danny Dan,@ClassicDan424,The issue is that there is no transformer,Feb-15,
AbedMutai ❁,@Abedmutai,Transformer near Sokyot primary Turbo constituency it seems the power line is highly unstable.,Feb-15,
Prezida,@barasah_ke,"It's not about the meter number, it's about a whole area, I don't have access to the meter number. The problem is from the transformer. It was disconnected from there.",Feb-15,
Nyambura Kamiti,@nyamburakamiti,And what about the transformer in Zimmerman which blew since friday?,Feb-14,
Ömeñvirus,@omenge11,"What happened blackout almost a month now kisii county on your way to Rongo aplace called mesisita,,,you have never replaced the transformer",Feb-14,3
jose_',@Sladewi97k,"It's been 8 weeks since the transformer failed at ihindu Naivasha..kazi ni fake promises tu
Na kuzunguka tu na magari ATI ndo muonekane mnajari... that's arrogance",Feb-14,1
ZACHARY NYAKOE,@zachary_nyakoe,"@KenyaPower_Care at Kineni Dispensary in Nyamira county, we Haven't had power over the past one week. Due to transformer failure. Please consider this as emergency !",Feb-14,
Prezida,@barasah_ke,"Actually it's not about me, it is about a whole area with a radius of about 500m.The transformer had a little problem on Friday evening where some buildings had no power. So on Saturday afternoon your personnel came but instead of doing the repair, they brought the whole thing.",Feb-14,
Kevin_Amayo,@Amayo6Kevin,"So, are we waiting for them to come next week to just insert the poles and then again come in the next two weeks with the transformer? Can't they really see the suffering they're causing people. Are they aware some people are jobless in this place because of them, with bills.",Feb-14,
Kevin_Amayo,@Amayo6Kevin,"Kenya power these people you send to us are just not serious. Two weeks ago, they came and with the transformer and realized the poles needed replacement. Yesterday they came with a very big lorry just to dig three holes, just three holes then went back.",Feb-14,
Tonny Brian Mugendi,@TonnyBrian16,"Hello, transformer imeblow at Ruaka, Kajeraina next to Davison point appatment. Hii valentine's itakuwa candle lit dinner",Feb-14,1
SINDE Skatespearé,@sindednis,@KenyaPower_Care Transformer imelipuka huku State House. Kujeni mtusaidie,Feb-14,
Njoroge,@Joe_AlexN,"@KenyaPower_Care, exploding transformer near Gacharage Primary School, Ruaka. Mtr No: 46202151422",Feb-14,
Brian Karari,@brian_karari,"@KenyaPower_Care 
Day 26 without electricity in maguguni christian area thika east , i have now adapted and evolved into mobius
Using echo location to see at night. Fix the damn Transformer  
#14february #MensConference2023",Feb-14,2
the Editors,@Steven14355870,"My county makueni
Constituency kaiti
Sub county kilungu
Ward.  Ilima 
Location kyamuoso
Kyamuoso village
We are served by kyamuoso secondary school transformer, my contact 0712433836",Feb-14,
Mickey Michael,@mickeyrebel,"@KenyaPower_Care I told u we are losing & u guys will never fill it. It's us counting our loses. Fix this mess. Account 14140400103. If it's overload fix it, if it's the transformer change it. We are tired of this crap.",Feb-13,
Brian Opiyo,@tallfish885,"Just the guy there with a pliers, doing something to the transformer. No sure what….",Feb-13,
Love Nature.,@RalphSungu,"@KenyaPower_Care this is a transformer being installed at Nyamanga Beach,Rarieda.2yrs ago,you did install one at nearby beach,Wikwang & to date,no connectivity.Transformers that don't conduct power don't transform people's lives,unless these are PR stunts",Feb-12,
Irungu Wachomba,@Mubangizi6,Is it the bureaucracy or you guys hamna transformers?,Feb-12,
Phossie,@Phossie,@KenyaPower_Care we have had a transformer issue now we are entering week 3..your quick assistance will be appreciated. Account number 54500594228 Kamulu near the police station,Feb-12,
Ng'endo,@its_ngendo,"@KenyaPower_Care Hello  We haven't had lights since yesterday 11:00 am. It's a transformer issue and it's affecting only 1 line. This is in Ongata Rongai, Kimani Road, Rimakebo Apartments. Meter Number 22170446433. Could you kindly follow up for restorati",Feb-12,
Irungu Wachomba,@Mubangizi6,"We have no power weteithie maraba for two weeks and your customer care executives keep on giving reference after reference, the problem is a blown transformer and it actually blew up when they were working to restore the power,since then they have never been there",Feb-12,
Lawrence Otieno,@osumba81,"@KenyaPower_Care Hi, we have no power and Huruma, Ngei 2 next to AIPCA church, Nairobi.Transformer on fire",Feb-11,
regine deena,@DeenaRegine,@KenyaPower_Care hello kplc!! we havent had electricity since jana 5 pm when the transformer blew upto now! we are loosing alot of business and food getting spoilt please work on ut ASAP ! located at rhombo house impalla villas ongata rongai,Feb-11,1
Immaculate,@imacculatee,"Hey @KenyaPower_Care we've been in black out in rongai Masai lodge  for two days, na sioni mkishughulikia hii transformer.",Feb-11,
Salim Elias,@salim_elias,"@KenyaPower_Care Transformer hanging precariously in City Park estate outside Park Ville Medical centre, City Park crescent",Feb-11,
Bethwel,@Bethwel08981009,"-1.19928,36.88527 This pin will drop you exactly to your transformer.... Kindly follow we are tired.",Feb-11,
Bethwel,@Bethwel08981009,"Am going to share with you a photo of your transformer that exploded and till date noone has bothered to check we are in darkness ..
Kenya power in not the same kenya power we had. @KenyaPower_Care @StateHouseKenya
Location :Nairobi - Njathaini (ngomongo)",Feb-11,1
david mogaka,@DavidMogaka,"@KenyaPower_Care In darkness for the past three days and it looks like we may be in this situation until next week,just because of the transformer oil or something that emergency team can handle-14402968185
Please help us.",Feb-11,
B.S,@nyex_dein,"Please note that there's no transformer, and we have been out of power since Monday.",Feb-10,
Billionaire,@NjeriMuiruri6,"Aki Kenya Power,Moisbridge Transformer iliungua,not the whole town but side ya home kwetu . It's now two weeks,nothing has been done. Please do something,our businesses are at stake without the electricity. Tutangoja hadi lini.",Feb-10,1
Mr. Noww,@odhisss,"Its over 24hours now, since the blackout... Apparently there was a transformer blew up... I raised this",Feb-10,
Ramah Cheboit,@RCheboit,I have appreciate some progress made only to fix the transformer very risky with the hanging wires,Feb-10,
IamBrianKing,@BrianKing3236,How quick can it be solved? Nijipange for the duration. I hear it's about transformer.,Feb-10,
Kinyua,@Kinyua69699096,@KenyaPower_Care transformer haikuenda watu waliskia wakapotea still hatuna stima Nyahururu office where is our transformer we need light back 8days so for far.....na matusi muache we are your bosses........@davis_chirchir,Feb-10,
Ndiema Amos,@NdiemaAmos3,"Othe lines have electricity without any blackout, our line from the same transformer have four days blackout. When it comes, inakuja kama dose then gone again.. we are much disappointed.",Feb-09,
Holyb Kenya,@HolybKenya,"@KenyaPower_Care Kindly if you don't want to provide electricity in some parts of Kenya kindly let us know so that we can opt for other options instead of replacing our transformer with the old one that keeps burning our equipments.
Am damn done with you.",Feb-09,
grid ojaka,@GridOjaka,"@KenyaPower What will it take for you to fix a faulty connection on this transformer? Are you waiting for an electrocution incident?! FAULTY TRANSFORMER PRODUCING SPARKS AND CONSTANT BUZZING SOUND,MT VIEW REFLECTIONS FLAT NEXT TO TOSHA PETROL STATION,WAIY",Feb-09,
B.S,@nyex_dein,@KenyaPower_Care  tumeibiwa Transformer huku Nyeri kutoka Monday.,Feb-09,
KOX Antony RAshY,@ItsAntoRashy1,"Seems like the transformer had a burst, the team better be equiped",Feb-09,
mumbi,@MumbiWay,"9 blocks with more than 500 tenants...my meter number alone wont help...here is my reference number 9102447...the overloaded transformer has blew again...happens every 3 days...send a team...epic ridge kibichiku, getathuru road",Feb-09,1
henry Mmene,@Henrymmene,@KenyaPower_Care A blackout imetokea huku Umoja after hearing whats sounded like a transformer explosion.  Acc 37207829245,Feb-09,1
Mr. Noww,@odhisss,"@KenyaPower_Care transformer serving us has apparently blown up. There is no power... Kindly check this out, around Kwetu County Resort in Saika",Feb-09,
Rizzman,@moedwine,"Please suggest to technicians to interchange terminals kwa transformer, kuna line mbili hizo zingine huwa na power all through na ni same transformer. Wa interchange line yangu na one of those of 2, I’m working from home na power disruption is not something to be entertained",Feb-09,
Kuriah,@briankuria6,"@KenyaPower_Care hi, transformer imeugua, again. Replace with a more powerful transformer sio hiyo tumitungi huwa mnaweka. Account 25905332",Feb-09,
Rizzman,@moedwine,"@KenyaPower_Care 

The issue is yet to be sorted
Are you sure the Busia guys are upto task?
They look so incompetent, in Eldoret it takes 2 hours max to restore power, Hapa ni 2 days na bado na si ati ni transformer ime blow, ni one line haina power na zi",Feb-09,
Ephantus,@ephantuss_,@KenyaPower_Care Norec centre in Kitale is still in darkness for almost a week now since the transformer blew up. To date no communication has been issued.Businesses have been severely affected!,Feb-09,
Usinisinye_ke,@Naemah_ke,"Sending account number won't help...just send the team on the ground then you'll have the report on this.... luanda junction transformer sang'alo,Bungoma Iko overloaded during peak hours causing the fuse to blow",Feb-09,
Doxy B,@b_doxy,"Arrangements have been going on for the last 7 months to replace the transformer, the latest we were told you were trying to borrow from the neighboring regions . Can the community buy one so that you can replace",Feb-09,
beryl jusa,@beryl_jusa,"Note that personally I am not connected to the electricity grid so no meter number. However there are those connected and my pain point is the water issue which the transformer aids. 
The area is in Ruiru Area, Kiratina school along eastern bypass",Feb-09,
jeddy maina,@jeddy_maina,"I've been calling you guys and tweeted about it too about our transformer and you've not done anything yet it's been 3months, when will you replace the transformer and what's taking you guys Soo long ? It's annoying to say the least...46902492 acc no.",Feb-08,
beryl jusa,@beryl_jusa,"Note that personally I am not connected to the electricity grid so no meter number. However there are those connected and my pain point is the water issue which the transformer aids. 
The area is in Ruiru Area, Kiratina school along eastern bypass",Feb-09,
jeddy maina,@jeddy_maina,"I've been calling you guys and tweeted about it too about our transformer and you've not done anything yet it's been 3months, when will you replace the transformer and what's taking you guys Soo long ? It's annoying to say the least...46902492 acc no.",Feb-08,
Lillian Imbabazi,@LImbabazi,"This is still not sorted, reference number everyday, a generic response but no action. No power every 7pm to late night for last 2 weeks. Your team comes to rhe transformer daily and does nothing. What's the problem. 04214807044",Feb-08,1
Owino_,@Guardfather001,you guys took our transformer and connected us to a small one now we are suffering and you are not even bothered....tuko kwa giza ata sahii do something please,Feb-08,
steve koskei,@koste76,It's affecting a whole village disconnecting transformer from the main line,Feb-08,
Eunice Wambua,@eunice_wambua,@KenyaPower_Care We have had no power since Monday due to transformer theft near Christ the King Major Seminary Nyeri-Nyahururu Rd.,Feb-08,
Ogachi Nyaronge Moturi,@OgachiNyaronge,"@KenyaPower_Care 8743619 lest you forget. The faulty transformer was removed and taken away. Patiently waiting for replacement. 6 months now and counting, though you are aware it is taking ages. Procuring one from China takes 4 weeks though..",Feb-08,
norahireri,@nkiroteireri,"@KenyaPower_Care A transformer blew along Trm Drive, is anything being done about it 6 days later ?, we are in darkness",Feb-08,
John Makatiani,@JMakatiani,There is a faulty transformer along Shamakhokho-Seremi road. There is a lose cable connecting power to my house. Kindly intervene with the local MBALE OFFICE. have been following it up from last week Friday.,Feb-08,
Kim Ooga Mangoa,@brainy_doctor,"@KenyaPower_Care transformer blow heard, blackout in south b balozi acc no 04215355308",Feb-08,1
Ferrosounds,@Calebfero,"@KenyaPower_Care  you guys mumetuweka we are not even in the plan for loadshed, how much time do you need to fix a transformer. Tafadhali tusaidiane...help us with stima.. #we #want #stima",Feb-08,
Nashon,@Nashontn,"@KenyaPower_Care  so you mean you can't act upon a  complain about a whole town lacking power because of a faulty transformer which is in a public primary school,  simply because i have not given you my contact and metre number???",Feb-08,
Asuman makoz,@AsumanYusuf2,"But why  are they removing the transformers, here in kosofo they have remove and Kampala ndogo kwanini",Feb-08,
ROBERT MUIRURI,@RobertMuiruri,What's happening....since 30th...the same transformer supports pumping of rujiwasco water.. so no water no electricity...these are basic needs.....,Feb-07,
beryl jusa,@beryl_jusa,"@KenyaPower_Care kindly update on the reference number 9074308 in Kiratina Ruiru where a transformer stopped working due technical issues on 30th January.

Note that the said transformer was picked last week and it facilitates water supply in the Kiratina",Feb-07,
grid ojaka,@GridOjaka,"Thanks, though sadly nothing has been done yet. The transformer is  still buzzing with sparks flying. Please take this seriously. Mt View Reflections flat, near Tosha petrol station, Waiyaki Way",Feb-07,
Kevin_Amayo,@Amayo6Kevin,Kenya power you mean you have completely refused to repair this transformer! Around two months down the line many businesses down and life is continuing like nothing happened!,Feb-07,
Kalekye Margaret,@KalekyeMargaret,"@KenyaPower_Care 0208000244 Ruiru office line never goes through. How do I report my issue? Lights dim and flickering since 5pm, transformer faulty, emitting sparks",Feb-07,1
norahireri,@nkiroteireri,"@KenyaPower_Care a transformer along TRM Drive blew up on Friday and 5 days later you have not yet sorted it, nor sent anyone to check it out, we are still in darkness, when do you plan on replacing it?",Feb-07,
Peter Njenga,@Peternjenga6,"@KenyaPower_Care we have had a power blackout since yesterday morning. Account number 54401568123 area called transformer in  Munyu, Kieni East. Same recurring problem since. Kindly assist urgently.",Feb-07,
Kasili Jr.,@KasiliAndrew,"Hello, there's probably a faulty transformer around Kware Area-Embakasi South Area. Act swiftly.",Feb-07,
Javan Tsisekedi,@Javan_Tsisekedi,"The Transformer at Isanda Primary School,a stretch from Esirulo market on Stendkisa-Yala road has not been replaced, 3wks now.False promises.
Mtre no: 37173227325,Phone 0722799000",Feb-07,
grid ojaka,@GridOjaka,"@KenyaPower_Care This transformer at Mt. View Reflections apartment near Tosha Petrol Station, Waiyaki Way has a loose connection its buzzing throughout and produces   sparks. Please fix it before someone gets hurt!",Feb-05,
Drue,@Drue62507584,"@KenyaPower_Care  the transformer at trm drive,roysambu blew up on Friday 10:22pm and nothing has been done since then.Things are spoiling and businesses losing money.Kindly check this out.",Feb-05,
zachary nyakoe,@zacharynyakoe1,"Good evening
Am writing from Nyamira county , Borabu sub county, esise ward near Kineni Dispensary. We have been experiencing power shortage since Wednesday last week due to transformer failure.",Feb-05,
The Muthoka®,@MuthokaTito,"Evening. Had no power since jana asubuhi, been the trend for like a month now, power out like once every 2 days. The transformer is small (& faulty), needed upgrade when Last Mile Connectivity program was implemented in 2020, but that hasn't happened yet.

ACC/ 37231695935",Feb-05,
Angelis,@Angelis69082039,"Whats happening at TRM drive one phase?its barely been 2weeks since we had issues with the transformer,are you guys targeting us or what?Since 9l ast night",Feb-05,
Hamlet,@hamlet_asfha,"@KenyaPower_Care Good morning,  this is now the 4th time I'm contacting you regarding the issue of random power outages in Mirema lane, Roysambu. The technicians on ground keep replacing fuses at the transformer nearby with no lasting success. A/C 2217039",Feb-05,
alloy,@____alloy,"@KenyaPower_Care no electricity since early January,transformer spoilt near Mukoye Primary School,Shiatsala-Mukoye Rd, Butere Subcounty,Kakamega",Feb-05,
Baba TK,@Michaelowino4,@KenyaPower_Care please check the meter number 01450405269. No electricity since yesterday there was some blast from the transformer nearby.,Feb-05,
Milàn Ocêán,@milan_ocean,@KenyaPower_Care You guys are just useless tume kaa bila stima for one good week na hata hamujiu transformer inarudi lini SASA nani ata jua? Can you guys just improve bana na munganishe akili zenu mjue vile mta tu saidia,Feb-04,
peterkaroki,@peterkaroki7,Hello tinganga kiambu problem with transformer lights comes and goes whole of this week need fixing meter no 54501330952,Feb-04,
Samuel Kiongo,@SamuelKiongo_,"You should fix your Transformer for once, Thika Salama Estate. How can other parts have lights yet our lane keeps on having problems?",Feb-04,
paulmuchai,@paulmuchai5,Kindly assist people from Karura Kagongo near the seventhday  church the transformer blew up it's total darkness in the area.,Feb-04,
Benny Ivosh,@BennyIvosh,"Please help the people of Mutini village and Sec school along Kabati Kwamutonga Kwa vonza route. The transformer was carried after breakdown and we are suffering. 
Ben Ivongo
@benivosh.",Feb-04,
Simon Mungai,@SimonMu06755753,kenya power please we have problem in our transformer since Wednesday night. and when call you emergency team the are not coming back out back out kenya power please,Feb-04,
Ben,@Bensalil18,The issue was resolved and the transformer changed.  Thank you,Feb-04,
Hillary Abdulu Ole Kipruto,@Hilarykip,"@KenyaPower_Care please send the crew, account 54602192434. Hiyo Fuse huchomeka,looks like the transformer is no longer able to serve the load. Now heading o 24hrs in darkness",Feb-04,
Alessio Gori,@Gori680,Thanks. I believe that this is an issue with the transformer on Ndoto Road as it’s happened before affecting only a few houses.,Feb-04,
Kariuki Benard,@Kareez254,"@KenyaPower_Care when are you guys coming to replace our transformer, we are really suffering since we can't pump water due the fact that we use three phase to pump. Ref account no 35693940",Feb-04,
IsmaEzo,@IsmaEzo,we have a market where the contractor did everything and business have been waiting for power for the last 2years...if they questioned they were told that the contractor had not paid the transformer bribe in order for kplc to install..miyonga and nzoia-market siaya,Feb-04,2
Ben,@Bensalil18,The issue was resolved and the transformer changed.  Thank you,Feb-04,
Hillary Abdulu Ole Kipruto,@Hilarykip,"@KenyaPower_Care please send the crew, account 54602192434. Hiyo Fuse huchomeka,looks like the transformer is no longer able to serve the load. Now heading o 24hrs in darkness",Feb-04,
Alessio Gori,@Gori680,Thanks. I believe that this is an issue with the transformer on Ndoto Road as it’s happened before affecting only a few houses.,Feb-04,
Kariuki Benard,@Kareez254,"@KenyaPower_Care when are you guys coming to replace our transformer, we are really suffering since we can't pump water due the fact that we use three phase to pump. Ref account no 35693940",Feb-04,
IsmaEzo,@IsmaEzo,we have a market where the contractor did everything and business have been waiting for power for the last 2years...if they questioned they were told that the contractor had not paid the transformer bribe in order for kplc to install..miyonga and nzoia-market siaya,Feb-04,2
ジョン Otawa,@Sir_otawa,"I left in the morning and there was still no power,midday my neighbour called me and told me there is still no power and one of the three phase cables had disconnected from the transformer.... kunya primary school,Kunya CDF office,kibos,kisumu...",Feb-03,
lee isaac,@leeisaac88,"@KenyaPower_Care hello, there have been strong winds causing power cable to collide and start sparking around causing power outage in Aberdare solid rock pipeline. The transformer is near full gospel church. Kindly assist",Feb-03,
African Princess,@ZeyMshanga,So there are no plans yet? Can you please give us a fixed date on when the team will add another transformer?,Feb-03,
Cyrus W Ngatia,@cyruswamb,"@KenyaPower_Care in City Park ,there is a transformer leaning dangerously to one side and can fall any moment, causing damages. Please have it checked urgently and rectified. My account number is 23038151....Kassim Close road.",Feb-03,
Wilbright Insurance Agencies.,@wilbright867,"You promised us replacement for the faulty transformer, we've been in darkness for almost a week now",Feb-02,
Excel Kevin,@excelkevv,"No power in Church Road Fedha, some houses in the same building have power while others don't. The main issue is usually due to an overloaded transformer of which the team that you usually send clearly stated in Dec 2022 that the transformer will never be changed. Walisema tuzoee",Feb-02,
Vero Wangari,@WangariVero,"@KenyaPower_Care Good evening. We don't have power. I had reported to you some time back, that our transformer burnt, yet upto date, it have not been replaced. Now along my line, all household have no power. Behind kirigiti international stadium",Feb-02,
Johnson Oniambe,@ogatonico,"@KenyaPower_Care we have stayed for one full week without electricity in Utawala opposite quick matt supermarket on your way to Ridge ways or Gitunguri. The transformer within that are has electrical problems, kindly do the necessary asap",Feb-02,
ryl,@_chaghu_,Dependent on what fault yet mmechukua transformer Leo Na stima zilipotea Monday? So pia coming to Utawala to pick the transformer before today is a transformer fault??...aahh mnachosha,Feb-02,
ryl,@_chaghu_,"Ata mkiniignore I will still tweet about the power situation at Benedicta, Utawala. Your guys came and took the transformer at 11am na hadi sai nothing has been done. Na leo ndo wamechukua transformer since Monday!Enyewe mko na madharau",Feb-02,2
Tepeyian Rissah,@tepeyian,"@KenyaPower_Care please look into restoring power in thindigua kasirini area. There was an explosion at the transformer prior to outage. Please expedite soonest possible.

Landmarks are feruzi towers and maybe tsavo apartments. Thanks.",Feb-02,1
