Author,Handle,Media URL,Reposts,Likes,Comments,Views,Post Link,Profile Link,Post,Date,Name,Retweets,Tweet URL,Post Body,Timestamp
Sky Jimmy,@Youngskyjimmy,,,,1.0,23,https://x.com/Youngskyjimmy/status/1817588127927800177,https://x.com/Youngskyjimmy,"@KenyaPower_Care Hi, No Power For Hours Now In Makadara Mogas, Jogoo Rd. Total Blackout!!",28-Jul,,,,,
Jeff,@st_kiag0,,,,1.0,35,https://x.com/st_kiag0/status/1817583127688356188,https://x.com/st_kiag0,"@KenyaPower_Care a/c no 14467578663 juja mastore area, kalimoni road abasalama primary. Power blackout for hours please assist",28-Jul,,,,,
Gikundi Michubu,@GikundiMichubu,,,,,39,https://x.com/GikundiMichubu/status/1817544957575434645,https://x.com/GikundiMichubu,"Why didn't you give notice about the blackout at Gakale area of Kombani in Kwale County? Since Thursday night up to now, you must be joking.",28-Jul,,,,,
Benjamin Milimo,@BenjaminMilimo,,,,1.0,175,https://x.com/BenjaminMilimo/status/1817480061517242847,https://x.com/BenjaminMilimo,@KenyaPower_Care blackout at Bungoma police area since 7 am,28-Jul,,,,,
SYLVIA,@sylviakwamboka_,,,,,61,https://x.com/sylviakwamboka_/status/1817469108918608327,https://x.com/sylviakwamboka_,@KenyaPower_Care  at what time will this blackout end ?,28-Jul,,,,,
Mayer Dickens,@Merab_Dickens,,,,2.0,116,https://x.com/Merab_Dickens/status/1817465505604591930,https://x.com/Merab_Dickens,@KenyaPower_Care mbona tuko na blackout on Sunday na hakuna scheduled maintenance . Please Restore MTR45072838779,28-Jul,,,,,
Simon oyamo,@oyamoh,,,1.0,1.0,712,https://x.com/oyamoh/status/1817418572177514922,https://x.com/oyamoh,Morning kindly note that we have a power blackout around Tassia Embakasi East near Baraka Estate. Kindly expedite to restore normalcy-Meter No-37176295519,28-Jul,,,,,
Dee Njeri,@MDee_Njeri,,,,1.0,60,https://x.com/MDee_Njeri/status/1817417894235365531,https://x.com/MDee_Njeri,"@KenyaPower_Care surely, blackout at 6am on a sunday morning? Tassia police post area mtr 37151171115.",28-Jul,,,,,
Amb. Derek,@254diplomat_,,,,1.0,31,https://x.com/254diplomat_/status/1817289266713477255,https://x.com/254diplomat_,"Hi, I complained yesterday about Koru-Soin Dam and Got Alila Area, no response or reaction. We're still in utter blackout. Called people in your office, nothing. This level of incompetence must stop. Equipment at that site of the dam are at risk. Do something and call Muhoroni",27-Jul,,,,,
Madee,@Madee1641196,,,,,3,https://x.com/Madee1641196/status/1817283782971641871,https://x.com/Madee1641196,"@KenyaPower_Care 
Kindly We have been having a blackout from last night
Reference number 11603223
We have waited the whole day for your team
Thank you",27-Jul,,,,,
Susan Munene,@susanmunene,,,,1.0,126,https://x.com/susanmunene/status/1817267783601999915,https://x.com/susanmunene,"34363218 MUKIMA GARDEN ESTATE BLACKOUT FOR 72 HOURS (3 DAYS). ALL OUR FOOD IS NOW BAD, OUR CHARGEABLE LIGHTS N PHONES DEAD. WE ARE STUCK.",27-Jul,,,,,
Njeru,@NjeruSamuel,,,,,20,https://x.com/NjeruSamuel/status/1817248255471665381,https://x.com/NjeruSamuel,@KenyaPower_Care @KenyaPower Why blackout now? See DM,27-Jul,,,,,
Maria Mbeneka,@mbenekam,,,,2.0,300,https://x.com/mbenekam/status/1817247477587738748,https://x.com/mbenekam,@KenyaPower_Care power blackout in my area. This is my reference number 11603994. Kindly advise,27-Jul,,,,,
giddy Cassie,@giddy685,,,,,24,https://x.com/giddy685/status/1817246866628898956,https://x.com/giddy685,Heyy why does blackout in our area every day like we can't have good electricity without getting lost,27-Jul,,,,,
octavia_butler_knew,@thekimisdead_,,,,,22,https://x.com/thekimisdead_/status/1817246512650264848,https://x.com/thekimisdead_,"@KenyaPower_Care Blackout in Meru
Account number 16619324.",27-Jul,,,,,
Dan Kaburu,@KaburuDan,,,1.0,,48,https://x.com/KaburuDan/status/1817243134356566351,https://x.com/KaburuDan,"@KenyaPower_Care hello... Last night it was a blackout which continued the whole day till now. Is it possible to inform us on time not to store food items? Coz the loses are too much!!.. I wonder for how long... 54607980494.
It's sickening!",27-Jul,,,,,
Susan Munene,@susanmunene,,,,,21,https://x.com/susanmunene/status/1817239837717438910,https://x.com/susanmunene,"PLEASE RESPOND TO DM. 34363218 BLACKOUT FOR 72 HOURS (3 DAYS). ALL OUR FOOD IS NOW BAD, OUR CHARGEABLE LIGHTS N PHONES DEAD. WE ARE STUCK.",27-Jul,,,,,
Freedom fighter,@BoucherDecors,,,1.0,,15,https://x.com/BoucherDecors/status/1817237512475005102,https://x.com/BoucherDecors,"It is very irritating when we have one place where we keep having power blackouts every evening!! Everyday we have to have a blackout. We just finished 2full weeks without power!

Are you bagas not ashamed???

Incompetence per excellence

Complaint No. 11603767",27-Jul,,,,,
Grace Gachagua,@gachagua_grace,,,1.0,,16,https://x.com/gachagua_grace/status/1817233073655750806,https://x.com/gachagua_grace,I am in blackout  my meter number is 37267153338 though I am not in the designated area,27-Jul,,,,,
Miss Pope,@TinahOuru,,,1.0,2.0,40,https://x.com/TinahOuru/status/1817226477911294446,https://x.com/TinahOuru,"@KenyaPower_Care Need assistance with my token metre. It keeps on showing failed when I try and feed tokens. It had been stuck on same token readings for some days, I got alarmed and decided to buy new tokens but the won't go through and now I'm in blackout. Here are the details",27-Jul,,,,,
malachinakome,@malachinakome1,,,,,23,https://x.com/malachinakome1/status/1817140432284922326,https://x.com/malachinakome1,I want to report about power blackout in Kariobangi but please also find out why they are so common. Could the field team be cashing on allowances for restoration? Meter number 14104235123,27-Jul,,,,,
malachinakome,@malachinakome1,,,,,19,https://x.com/malachinakome1/status/1817140404673777940,https://x.com/malachinakome1,I want to report about power blackout in Kariobangi but please also find out why they are so common. Could the field team be cashing on allowances for restoration? Meter number 14104235123,27-Jul,,,,,
malachinakome,@malachinakome1,,,,,20,https://x.com/malachinakome1/status/1817140359916306894,https://x.com/malachinakome1,@KenyaPower_Care I want to report about power blackout in Kariobangi but please also find out why they are so common. Could the field team be cashing on allowances for restoration? Meter number 14104235123,27-Jul,,,,,
Jeanette,@JnttNemo,,,,1.0,82,https://x.com/JnttNemo/status/1817125613100048551,https://x.com/JnttNemo,@KenyaPower_Care no power on Mirema road and usiu road since morning. Is this a scheduled blackout?,27-Jul,,,,,
Geoffrey Kuria,@GeoffreyKuria17,,,,,16,https://x.com/GeoffreyKuria17/status/1817117310760411557,https://x.com/GeoffreyKuria17,"@KenyaPower_Care 
Kindly assist blackout seasons road camp david account number 45136248569 Wood fall on cables",27-Jul,,,,,
Patrick Munene,@Patmsoo,,1.0,,,134,https://x.com/Patmsoo/status/1817109353935089782,https://x.com/Patmsoo,"@KenyaPower_Care We are not even in August yet, I wonder how we in Lower Kabete are going to survive. Whenever we have a blackout, it takes more than 24hours to have it fixed, tumechoka!!! #lowekabete #wangige",27-Jul,,,,,
Jeff,@st_kiag0,,,,,23,https://x.com/st_kiag0/status/1817087784848416974,https://x.com/st_kiag0,"@KenyaPower_Care a/c no 14467578663 ,juja mastore area, kalimoni road, abasalama primary. Power blackout since last night kindly assist",27-Jul,,,,,
januszy,@januszy2,,,2.0,,196,https://x.com/januszy2/status/1817072665221357961,https://x.com/januszy2,"@KenyaPower_Care Hey 
I am experiencing a power blackout in Utawala 
My meter number is 14245762316
This has been going on for the past 24 hours. Kindly address the issue",27-Jul,,,,,
januszy,@januszy2,,,1.0,,65,https://x.com/januszy2/status/1817065201084015009,https://x.com/januszy2,"@KenyaPower_Care Hey 
I am experiencing a power blackout in Utawala 
My meter number is 14245762316",27-Jul,,,,,
REGISTERED NURSE,@femaleward1,,,,1.0,101,https://x.com/femaleward1/status/1817038304681893996,https://x.com/femaleward1,There is blackout in utawala fr now over 12hrs,27-Jul,,,,,
januszy,@januszy2,,,,3.0,214,https://x.com/januszy2/status/1816927548242301379,https://x.com/januszy2,"@KenyaPower_Care Hey 
I am experiencing a power blackout in Utawala 
My meter number is 14245762316
Kindly assist",26-Jul,,,,,
Esther Ngaru,@Estherngaru,,,,,15,https://x.com/Estherngaru/status/1816911401333739560,https://x.com/Estherngaru,@KenyaPower_Care Limuru office address the strategic blackout at Lower Kabuku.,26-Jul,,,,,
REGISTERED NURSE,@femaleward1,,,,1.0,101,https://x.com/femaleward1/status/1817038304681893996,https://x.com/femaleward1,There is blackout in utawala fr now over 12hrs,27-Jul,,,,,
januszy,@januszy2,,,,3.0,214,https://x.com/januszy2/status/1816927548242301379,https://x.com/januszy2,"@KenyaPower_Care Hey 
I am experiencing a power blackout in Utawala 
My meter number is 14245762316
Kindly assist",26-Jul,,,,,
Esther Ngaru,@Estherngaru,,,,,15,https://x.com/Estherngaru/status/1816911401333739560,https://x.com/Estherngaru,@KenyaPower_Care Limuru office address the strategic blackout at Lower Kabuku.,26-Jul,,,,,
Esther Ngaru,@Estherngaru,,,,,10,https://x.com/Estherngaru/status/1816908216737083551,https://x.com/Estherngaru,@KenyaPower_Care 37193554971 blackout every evening. No assistance from your Limuru team,26-Jul,,,,,
Kidlary ke,@kidlary,,,,,86,https://x.com/kidlary/status/1816903152836174306,https://x.com/kidlary,"Utawala there's a blackout na imelast for like 5 hours now, this wasn't communicated",26-Jul,,,,,
Eternally Vigilant,@wambuijl,,,1.0,,356,https://x.com/wambuijl/status/1816887409168072955,https://x.com/wambuijl,Why is there an unscheduled blackout now though?,26-Jul,,,,,
its.denzy,@denzy_its,,,,,303,https://x.com/denzy_its/status/1816886096946503732,https://x.com/denzy_its,Should githurai 45 expect another blackout tomorrow tell us tukae tukijua,26-Jul,,,,,
miss Leah muthoni,@Leah_muthoni11,,,2.0,,212,https://x.com/Leah_muthoni11/status/1816883221960732953,https://x.com/Leah_muthoni11,We always have a blackout in utawala airways which takes a week to be back.wat exactly is ur problem.we always see ur vehicles zikizunguka uku ama ni madem mnakuanga mkiangalia.very incompetent,26-Jul,,,,,
Nickson Kiprop,@Nickirui032,,,,,908,https://x.com/Nickirui032/status/1816882654530404751,https://x.com/Nickirui032,Part of kawangware for now blackout please,26-Jul,,,,,
A I,@Andrew_In22,,,,,21,https://x.com/Andrew_In22/status/1816878700618473509,https://x.com/Andrew_In22,"@KenyaPower_Care  we are having a power blackout,I have inboxed details",26-Jul,,,,,
Dunamis Clements,@DunamisClement1,,,,,92,https://x.com/DunamisClement1/status/1816871465763110957,https://x.com/DunamisClement1,@KenyaPower_Care what’s happing with power in Utawala around Benedicta area? There is a blackout since 5:00 pm,26-Jul,,,,,
CK,@tech_speaker,,,1.0,2.0,55,https://x.com/tech_speaker/status/1816869529127153712,https://x.com/tech_speaker,"@KenyaPower_Care I've been unable to purchase token for 4hrs now. Pls look into it, I'm in blackout",26-Jul,,,,,
Aspoto,@pujols_24_,,,,1.0,89,https://x.com/pujols_24_/status/1816860930103193869,https://x.com/pujols_24_,"@KenyaPower_Care Hi! Power blackout since 4pm today at Thome Apartments, Gathiga area. Meter no. 14467248044.

Near Ekaya Gardens, Kindly advise.",26-Jul,,,,,
Patrick Munene,@Patmsoo,,,3.0,1.0,1.5K,https://x.com/Patmsoo/status/1816835428898521449,https://x.com/Patmsoo,"@KenyaPower_Care Blackout in Kamutiine, around Accurate Health centre, lower Kabete. Account 14468269650",26-Jul,,,,,
januszy,@januszy2,,,2.0,1.0,678,https://x.com/januszy2/status/1816827093272936796,https://x.com/januszy2,"@KenyaPower_Care Hey 
I am experiencing a power blackout in Utawala 
My meter number is 14245762316",26-Jul,,,,,
its.denzy,@denzy_its,,,,,35,https://x.com/denzy_its/status/1816759758122054111,https://x.com/denzy_its,@KenyaPower_Care can barely hide their urge of suppressing the people of Githurai economically through numerous power blackout's note You will never see githurai in those statements they give on places that will experience power blackout's,26-Jul,,,,,
Mary,@Mary71876765,,,,,24,https://x.com/Mary71876765/status/1816729813232542193,https://x.com/Mary71876765,Githurai 45 tumekuwa na blackout on and off aki please do something meter number 46201682138,26-Jul,,,,,
Paps Gachanja,@papsgachanja,,,,,16,https://x.com/papsgachanja/status/1816724772933304779,https://x.com/papsgachanja,"@KenyaPower_Care blackout since last night in Molo area, Mucatha(kiambaa).
Kindly assist.",26-Jul,,,,,
Ivine Kemei,@KemeiIvine,,,,2.0,616,https://x.com/KemeiIvine/status/1816549121504985436,https://x.com/KemeiIvine,"hello have tried since morning to load token in my meter but it keeps on telling failed, kindly assist am in blackout",25-Jul,,,,,
trapp.ke,@_bund_o,,,,2.0,155,https://x.com/_bund_o/status/1816531514730979738,https://x.com/_bund_o,"Kindly check my DM, I need help, niko kwa blackout even after kulipa token",25-Jul,,,,,
lilpussi,@I_thought_you__,,1.0,,,25,https://x.com/I_thought_you__/status/1816507103508647937,https://x.com/I_thought_you__,Blackout in fedha kwa ndege area since morning.  Please fix it,25-Jul,,,,,
Lina Cheps,@LinaCheps,,1.0,,2.0,86,https://x.com/LinaCheps/status/1816499519703376129,https://x.com/LinaCheps,Hello Kenya Power kindly assist us we are  in a blackout. Meter no 12289187 Mogotio Rd off Parklands Rd.  Thank you. #PowerSawa,25-Jul,,,,,
Cac franc,@Symonderitu,,,,1.0,53,https://x.com/Symonderitu/status/1816480870263378250,https://x.com/Symonderitu,"@KenyaPower_Care Another blackout in Embakasi since 1200hours, what do you people what",25-Jul,,,,,
lilpussi,@I_thought_you__,,1.0,,,25,https://x.com/I_thought_you__/status/1816507103508647937,https://x.com/I_thought_you__,Blackout in fedha kwa ndege area since morning.  Please fix it,25-Jul,,,,,
Lina Cheps,@LinaCheps,,1.0,,2.0,86,https://x.com/LinaCheps/status/1816499519703376129,https://x.com/LinaCheps,Hello Kenya Power kindly assist us we are  in a blackout. Meter no 12289187 Mogotio Rd off Parklands Rd.  Thank you. #PowerSawa,25-Jul,,,,,
Cac franc,@Symonderitu,,,,1.0,53,https://x.com/Symonderitu/status/1816480870263378250,https://x.com/Symonderitu,"@KenyaPower_Care Another blackout in Embakasi since 1200hours, what do you people what",25-Jul,,,,,
Maureen Gikonyo,@GikonyoMaureen,,,,2.0,172,https://x.com/GikonyoMaureen/status/1816463092345098532,https://x.com/GikonyoMaureen,@KenyaPower_Care there is power blackout at Astrol Utawala. Kindly restore.,25-Jul,,,,,
...,@NdungaAugustine,,,,2.0,77,https://x.com/NdungaAugustine/status/1816443315778170904,https://x.com/NdungaAugustine,"@KenyaPower_Care 
THERE HAS BEEN A BLACKOUT IN ZIMMERMAN SINCE MORNING...9HRS LATER AND NOTHING HAS BEEN DONE.
WHY ARE YOU MISBEHAVING EVERY NOW AND THEN???",25-Jul,,,,,
James Njumwa,@nuwjam,,,,2.0,107,https://x.com/nuwjam/status/1816379159184040048,https://x.com/nuwjam,@KenyaPower_Care we are not scheduled for any outage but a section of kinoo is experiencing power blackout since jana usiku mtr 92110095343. Kindly assist tuingie kazi bana.,25-Jul,,,,,
clydedrexler,@clydedr58957812,,,,2.0,81,https://x.com/clydedr58957812/status/1816374203295080491,https://x.com/clydedr58957812,No power in meru makutano what's happening we keep experiencing blackout,25-Jul,,,,,
Rita Mureithi,@ritamureithi,,,,2.0,59,https://x.com/ritamureithi/status/1816312968138645702,https://x.com/ritamureithi,@KenyaPower_Care please check on power that keeps going on and off. Metre no 01450663453. This has been happening since last night when there was a blackout.,25-Jul,,,,,
Zek Zek,@Ezekiel_Mulwale,,,,3.0,61,https://x.com/Ezekiel_Mulwale/status/1816179117467038162,https://x.com/Ezekiel_Mulwale,@KenyaPower_Care hello...need to make a complaint. Why is my area experiencing blackout whereas my neighbouring area doesn't,24-Jul,,,,,
BrianMash,@BrianMash_M,,,1.0,1.0,29,https://x.com/BrianMash_M/status/1816172204083515624,https://x.com/BrianMash_M,"@KenyaPower_Care Evening 
We have had a blackout in our area from around 8pm ruiru around zetech University and rainbow resort  acc no 54607502520
Kindly help on the issue",24-Jul,,,,,
Pier Agulu Ochayo Mach,@pieragulu,,,,1.0,32,https://x.com/pieragulu/status/1816164437809639933,https://x.com/pieragulu,"@KenyaPower_Care Blackout in buru buru phase 1, possible transformer explosion. Acct. No. 37940107. Kindly assist.",24-Jul,,,,,
Mocha Mami,@sheabutterrbaby,,1.0,1.0,1.0,62,https://x.com/sheabutterrbaby/status/1816135267364778255,https://x.com/sheabutterrbaby,@KenyaPower_Care must there be a blackout in langata every week???! Address this,24-Jul,,,,,
Qúàmbîzŷ,@Shazzy_011,,,,2.0,34,https://x.com/Shazzy_011/status/1816003163624808480,https://x.com/Shazzy_011,"@KenyaPower_Care. Good morning. There is a power blackout in Kamurang'a, Kiserian, kindly assist.
Account number - 20814665",24-Jul,,,,,
Victor Magak.,@OchiengMagak,,,,2.0,22,https://x.com/OchiengMagak/status/1815996574872330565,https://x.com/OchiengMagak,"@KenyaPower_Care 
Dear customercare no..kindly check on us what's wrong with electricity supply in a small section within an estate every week it's blackout,it's now 5 days without electricity on this week,yet we're just adjacent to Ruaraka power substation..metre no.14467306750.",24-Jul,,,,,
J Nyakundi,@JNyakundi16,,,,1.0,10,https://x.com/JNyakundi16/status/1815947469089345637,https://x.com/JNyakundi16,@KenyaPower_Care Morning! We got a blackout in my area since 10 pm  last night a/c 14107214695,24-Jul,,,,,
iykeOfficial,@Iyke254,,,,3.0,156,https://x.com/Iyke254/status/1815853755373609181,https://x.com/Iyke254,People of luckysummer have had a blackout since Sunday up to date ...kindly do something.,23-Jul,,,,,
Guardian Angel,@mikemurimi_ke,,,,,32,https://x.com/mikemurimi_ke/status/1815783543148081349,https://x.com/mikemurimi_ke,"@KenyaPower_Care It's 24hrs now without electricity...no one has said anything, this is sad for a country that prides itself as efficient in terms of service delivery...there are countries that have never experienced a blackout for 70years.",23-Jul,,,,,
Festus Kagika,@KagikaFesto,,,1.0,1.0,46,https://x.com/KagikaFesto/status/1815779613517271548,https://x.com/KagikaFesto,"@KenyaPower_Care  We have experienced power blackout at Umoja 2, Embakasi West, Nairobi, since morning and someone claiming to be your customer care person is calling me and asking suspicious questions, asking me to share my mpesa transactions. Is this your number +254104813773?",23-Jul,,,,,
simon kibe,@kibesimo,,,,2.0,29,https://x.com/kibesimo/status/1815776116210053212,https://x.com/kibesimo,"@KenyaPower_Care ,@KenyaPower    hello kindly note we have been on power blackout since yesterday at 3:30pm , Old Kiambu town kangoya mtr 20554903 kindly sort it out.",23-Jul,,,,,
Festus Kagika,@KagikaFesto,,,,1.0,48,https://x.com/KagikaFesto/status/1815775705189491142,https://x.com/KagikaFesto,"We have had a power blackout the whole day today (Tuesday) in Umoja 2, Embakasi West, Nairobi. What's the matter?",23-Jul,,,,,
simon kibe,@kibesimo,,1.0,1.0,1.0,32,https://x.com/kibesimo/status/1815737763150401931,https://x.com/kibesimo,@KenyaPower_Care hello kindly note we have been on power blackout since yesterday at 3:30pm  Old Kiambu town mtr 20554903 kindly sort it out.,23-Jul,,,,,
iykeOfficial,@Iyke254,,,,3.0,156,https://x.com/Iyke254/status/1815853755373609181,https://x.com/Iyke254,People of luckysummer have had a blackout since Sunday up to date ...kindly do something.,23-Jul,,,,,
Guardian Angel,@mikemurimi_ke,,,,,32,https://x.com/mikemurimi_ke/status/1815783543148081349,https://x.com/mikemurimi_ke,"@KenyaPower_Care It's 24hrs now without electricity...no one has said anything, this is sad for a country that prides itself as efficient in terms of service delivery...there are countries that have never experienced a blackout for 70years.",23-Jul,,,,,
Festus Kagika,@KagikaFesto,,,1.0,1.0,46,https://x.com/KagikaFesto/status/1815779613517271548,https://x.com/KagikaFesto,"@KenyaPower_Care  We have experienced power blackout at Umoja 2, Embakasi West, Nairobi, since morning and someone claiming to be your customer care person is calling me and asking suspicious questions, asking me to share my mpesa transactions. Is this your number +254104813773?",23-Jul,,,,,
simon kibe,@kibesimo,,,,2.0,29,https://x.com/kibesimo/status/1815776116210053212,https://x.com/kibesimo,"@KenyaPower_Care ,@KenyaPower    hello kindly note we have been on power blackout since yesterday at 3:30pm , Old Kiambu town kangoya mtr 20554903 kindly sort it out.",23-Jul,,,,,
Festus Kagika,@KagikaFesto,,,,1.0,48,https://x.com/KagikaFesto/status/1815775705189491142,https://x.com/KagikaFesto,"We have had a power blackout the whole day today (Tuesday) in Umoja 2, Embakasi West, Nairobi. What's the matter?",23-Jul,,,,,
simon kibe,@kibesimo,,1.0,1.0,1.0,32,https://x.com/kibesimo/status/1815737763150401931,https://x.com/kibesimo,@KenyaPower_Care hello kindly note we have been on power blackout since yesterday at 3:30pm  Old Kiambu town mtr 20554903 kindly sort it out.,23-Jul,,,,,
Robert,@BobbyNyagah,,,,1.0,23,https://x.com/BobbyNyagah/status/1815706318088417548,https://x.com/BobbyNyagah,"@KenyaPower_Care Hello, residents of Kware are still suffering for 6 days blackout. They are Kenyan Citizens too, kindly move in speed to restore power, as businesses have been closed and security is questionable.",23-Jul,,,,,
Natalie 254,@NjeriNatas28854,,,1.0,2.0,385,https://x.com/NjeriNatas28854/status/1815675942917800405,https://x.com/NjeriNatas28854,Kindly we are experiencing blackout at Kasarani Mwiki area for the second day now,23-Jul,,,,,
ik,@ik11548049,,,1.0,2.0,339,https://x.com/ik11548049/status/1815662483014664546,https://x.com/ik11548049,@KenyaPower_Care We had a planned scheduled blackout last week (Kiu Kenda /Waverly Estate). We are not on this week's list yet we have no power yet again. Meter Number is 37164491245.,23-Jul,,,,,
Lewnatic,@LLewnatic,,,,,19,https://x.com/LLewnatic/status/1815643358708060517,https://x.com/LLewnatic,@KenyaPower_Care why is there a blackout for the second consecutive day in Athi river?,23-Jul,,,,,
MB,@KE_MikeDev,,,,,50,https://x.com/KE_MikeDev/status/1815640929727844583,https://x.com/KE_MikeDev,"We've been in a blackout since yesterday morning 9am at Kibos Kisumu, acc no. 21557277. Kindly restore power",23-Jul,,,,,
MB,@KE_MikeDev,,,,2.0,101,https://x.com/KE_MikeDev/status/1815640454781657325,https://x.com/KE_MikeDev,"@KenyaPower_Care Gd morning, we've been in a blackout since yesterday morning 9am at Kibos Kisumu, acc no. 21557277. Kindly restore power",23-Jul,,,,,
idawosmalalo,@ma77978,,,,1.0,60,https://x.com/ma77978/status/1815633206432915729,https://x.com/ma77978,@KenyaPower_Care blackout drive in,23-Jul,,,,,
Njonjo,@KahatoNjon93953,,,,,19,https://x.com/KahatoNjon93953/status/1815622304052691307,https://x.com/KahatoNjon93953,"Even this morning, there's a blackout",23-Jul,,,,,
MB,@KE_MikeDev,,1.0,,1.0,28,https://x.com/KE_MikeDev/status/1815480948458233864,https://x.com/KE_MikeDev,"@KenyaPower_Care Hi we've been in a blackout since morning 9am at Kibos Kisumu, acc no. 21557277. Kindly restore power",22-Jul,,,,,
African Prince,@odenyoscar,,,,,26,https://x.com/odenyoscar/status/1815474478807453970,https://x.com/odenyoscar,Anytime kuna protest kuna blackout.,22-Jul,,,,,
Mohamed Mahamood,@Iam_Moha9,,,,1.0,25,https://x.com/Iam_Moha9/status/1815453252911329664,https://x.com/Iam_Moha9,"@KenyaPower_Care  Hi ,Shauri moyo shopping centers, around SDA Church - Shauri moyo police station  we are experiencing blackout for 12 days now . Kindly work on this, Thank you ! .",22-Jul,,,,,
Good Fundi Services,@GoodFundi,,,1.0,,137,https://x.com/GoodFundi/status/1815452996580352369,https://x.com/GoodFundi,We at Seasons Kasarani just experienced a blackout. kindly help us out. S. O. S.,22-Jul,,,,,
Moz Njugz,@Mosesn2,,,1.0,,680,https://x.com/Mosesn2/status/1815447372089921775,https://x.com/Mosesn2,@KenyaPower_Care  power poles have rammed onto a building near scholar  academy githurai.Blackout all over.A/c 54602839760 mbl 0786409725,22-Jul,,,,,
Grace Gachagua,@gachagua_grace,,,,,123,https://x.com/gachagua_grace/status/1815443068314591576,https://x.com/gachagua_grace,"Am not in the planned power interruption area yet am in a blackout since 8.15 pm .my meter number is
37267153338",22-Jul,,,,,
The Sniper,@kelvin_ramah,,,,,176,https://x.com/kelvin_ramah/status/1815442054203294020,https://x.com/kelvin_ramah,Mtr no: 54405704518 3hrs of blackout jameni.,22-Jul,,,,,
its.denzy,@denzy_its,,,3.0,,815,https://x.com/denzy_its/status/1815441439419166897,https://x.com/denzy_its,Why do the people of Githurai always have to experience power blackout every time and again. We are starting to suspect this as a deliberate attempt to cripple the economy of this area you know very well the majority here are business owners.,22-Jul,,,,,
Grace Gachagua,@gachagua_grace,,,,,123,https://x.com/gachagua_grace/status/1815443068314591576,https://x.com/gachagua_grace,"Am not in the planned power interruption area yet am in a blackout since 8.15 pm .my meter number is
37267153338",22-Jul,,,,,
The Sniper,@kelvin_ramah,,,,,176,https://x.com/kelvin_ramah/status/1815442054203294020,https://x.com/kelvin_ramah,Mtr no: 54405704518 3hrs of blackout jameni.,22-Jul,,,,,
its.denzy,@denzy_its,,,3.0,,815,https://x.com/denzy_its/status/1815441439419166897,https://x.com/denzy_its,Why do the people of Githurai always have to experience power blackout every time and again. We are starting to suspect this as a deliberate attempt to cripple the economy of this area you know very well the majority here are business owners.,22-Jul,,,,,
Deogratias Leo Boy,@DeoLeoBoy,,,,,18,https://x.com/DeoLeoBoy/status/1815428127050330181,https://x.com/DeoLeoBoy,@KenyaPower_Care Hi we have no power in Ngong' around Zambia area. The blackout occurred at 7.30om. The Acc is 151440963.,22-Jul,,,,,
