Author,Handle,Post,Date,Likes,Reposts,Comments,Post Link,Profile Link
mwaniki,@mwanikimacharia,"@KenyaPower_Care kindly assist restore power around meter number 37175423963 in watamu.
No power since yesterday.",31-Jul,,,2,https://x.com/mwanikimacharia,https://x.com/mwanikimacharia
Mayer Dickens,@Merab_Dickens,@KenyaPower_Care shida ni gani na hii line constant blackouts. Nothimg is scheduled . Please restore MTR45072838779,31-Jul,1,,5,https://x.com/Merab_Dickens,https://x.com/Merab_Dickens
Lawrence Chiro,@Chiro2Lawrence,@KenyaPower_Care the delay on tokens is costing our business  send me the token for meter number 54404006790,31-Jul,1,,4,https://x.com/Chiro2Lawrence,https://x.com/Chiro2Lawrence
David M.Kinoti,@DavidMungatia,@KenyaPower_Care No power within the area for meter number 37170931465-Zambezi/Sigona.Kindly help restore.,31-Jul,1,,2,https://x.com/DavidMungatia,https://x.com/DavidMungatia
Esther Ragz,@estherragz,Please restore our electricity fully . It is coming on and off within 10 seconds from last evening at 7.30pm. This might damange appliances .Our meter number is 37124907462,31-Jul,,,3,https://x.com/estherragz,https://x.com/estherragz
Mollis Tales,@Morris87071274,The constant power interruptions are causing major inconveniences and potential hazards. We kindly ask for your immediate attention to this matter to ensure the safety of our community and restore reliable power supply.,30-Jul,,,,https://x.com/Morris87071274,https://x.com/Morris87071274
Byte Bazaar,@__byte__bazaar,Stop telling us to tune in and yet you can't restore electricity in Ngumba simply because the person incharge has gone for leave....what if they die?? KpLC DOESN'T have replacement.....mnatubeba ujinga....#restoreelectricityinngumba,30-Jul,,,1,https://x.com/__byte__bazaar,https://x.com/__byte__bazaar
its.allen_.,@AllenWachio,@KenyaPower_Care Kindly restore power at meter no 01450078249. Complaint reference no is 11616165. Lights have been off since 4pm,30-Jul,1,1,2,https://x.com/AllenWachio,https://x.com/AllenWachio
LMJ,@MutanuLydia,Hello kindly restore our power. I have reported under reference number 11615864.,30-Jul,,,1,https://x.com/MutanuLydia,https://x.com/MutanuLydia
Purple Crystals events,@NanaioKarira,"Hello,

No power at Kenyatta road juja windridge estate, kindly restore the power",30-Jul,,,,https://x.com/NanaioKarira,https://x.com/NanaioKarira
Llewellyn,@LewelaM,"@KenyaPower_Care 54601321372 no power. 100 meters away, neighbours have power. Please assist to restore",30-Jul,,,1,https://x.com/LewelaM,https://x.com/LewelaM
mercy wabomba,@mercywabomba,Area around Sinoko primary area in Bungoma town.Some people have had electricity restored but our line still has an issue,30-Jul,,,,https://x.com/mercywabomba,https://x.com/mercywabomba
Fundi wa Redio,@mu_iruri,"@KenyaPower_Care please advise on when we should expect power to be restored acc no 92106697326 in Lower Kabete 
complaint no 11612974",30-Jul,,,1,https://x.com/mu_iruri,https://x.com/mu_iruri
TINAH!,@florentinaomari,@KenyaPower_Care no power in lower Kabete and we aren't in the maintenance list. Please restore,30-Jul,2,1,2,https://x.com/florentinaomari,https://x.com/florentinaomari
Ed lb jnr,@AwuoryvonneY,@KenyaPower_Care We have not had power from May in Sega town behind police station and got restored for 6 days. This fourth day again in blackout its really frustrating @HonDavidochieng @BenardAdallah we need your support,30-Jul,,,1,https://x.com/AwuoryvonneY,https://x.com/AwuoryvonneY
Certified Henry,@CTFD_KE,Kindly restore power for meter no. 37166662223,29-Jul,,,1,https://x.com/CTFD_KE,https://x.com/CTFD_KE
Aruba Carolyne I,@i_carolyne,Restore stima on this acc 54606451380,29-Jul,,,,https://x.com/i_carolyne,https://x.com/i_carolyne
Crazy_Kenyan,@mza1endo,"@KenyaPower_Care token delay, help.",29-Jul,,,1,https://x.com/mza1endo,https://x.com/mza1endo
enid,@phembot2,Kindly restore electricity on meter no. 22213507357,29-Jul,,,2,https://x.com/phembot2,https://x.com/phembot2
Crazy_Kenyan,@mza1endo,"@KenyaPower_Care token delay, help.",29-Jul,,,1,https://x.com/mza1endo,https://x.com/mza1endo
enid,@phembot2,Kindly restore electricity on meter no. 22213507357,29-Jul,,,2,https://x.com/phembot2,https://x.com/phembot2
Kamau Njuguna,@ItsKamauNjuguna,"@KenyaPower_Care 
12241147
Power outage.
Please restore.",29-Jul,,,2,https://x.com/ItsKamauNjuguna,https://x.com/ItsKamauNjuguna
George Patriot,@Gpatriot2021,@KenyaPower_Care please restore power supply to the residential area behind One Acre Fund in Kakamega’s Ikonyero neighborhood. There has been no power from late afternoon. Kindly assist.,29-Jul,,,1,https://x.com/Gpatriot2021,https://x.com/Gpatriot2021
Kanyi Kariuki,@KanyiKariukiC,"@KenyaPower_Care, kindly restore power in Kirigiti Kiambu, area around the stadium",29-Jul,,,,https://x.com/KanyiKariukiC,https://x.com/KanyiKariukiC
Anguru Ronald,@ronald_anguru,Hi team Kindly restore electricity around Kasarani (Sunton) near Sunton Police Station. Since last week on Sunday upto date we are still in darkness.Please Please hear us out!!!,29-Jul,1,,1,https://x.com/ronald_anguru,https://x.com/ronald_anguru
Bryan,@Bryan_wamuu,@KenyaPower no electricity in uthiru 87 kindly restore,29-Jul,1,,1,https://x.com/Bryan_wamuu,https://x.com/Bryan_wamuu
Dhaif,@Sphinx_jf,@KenyaPower_Care 11608862 complaint logged Kwani nowadays ni daily? Please restore,29-Jul,,,1,https://x.com/Sphinx_jf,https://x.com/Sphinx_jf
Saint Laurent Don,@rauni_999,"It's been a day and power hasn't been attended to or restored shida yenu ni gani
Ref. no 11607052",29-Jul,,,,https://x.com/rauni_999,https://x.com/rauni_999
Tobias Orao,@otobiasorao,@KenyaPower it 5 days now your team since Ref no 11600301 area has been in the dark.  Your team came on the ground and went were they expecting bribe to restore power? If you find it difficult to restore power today come take the transformer.,29-Jul,,,,https://x.com/otobiasorao,https://x.com/otobiasorao
nyanchama winnie,@flourishing001,"We still don't have power in ndenderu around ndenderu dispensary from Thursday, kindly work swiftly to restore,we have no water.",29-Jul,1,,,https://x.com/flourishing001,https://x.com/flourishing001
Mercy Tosh,@tosh_mercy,"My area is not on the list and from Saturday there has been no power, restore power in Saika solace along Kangundo road",29-Jul,,,,https://x.com/tosh_mercy,https://x.com/tosh_mercy
Suregraphy,@sureobinge,"Dear Kenya Power,

The transformer on Lumumba Drive, Roysambu, has been out for 2 days. With 1-year-old twins at home, we are struggling with candles. Kindly expedite repairs and restore power by tomorrow please. Your prompt assistance is greatly appreciated.

Thank you.",28-Jul,2,,,https://x.com/sureobinge,https://x.com/sureobinge
Faith Ngarama,@nfpats,We don't have power at Gathiga since yesternight.  Kindly restore power vitu zinaharibika jameni!,28-Jul,,,,https://x.com/nfpats,https://x.com/nfpats
nyanchama winnie,@flourishing001,"We still don't have power in ndenderu around ndenderu dispensary from Thursday, kindly work swiftly to restore,we have no water.",29-Jul,1,,,https://x.com/flourishing001,https://x.com/flourishing001
Mercy Tosh,@tosh_mercy,"My area is not on the list and from Saturday there has been no power, restore power in Saika solace along Kangundo road",29-Jul,,,,https://x.com/tosh_mercy,https://x.com/tosh_mercy
Suregraphy,@sureobinge,"Dear Kenya Power,

The transformer on Lumumba Drive, Roysambu, has been out for 2 days. With 1-year-old twins at home, we are struggling with candles. Kindly expedite repairs and restore power by tomorrow please. Your prompt assistance is greatly appreciated.

Thank you.",28-Jul,2,,,https://x.com/sureobinge,https://x.com/sureobinge
Faith Ngarama,@nfpats,We don't have power at Gathiga since yesternight.  Kindly restore power vitu zinaharibika jameni!,28-Jul,,,,https://x.com/nfpats,https://x.com/nfpats
Covfefe,@MwenohLangat,Hey @KenyaPower_Care it's 49 minutes past 5 and power hasn't been restored,28-Jul,,,,https://x.com/MwenohLangat,https://x.com/MwenohLangat
Sharone Auma,@SharoneAum,It's past 5 kindly restore power,28-Jul,,,,https://x.com/SharoneAum,https://x.com/SharoneAum
Suregraphy,@sureobinge,"Dear Kenya Power,

The transformer on Lumumba Drive, Roysambu, has been out for 2 days. With 1-year-old twins at home, we are struggling with candles. Kindly expedite repairs and restore power by tomorrow please. Your prompt assistance is greatly appreciated.

Thank you.",28-Jul,2,,,https://x.com/sureobinge,https://x.com/sureobinge
Faith Ngarama,@nfpats,We don't have power at Gathiga since yesternight.  Kindly restore power vitu zinaharibika jameni!,28-Jul,,,,https://x.com/nfpats,https://x.com/nfpats
Covfefe,@MwenohLangat,Hey @KenyaPower_Care it's 49 minutes past 5 and power hasn't been restored,28-Jul,,,,https://x.com/MwenohLangat,https://x.com/MwenohLangat
Sharone Auma,@SharoneAum,It's past 5 kindly restore power,28-Jul,,,,https://x.com/SharoneAum,https://x.com/SharoneAum
Kamau Njuguna,@ItsKamauNjuguna,"@KenyaPower_Care 
12241147
Power outage.
Please restore.",28-Jul,,,,https://x.com/ItsKamauNjuguna,https://x.com/ItsKamauNjuguna
KY-ENGO,@MKAMBAMKENYA,@KenyaPower_Care  I stay at UTAWALA mihango area near Kwachief off Quickmatt .  My meter no. Is :061803691 32875015 Since yesterday we have experienced black out. Kindly assist to restore electricity to our area. #OpeningCeremony,28-Jul,,,1,https://x.com/MKAMBAMKENYA,https://x.com/MKAMBAMKENYA
ImagingJR,@imaging_jr,Hi we don't have power for the last two hours. And as I look at the scheduled maintenance Gichugu road is not part of the areas to be affected. Kindy have the power restored.,28-Jul,1,,2,https://x.com/imaging_jr,https://x.com/imaging_jr
Mayer Dickens,@Merab_Dickens,@KenyaPower_Care mbona tuko na blackout on Sunday na hakuna scheduled maintenance . Please Restore MTR45072838779,28-Jul,,,2,https://x.com/Merab_Dickens,https://x.com/Merab_Dickens
Linda Njeri,@lindanjeri59,"@KenyaPower , please assist to restore power on Ndwaru Road.  Meter no.  37207558612.",28-Jul,,,1,https://x.com/lindanjeri59,https://x.com/lindanjeri59
KidagulaS,@KidagulaS,@KenyaPower_Care ac 14140382277 no power. Please check and restore,28-Jul,,,,https://x.com/KidagulaS,https://x.com/KidagulaS
george ndole,@NdoleGeorge,"We haven't had power since Thursday and despite making numerous calls and promises that it will be resolved we power hasn't been restored. Kindly respond promptly. 
Meter number:  37167436304 . Area Kamurai near Vina in Kamulu area.",28-Jul,2,1,2,https://x.com/NdoleGeorge,https://x.com/NdoleGeorge
Douglas Langat,@douglaslangat2,@KenyaPower_Care   at what time are you planing to restore power in muthiga area kikuyu  since yesterday at 4pm  do something fast,28-Jul,,,1,https://x.com/douglaslangat2,https://x.com/douglaslangat2
Simon oyamo,@oyamoh,Morning kindly note that we have a power blackout around Tassia Embakasi East near Baraka Estate. Kindly expedite to restore normalcy-Meter No-37176295519,28-Jul,1,,1,https://x.com/oyamoh,https://x.com/oyamoh
N7,@Nandanyonge,"Your mumias branch office and main office has ignored out pleas for power after your people cut trees and hit wires destroying our line and leaving it like that.
kindly restore power on the line served by transformer at MUMIAS KIDS center.
It is now 5 good days of darkness",28-Jul,1,,,https://x.com/Nandanyonge,https://x.com/Nandanyonge
Gikundi Michubu,@GikundiMichubu,"Please restore electricity at Gakale area of Kombani in Kwale County, since Thursday night up to now it's total blackout. You need to be serious. I am thinking about GenZ occupying your office to remind you about your work.",28-Jul,,,,https://x.com/GikundiMichubu,https://x.com/GikundiMichubu
Macharia Karuri,@deejaymash77,@KenyaPower_Care currently experiencing a power outage in Rumuruti. Kindly assist to restore normal supply. Details in DM. Thanks.,27-Jul,,,,https://x.com/deejaymash77,https://x.com/deejaymash77
The Razor Cut Deejay,@selectortechnix,"@KenyaPower_Care Hi, it has been more than 2 months without lights in my upcountry home area. Transformer was stolen and it has been hectic. Tala town, Matungulu constituency, at Kyekoyo Salvation Army. How soon can this be restored?",27-Jul,,,,https://x.com/selectortechnix,https://x.com/selectortechnix
Kamau Njuguna,@ItsKamauNjuguna,"@KenyaPower_Care 
12241147
Power outage.
Please restore.",27-Jul,,,2,https://x.com/ItsKamauNjuguna,https://x.com/ItsKamauNjuguna
Ann Mudola,@annmudola,"No power from yesterday 4.00 p.m.  Mtr no. 30781233
Utawala Mihango at Kibiku police post.
Please assist to restore.
Our stuff will get destroyed.",27-Jul,,,,https://x.com/annmudola,https://x.com/annmudola
SG,@cheerfung,@KenyaPower_Care Urgently send our tokens for prepaid meter #92110966816 paid via M-Pesa on 26/7/24 at 3:30pm! Unacceptable delay. Fix this NOW or I'll escalate the issue! #KenyaPower,27-Jul,,,1,https://x.com/cheerfung,https://x.com/cheerfung
Roscoe,@WanyonyiRoscoe,"SGR1Z09FO3 Confirmed. Ksh200.00 sent to KPLC PREPAID for account 37221588025 on 27/7/24 at 9:39 AM New M-PESA balance is Ksh15,553.99. Transaction cost, Ksh5.00.Amount you can transact within the day is 499,700.00.why the delay",27-Jul,1,,1,https://x.com/WanyonyiRoscoe,https://x.com/WanyonyiRoscoe
Your friendly neighborhood therapist,@blossomkari,@KenyaPower_Care  Any schedule outage for Kasarani area. If Not Kindly restore power meter number 54600317618. Thanks alot,27-Jul,,,,https://x.com/blossomkari,https://x.com/blossomkari
At Angeleezy,@angie__daisy,@KenyaPower_Care kindly restore power. Account no 45999364. Asante,27-Jul,,1,,https://x.com/angie__daisy,https://x.com/angie__daisy
Munesh Kamau,@Munene2022,"No power since after 4PM yesterday , Lower Kabete road , Kingeero 

@WilliamsRuto 

We used to have efficiency in power restoration incase on blackouts 

We are moving from worse to worst. 

Kindly restore the former beautiful days, even better.",27-Jul,5,2,,https://x.com/Munene2022,https://x.com/Munene2022
Stacy Edith,@StacyOdhiambo2,"How will we communicate  if you guys keep ignoring messages from your customers??

Kindly restore power in Githurai ,Chuma Mbili area..hakuna stima wiki yote..People have businesses to run..And work needs to be done!",27-Jul,,,,https://x.com/StacyOdhiambo2,https://x.com/StacyOdhiambo2
wabatoss,@wabatossy,"@KenyaPower_Care restore power to Lower Kabete, since yesterday",27-Jul,1,1,,https://x.com/wabatossy,https://x.com/wabatossy
tracyangel,@tracyangels921,I bought tokens yesterday ( Friday) at 2:34 pm. At 5:18 after a long delay you send me used tokens.  Following up with you is a nightmare as usual. Wth? Focus less on Pr and more on work,27-Jul,,,,https://x.com/tracyangels921,https://x.com/tracyangels921
Ian N Moke,@ian_moke,@KenyaPower_Care  Restore power back to lower kabete,27-Jul,,1,,https://x.com/ian_moke,https://x.com/ian_moke
B_Baz',@_bazeng,"@KenyaPower @KenyaPower_Care restore power supply in Lower Kabete King'eero area..... It's been 12+ hours and you are just quiet... This incompetence needs to end. Otherwise you'll have visitors at you offices, you explain to us in person why you switch off power without reasons.",27-Jul,,1,,https://x.com/_bazeng,https://x.com/_bazeng
Frank,@rutocritic,"Yesterday your technicians came to Tora area in Thika Ngoingwa part to restore power but they left without restoring simply because they didn't have a torch.
Upto now we are still in the dark.
Kindly send competent technicians to come and help us.",27-Jul,,,,https://x.com/rutocritic,https://x.com/rutocritic
B_Baz',@_bazeng,@KenyaPower_Care restore power supply in Lower Kabete King'eero area.. otherwise we'll visit you in person for you to explain to us why we've been in darkness for 12+ hours. Your incompetence is sickening!!,27-Jul,,,,https://x.com/_bazeng,https://x.com/_bazeng
B_Baz',@_bazeng,"Why is there no power in Lower Kabete, King'eero area and you are not communicating? It's been 12+ hours. Restore power or we come to your offices so that you explain to us in person. We're tired of your incompetence.",27-Jul,4,,1,https://x.com/_bazeng,https://x.com/_bazeng
Racheal Kuster,@KusterRacheal,"@KenyaPower_Care no lights in Utawala since yesterday 4:00pm
Check and restore asap",27-Jul,1,,,https://x.com/KusterRacheal,https://x.com/KusterRacheal
Sarah.m,@mutheusara,Kindly restore power in lower Kabete!,27-Jul,1,,,https://x.com/mutheusara,https://x.com/mutheusara
Kelvin,@omarekenya,Can you restore power in Utawala. We have been in darkness for long,27-Jul,,,,https://x.com/omarekenya,https://x.com/omarekenya
Grace Mukami,@GraceMu54667322,"We are meter number 58074352 on othaya road. We haven't had power since 3 pm
. Please help restore the power",26-Jul,,,,https://x.com/GraceMu54667322,https://x.com/GraceMu54667322
Obilo Marcella,@marcbingz,@KenyaPower_Care Kindly restore power parts of Lower Kabete since 5pm,26-Jul,,,,https://x.com/marcbingz,https://x.com/marcbingz
Kamau N Maurice,@KamauD33,"@KenyaPower_Care @KenyaPower 
We don't have power. Kindly restore it. Tunachoka na nyinyi sasa. 14283426501
It is unsafe this way and you have no reason to subject people to this nonsense.",26-Jul,,,,https://x.com/KamauD33,https://x.com/KamauD33
eucabeth,@eucabeth_85,"@KenyaPower_Care utawala,fahari we've not had power since 5pm,kindly restore",26-Jul,,,,https://x.com/eucabeth_85,https://x.com/eucabeth_85
N7,@Nandanyonge,"Good evening too 
When will you restore power to Mumias Kids center and customers around the that transformer.
It is now 4 days and Mumias branch seems uninterested.
Value your customers please.",26-Jul,,,1,https://x.com/Nandanyonge,https://x.com/Nandanyonge
Online Therapy,@MarsyJazz,@KenyaPower @KenyaPower_Care hey my neighbour uses an oxygen machine and they need to be hooked up at 7pm do please restore power Ref number 11597204,26-Jul,1,1,,https://x.com/MarsyJazz,https://x.com/MarsyJazz
Sam Mwas,@SamMwas186863,"Hi, we have not had power since Tuesday. Others seem to have theirs restored na yetu bado and yet we keep launching our complaints everyday. 
Meter no- 22214091286
Area- Githurai 45, Arch angel plaza.",26-Jul,,,,https://x.com/SamMwas186863,https://x.com/SamMwas186863
nesh,@munene_ronnie,@KenyaPower_Care Am experiencing token Delay. Urgently need your assistance,26-Jul,,,2,https://x.com/munene_ronnie,https://x.com/munene_ronnie
Otieno is my name,@OkelloCyllus,@KenyaPower_Care and @OpiyoWandayi is there token delay?,26-Jul,,,,https://x.com/OkelloCyllus,https://x.com/OkelloCyllus
Bryan,@Bryan_wamuu,@KenyaPower no electricity in uthiru 87 kindly restore thanks,26-Jul,,,,https://x.com/Bryan_wamuu,https://x.com/Bryan_wamuu
🄳🅈🄸🄽🄶 🅃🄾 🄻🄸🅅🄴,@Ndunguthe2nd,What's happening token delay,26-Jul,,,,https://x.com/Ndunguthe2nd,https://x.com/Ndunguthe2nd
The Movie Girl,@TheMovieGial,Token delay 37221564786,26-Jul,1,,1,https://x.com/TheMovieGial,https://x.com/TheMovieGial
The Movie Girl,@TheMovieGial,Kindly Token delay send me the tokens for 37221564786. Niko kwa Giza bana,26-Jul,1,,3,https://x.com/TheMovieGial,https://x.com/TheMovieGial
Cindy,@CindyAdem,@KenyaPower_Care  delayed token. What are my options?,26-Jul,,,1,https://x.com/CindyAdem,https://x.com/CindyAdem
Steve Muchiri Muchangi,@SteveMuchangi,@KenyaPower_Care  Hello.. Is there delay today in tokens delivery?.,26-Jul,,,1,https://x.com/SteveMuchangi,https://x.com/SteveMuchangi
Akinyi,@Akinyi73077751,"@KenyaPower_Care kindly check your DM,sent you a message on my token delay.",26-Jul,,,,https://x.com/Akinyi73077751,https://x.com/Akinyi73077751
Nevies Ochieng,@nevies_ochieng,"Let's just be honest, why do you always delay token messages... At times more than 24hrs? So that we continue living in darkness? This is the highest level of incompetence next to madness.",26-Jul,,,,https://x.com/nevies_ochieng,https://x.com/nevies_ochieng
Mûmbi wa Mwangi,@Kasuzzie,"@KenyaPower_Care hi? Is there a delay with tokens, I bot tokens more than 2 hrs ago and still no reply from Kenya Power",26-Jul,,,,https://x.com/Kasuzzie,https://x.com/Kasuzzie
MCFC Malloy,@hideousMalloy,37221564786 Token delay,26-Jul,,,1,https://x.com/hideousMalloy,https://x.com/hideousMalloy
Dankull da'culest,@archkiando,@KenyaPower_Care I have made several requests on delayed tokens but no response. Can some plz assist. Meter no. 37167576117 and mpesa transaction code SGQ8W0WDOM.,26-Jul,,,1,https://x.com/archkiando,https://x.com/archkiando
Duke of Bogirango,@Orare_Orare,"@KenyaPower_Care does your inbox function nowadays?

Is there a delay in token processing?

#Opiyowandayimustgo",26-Jul,,,,https://x.com/Orare_Orare,https://x.com/Orare_Orare
Albert Kiptoo,@Robs_Albert,Experiencing token delay,26-Jul,,,1,https://x.com/Robs_Albert,https://x.com/Robs_Albert
ggmwangeka,@ggmwangeka,@KenyaPower_Care Am experiencing serious delay getting back my tokens since morning. My meter is updated fyi kindly help. Meter number 37170240347,26-Jul,,,1,https://x.com/ggmwangeka,https://x.com/ggmwangeka
Tabitha,@shikotabby60,Bought tokens but they have delayed.kindly help,26-Jul,1,1,6,https://x.com/shikotabby60,https://x.com/shikotabby60
DR. KIBOR,@KIPROPBELVIN12,@KenyaPower_Care Delay in token payment,26-Jul,,,2,https://x.com/KIPROPBELVIN12,https://x.com/KIPROPBELVIN12
Candy Wangui,@WanguiCandy,"@KenyaPower_Care please assist to restore power,Kikuyu Ondiri area. MTR. 14239836621. Off since yesterday night",26-Jul,,,1,https://x.com/WanguiCandy,https://x.com/WanguiCandy
Symooh Henrey,@SymoohH,"Soweto Stepa Nairobi is not in list of power interruption but we've been in the dark for a week now, what's could be the problem, work on it and restore the power",26-Jul,,,1,https://x.com/SymoohH,https://x.com/SymoohH
Miss Peaches,@Peaches_254,"@KenyaPower_Care  THIS IS THE 2ND DAY, AND WE STILL DON'T HAVE POWER!!! WE'RE STILL IN THE DARK!! Power was Restored in other Courts but our court WAS IGNORED!! WHY ARE YOU IGNORING OUR PERSISTENT COMPLAINTS EVERYDAY ABOUT ILLEGAL CONNECTIONS???",26-Jul,,,2,https://x.com/Peaches_254,https://x.com/Peaches_254
Candy Wangui,@WanguiCandy,"@KenyaPower_Care please assist to restore power,Kikuyu Ondiri area. MTR. 14239836621. Off since yesterday night",26-Jul,,,1,https://x.com/WanguiCandy,https://x.com/WanguiCandy
Symooh Henrey,@SymoohH,"Soweto Stepa Nairobi is not in list of power interruption but we've been in the dark for a week now, what's could be the problem, work on it and restore the power",26-Jul,,,1,https://x.com/SymoohH,https://x.com/SymoohH
Miss Peaches,@Peaches_254,"@KenyaPower_Care  THIS IS THE 2ND DAY, AND WE STILL DON'T HAVE POWER!!! WE'RE STILL IN THE DARK!! Power was Restored in other Courts but our court WAS IGNORED!! WHY ARE YOU IGNORING OUR PERSISTENT COMPLAINTS EVERYDAY ABOUT ILLEGAL CONNECTIONS???",26-Jul,,,2,https://x.com/Peaches_254,https://x.com/Peaches_254
Onesmus Alimu,@Oalimu,"@KenyaPower @WilliamsRuto @KIMANIICHUNGWAH, it is disheartening that the Kenya Power is an entity on a mission to derail the good will of President Dr William Ruto's agenda. Why are you taking centuries to restore power at Kamangu in Kikuyu for two weeks now?",26-Jul,2,,,https://x.com/Oalimu,https://x.com/Oalimu
Linda,@Linda16319703,"@KenyaPower_Care 
May 28 this year you sent me an estimated power bill , because I delayed in submitting my reading and you decided to estimate the readings fortunately I took a photo of the meter on the next day. See attached I don't owe you any money.",26-Jul,,,1,https://x.com/Linda16319703,https://x.com/Linda16319703
Kîmata Mûhaha,@KilimataM,"@KenyaPower_Care please restore power to Soweto, Kayole opposite PEFA CHURCH. You took away a transformer that serves us a week ago. We've since been inconvenienced!
Cc: @HEBabuOwino.",25-Jul,,,1,https://x.com/KilimataM,https://x.com/KilimataM
Miss Peaches,@Peaches_254,@KenyaPower_Care  OVER 24 HOURS LATER AND WE STILL DON'T HAVE POWER!! WE'RE STILL IN THE DARK!! Power was Restored in other Courts but our court WAS IGNORED!! WHY ARE YOU IGNORING OUR PERSISTENT COMPLAINTS EVERYDAY ABOUT ILLEGAL CONNECTIONS???,25-Jul,,1,3,https://x.com/Peaches_254,https://x.com/Peaches_254
Glen,@anyangu_glen,Yes it has been restored thank you,25-Jul,,,,https://x.com/anyangu_glen,https://x.com/anyangu_glen
Eunice Kamau,@youniecekama,"@KenyaPower_Care @HEBabuOwino  
Power restored thank you",25-Jul,,,,https://x.com/youniecekama,https://x.com/youniecekama
Maureen Gikonyo,@GikonyoMaureen,@KenyaPower_Care there is power blackout at Astrol Utawala. Kindly restore.,25-Jul,,,2,https://x.com/GikonyoMaureen,https://x.com/GikonyoMaureen
Symooh Henrey,@SymoohH,"@KenyaPower_Care we have been in the dark for Five Days here in Soweto Stepa Nairobi and nothing has been done, kindly do something to restore the for the MTR No 37150624809",25-Jul,,,1,https://x.com/SymoohH,https://x.com/SymoohH
Remmy omondi,@omondi_remmy,"@KenyaPower_Care Good afternoon.
We have no power for 4 months now.
Area next to Kanyibok shopping centre.
Meter number 3717 2357 537.
How long will it take to restore power. Transformer was taken away for repairs.
We are supposed to update our meters before August. Kindly advise",25-Jul,1,,1,https://x.com/omondi_remmy,https://x.com/omondi_remmy
Isaac Mwema,@mwema_isaac,@KenyaPower_Care please restore power in our area. Check DM for all my details.,25-Jul,,,1,https://x.com/mwema_isaac,https://x.com/mwema_isaac
Elvis Ongoya,@ElvisOngoya1,"Kimbo again, we've lost power, your people were on ground today, power was restored, few hours later after they left, we lost power again, this has been happening for a long time now",24-Jul,,,2,https://x.com/ElvisOngoya1,https://x.com/ElvisOngoya1
James Maina,@Maina_Jamo,"power is yet to be restored in ngoingwa, planned interruption was to be upto 5pm and it's now 9pm",24-Jul,,,3,https://x.com/Maina_Jamo,https://x.com/Maina_Jamo
Master Crypto π,@MasterCrypto254,Restore Power Fully ama the areas are still under maintenance past the stipulated time. Some parts in Ngoingwa like adjacent to Pinehouse school have no power!,24-Jul,,,1,https://x.com/MasterCrypto254,https://x.com/MasterCrypto254
Lionel Andy,@StrangeguyAndy,"@KenyaPower_Care no power in Buruburu phase one area, please assist to restore",24-Jul,1,,1,https://x.com/StrangeguyAndy,https://x.com/StrangeguyAndy
Isaac Mwema,@mwema_isaac,@KenyaPower_Care please restore power in our area. Check DM for all my details.,25-Jul,,,1,https://x.com/mwema_isaac,https://x.com/mwema_isaac
Elvis Ongoya,@ElvisOngoya1,"Kimbo again, we've lost power, your people were on ground today, power was restored, few hours later after they left, we lost power again, this has been happening for a long time now",24-Jul,,,2,https://x.com/ElvisOngoya1,https://x.com/ElvisOngoya1
