Post,Vader_sentiment_label,Post Link
theres blackout area acc kindly address issue,positive,
issues electricity tuffoam sabaki area coz yesterday pm know blackout,neutral,
day yesterday dark till pm see general karen area list yet blackout happening meter,neutral,
theres power blackout juja shalom estate account number,positive,
im hoping undertaking quick fix power lines since misbehaving since jana dont see area scheduled blackout list komarock area phase,positive,
zambezi need schedule blackout maintenance almost everyday power give handouts guys get back one day monopoly end,neutral,
power blackout komarocks area lower sector kwani ni mchezo mnatufanyia ama frustrating juzi hrs leo tenabusinesses stalling send correspondent fix issue,negative,
theres frequent blackouts area another one even caused power surge yesterday even blackout acc please address issue,positive,
hi power going dandora canaan b estate since monday blackout please resolve issue,positive,
blackout shiranga njiru ward power came back tokens reset zero cant load new tokens people saying earthwire issue days darkness please resolve issue asap,positive,
power blackout obama estate meter number next prestige hospital,positive,
blackout ruiru mt kenya area wataalam since yesterday night anyone coming rescue,positive,
everyday must blackout zimmerman area beyond coincidence norm,neutral,
hello please restore power blackout since yesterday,positive,
hey weve blackout three days nakuru lanet area nothing done thou weve made countless calls,neutral,
please give us light hours total blackout shirere ward opposite shirere market kakamega central sub county ac,positive,
power blackout greatwall athi riverthis similar yesterdays blackout eveningplease follow issue,neutral,
everyday blackout metre number complained longer answer customers im frustrated,negative,
power blackout since yesterday kamakis mitikenda area meter number well highly appreciate urgent resolution,positive,
whats happening kiminini area trans nzoia county blackout since yesterday hrs country cs chirchir md siror rutomustgo one tribe failing us,negative,
experiencing third blackout week working hours immensely affecting business many thika majengo area kindly check dm sort issue economy high lose even shilling electricity pay painfully,negative,
rongai blackout second day na hatuko kwa listtunakuanga collateral damage,negative,
power two hours list scheduled blackout whats going,neutral,
eastleigh muratina street area blackout since yesterday afternoon whats wrong,negative,
blackout two consecutive days utawala mihangokindly assist meter number,positive,
incompetent like government solving maintaining problems second time week komarock suffering hours blackout expect every time rains soberup dilema dobetter,negative,
happening syokimau blackout annoying,negative,
area recurrent phase failure weve dark since thursday today repaired pm hours later blackout cant permanent solution found metre number,negative,
reference number indicated whole estate blackout,positive,
darkness mwiki area listed among dark spots nairobi blackout experiment carried occupykplc occupythikaroad occupythikaroad,negative,
experiencing blackout everytime rains kindly sort,positive,
check kahawa sukari baringo road power blackout ref,neutral,
ware parts country total blackout right whats happening,neutral,
utawala airways around st patricks catholic church weve cases blackout almost daily consistent power sui morning evening must blackout even whats going guys,neutral,
blackout mlolongo react asap,neutral,
epitome dysfunctionmvua kidogo blackoutama sisi watu wa kayole hatuna say,neutral,
currently blackout mwiki kasarani since pm,neutral,
reporting power outage whole day upto mtr gatanga inconveniencing get blackout everyday despite reporting,neutral,
urgent response appeal mall estate surrounding areas billboard banner transmission cables causing huge electric explosions far still counting recorded rd one tht led blackout kplc,positive,
eastleigh california part areas affected blackout since around pm,negative,
status blackout mivida homes,neutral,
annoying whole day blackout guys fully understand kenyans depebd guys zimmerman area tanners ya chini ni low voltage tucan guys assist us,negative,
kuresoi north side za mungetho tunawasalamia total blackout,neutral,
kindly something kikuyu experiencing blackout since yesterday hrs later nothing done habit every month go days without power yet dont cover loses incurred cant deliver give job someone,positive,
cant update meter blackout month nowyet kplc office nearbymaking endless promiseslocationmalava cdf office areawatu wengine wanaconnectiwa stima usiku lines,neutral,
someone advise us actual problem get power instead giving us marked resolved still blackout,positive,
since thursday blackout indeed worse service providers kenya incompetent,negative,
blackout account number pls urgently assist,positive,
management kplc please due respect whole kangundo area blackout since yesterday pm surrounded hospitals schools worst morgue long continue like please work asap,positive,
hi still lights ruiru next rainbow resort since yesterday pm hrs blackout kind tomfoolery,positive,
sunday soe us blackout see responce ika kiambu kamwangi,neutral,
please kenya power fix tuko kwa blackout toka jana cant buy tokens,positive,
could please sort power outage around rainbow area ruiru weve blackout since yesterday pm till,positive,
blackout ongata rongai mayor road number,positive,
dont power malava cdf area one month nowkenya power kenya blackout company,neutral,
second day rongai maasai lodge blackout kwani mnataka aje,neutral,
blackouts everyday since sunday currently blackout kindly deal urgently,positive,
buana replying dms draw line power blackout since pm jana red indicators meter yet cant light even bulb mtr,neutral,
hii stima bado haijaundwa still blackout third day,neutral,
part turitu area kiambu experienced blackout since sunday norm mostly kindly address issue permanently meter,positive,
need give notices since obvious power go even areas affected system failure blackout vice versa,negative,
hey blackout since pm please look itlocationtassia police postmtr,positive,
anticipate technical hitch directed customers update token meters otherwise headed nationwide imposed blackout,negative,
token payment isnt working im blackout arent receiving calls replying texts disgrace,negative,
guys fix things last day accept fate must blackout night metre,positive,
hello wrong kplc bungoma branch today blackout hour funny enough system always slow everytime,negative,
wrong kenya power kapenguria blackout without official public communication,negative,
blackout kariobangi south started pm kindly restore power,positive,
another blackout,neutral,
blackout kariobangi south environ whats,neutral,
anywhere kirinyaga blackout since yesterday evening,neutral,
blackout even week lights frustration going kill us tell sorry say guys arent dependable,negative,
want report power blackout kariobangi please also find common could field team cashing allowances restoration meter number,positive,
power blackout ngong area stage nd oloolua close ac kindly check,positive,
blackout gravity supermarket near olekasasi police station rongai kajiado please restore weeks without power,positive,
hi power blackout since yesterday pm made complain given following reference nothing done kindly assist,negative,
reporting blackout,neutral,
cannot help problems apart updating face blackouts us facing blackout updation thing yet ignore call action texts really kiburi ya hii kenya ni mob sana,negative,
whole constituency blackout guys never balambala constituency,neutral,
blackout along kiambu road hrs updates please mtr,positive,
sotik theres blackout since today,neutral,
stima inapptea ovyo ovyo siku hizi even places announced blackout kwani guys employed nigerians,neutral,
blackout yet region indicated,neutral,
major blackout bureti currently kindly assist,positive,
hello kplc bought tokens received updating codes put token metre read reject house blackout kindly help metre,positive,
long going punish us every evening part litein remains blackout upto nine pm past nine rationing without notice much,negative,
schedule today kariokorziwani ward included blackout could reason,neutral,
sportsroad westlands power blackout day help ac,positive,
despite blackout day pm power hasnt restored businesses halt kindly restore,positive,
umoja massive blackout,neutral,
total blackout parts mtwapa past days could problem notice issued whatsoever,negative,
ac low voltage since nothing seems done better full blackout,negative,
whats deal power westlands st michaels road yesterday blackout today well,positive,
power blackout umoja one kindly reply lets know whats going,positive,
hi guys ruiru btl darkness since last night please help unlock blackout,positive,
booked reference number blackout since yesterday yet fixed happening,positive,
muhoroni subcounty especially area around korusoin dam experiencing frequent blackouts power keeps coming back disappearing simultaneously electronics risk kindly stabilize power around area right utter blackout tia,positive,
meter yesterday didnt power around hrs experiencing another blackout hrs sunday kindly address mwihoko area,positive,
hi blackout south b nerkwo area please assist,positive,
hi kenya power still blackout kingeero mwisho junction end lower kabete road meters shule ya ndurarwa meters enezer primary school heading wangige pls assist us account number,negative,
kindly assist theres power blackout komarock since yesterday pm let us know issue,positive,
massive blackout umoja wrong,negative,
kindly resolve blackout situation since yesterday meter number,positive,
power blackout katani since yesterday pm till efforts call talk customer care unsuccessful kindly let us know happening also happened last week,positive,
frequent blackout narok south could bout somewhere,neutral,
power blackout kayole mihango stage pm efforts call talk customer care unsuccessful kindly reply let us know going,positive,
area experiencing total blackout pm till stima inasumbua,neutral,
blackout whole kayole sabasaba kwa chief cooperative bank area,neutral,
evening blackout mwihoko since pm afternoon kindly urgently assist account number,positive,
booking fix issue people power day moment gets pm blackout guys joke much,positive,
respond dms scheduled blackout every night like guys us favor pay services,positive,
blackout mtr,neutral,
manyatta area kisumu blackout,neutral,
theres power outage since pm mwihoko kizito area total blackoutwhat happening disrupting activities,neutral,
another blackout mlolongo phase immediately darkness crept whats matter jameni metre,negative,
area listed bt theres blackout,neutral,
maintenance scheduled githurai since blackout till,neutral,
kariobangi south blackout three hours cant see scheduled maintenance today,neutral,
whats happening area whole weeks power blackout businesses suffering,negative,
blackout thursday area issue,neutral,
blackout kinoo since thursday issue resolved,positive,
town called magunga suba south subcounty homabay county electricity whole week unimaginable blackout two days reason,neutral,
ive tried updating telling failed need help currently blackout,negative,
cover bukembe east bungoma experiencing power outage nights blackout pm next day around pm,neutral,
afternoon blackout noon today sagana kirinyaga specifically sagana garden inn pazuri camp area meter number kindly look,positive,
following phased power blackout reported yesterday nothing done ref bad feeling seeing neighbors power,positive,
ready countrywide blackout pm today thats x space engage darkness,positive,
blackout since last night kinoo,neutral,
people jokers called mtengeneze post ilikuwa inaaguka day question mbona mtengeneze give us power like hrs go blackout located across road days power,positive,
phase blackout kasarani please help meter,positive,
whole community chemwa sikata blackout four months yet nothing done bungoma office staff bungoma offices rude unprofessional please assist us unacceptable,negative,
whats mess power kiamumbi area near kizuri weve blackout midday till need power continue working people agreed govt torture us avenues sad,negative,
nationwide power blackout kenyans thank later httpsxcommuthonikatesmuthonikatestatus,positive,
kenya power still blackout kingeero mwisho junction end lower kabete road meters shule ya ndurarwa meters enezer primary school heading wangige pls assist us account number,negative,
hi kenya power still still blackout kingeero mwisho junction end lower kabete road meters shule ya ndurarwa meters enezer primary school heading wangige pls help account number,positive,
please weve blackout response yet korusoin dam got alila dr robert ouko primary school please check restore power thanks advance,positive,
bought kplc tokens nd july sent update steps plus codes however ciu picking codes key tokens im blackout please help,positive,
cant see muthure lower kabete theres blackout since morning whats happening,positive,
power blackout umoja near mwangaza nursery school since yesterday please check rectify,positive,
hi kenya power still blackout kingeero mwisho junction end lower kabete road meters shule ya ndurarwa meters enezer primary school heading wangige pls pls assist us account number,negative,
hi kenya power still blackout kingeero mwisho junction end lower kabete road meters shule ya ndurarwa meters enezer primary school heading wangige please assist us account number,positive,
good morning blackout ruaka next ack gacharage church third blackout area less week please advise reference number kindly assist,positive,
blackout tassia police post past httpminsmtr,neutral,
blackout almost days since saturday lucky summer acem close around mwalimu plaza area please assist metre number,positive,
blackout ruaka next ack gacharage church reference number kindly assist,positive,
helloblackout utawala near astrol petrol station pm upto,neutral,
blackout utawalamihango area hrs caused rapid winds near twinkids area please assist,positive,
hata th haijafika na blackout imeanza,neutral,
blackout since yesterday evening along manyanja rd yet neighboring houses electricity including next door neighbor hrs without power wth going,positive,
weve got partial blackoutone line meter mwamba town near wisdom primary school mwamba,positive,
dear kenya power power blackout ulowe mudhiero sidindi ugunja constituency siaya county since january despite complaints solution provided transformer issue please intervene restore electricity,positive,
hi meter loading tokens blackout since morning,neutral,
yall fixed blackout situation zimmerman,neutral,
theres blackout since yesterday evening zimmerman next deliverance church whats happening meter,neutral,
kahawa wendani experiencing power outage two weeks row week one total blackout week dim lightspower sockets boom experiencing total power outage region nowhere maintenance list jameni,neutral,
blackout kahawa sukari please,positive,
blackout since yesterday evening till zimmerman base wankan academy area whats happening,neutral,
please note power area forest close gatongora area meter number blackout happens every tuesday,positive,
hey dont document juja fully doesnt appear two successive days whole day blackout whats happening,negative,
dear kenya power power blackout ulowe mudhiero sidindi ugunja constituency siaya county since january despite complaints solution provided transformer issue please intervene restore electricitythanks,positive,
half zimmerman carwash blackout send technicians buana,neutral,
blackout everyday pm good geltmen,positive,
blackout whole month reached severally vain,negative,
kplc kwani hii ni nation wide blackout ama namna gani,neutral,
blackout hour,neutral,
hey got blackout kahawa wendani near wendani junior academy please something happening regularly meter,positive,
please check dm still blackout,positive,
nd day power going blackout think number today ac fixing nothing changing,positive,
blackout ruaka next ack gacharage church reference number kindly assist,positive,
kumanina zenu middle protests kuna blackout asking juja area,negative,
nowadays blackout everyday syokimau jirani court along katani road kindly sort ac mtr,positive,
hello team experiencing power blackout since morning notice given location banana karuri near starwood hotel shalom heights apartments please restore power inconvenience,positive,
blackout since yesterday morning area,neutral,
good morning kindly sort section ruai block highway road always blackout due faulted transformer tune complain kila time normally take days repair put back kindly sort us,positive,
hey blackout ruaka area blackout entire day yesterday address ac,neutral,
blackout dandora three days,neutral,
blackout kahawa wendani since yesterday seems like power outage foods getting bad morning slow response,negative,
blackout busia behind busia boarder palace ac mno kindly resolve thisits routine upto tomorrow,positive,
blackout hii masaashually,neutral,
blackout please something kimbo matangini police post area,positive,
blackout mandera west especially afalo area since last year kindly send recruited officer area,positive,
another day blackout great job,positive,
rongai kwani mnafanya rationing siku hizi na hamsemi past one month weve blackout every monday frustrating turudishieni stima ama tuanze occupykplc mmetuzoea,negative,
week blackout kiine primary kerugoyaa cable fellefforts fixed fruitless,neutral,
week trying ask restore power area empty promises always havent able update meter due blackout kindly somethingmeter number location sipili around new dawn orphans secondary school,positive,
blackout sheik karume street nairobi cbd thursday night still blackout dont know taking almost hrs fix,neutral,
make sure gen z match towards statehouse blackout statehouse sounding areas,positive,
power blackout report th june since yesterday pm area mathikeri area kagumoini tea collection centre kiangai tenminute drive karatina heading kerugoya nearest school kiangai primary school please help,positive,
customer care number ever put someone hold whole minutes area scheduled blackout yet power number isnt working please something,positive,
experiencing blackout mlolongo phase near ngwata primary metre,neutral,
hello kenya power area kobil embakasi near southfield mall blackout since yesterday loosing business things go bad fridges kindly help,positive,
experiencing blackout since parts ruakagacharage areas team yet respond resolve,positive,
resort spamming notified blackout weve since last week saturday got feedback meter,negative,
lost power yesterday pm still blackout please rectify area madaraka next maryhill girls secondary school meter scheduled maintenance,neutral,
notified blackout weve since last week saturday got feedback meter,neutral,
whats happenning blackout since yesterday juja,neutral,
hey blackout area ac,neutral,
blackout since yesterday night check us gitarumlango soko area kikuyu account number one side transformer serving area light side doesnt,positive,
power juja blackout since yesterday evening around pm send team restorre electricity supply,neutral,
blackout kenyatta road area juja kindly work issue restore lights,positive,
power blackout kahawa wendani meter send technicians fix,neutral,
rudisheni hii transformer blackout several days surely hapa chokaa incompetent kazi zimesimama ruining us fix,negative,
power blackout kikuyu maa hii please assist,positive,
mko na ujinga sana blackout need see whats happening,neutral,
reported power blackout area monday upto date action booked ref please something causing lot inconvenience,negative,
hello team kplc kanyamedha secondary school kisumu west suburban blackout days whats problem long take fix,negative,
kplc systems since forever able update meter load tokens attempts call customer care assistance futile darkness onto hour blackout please sort,positive,
morning since yesterday power blackout made kplc engineers forgot return pin connecting main line transformer location lucky summer plot santana meter,positive,
makadara hamza blackout alot theft ongoing kindly restore us kindly meter number reference,positive,
hi kenyapower promised power would back pm ruaka environs one hour later still blackout kindly resolve issue,positive,
blackout,neutral,
mbona blackout area,neutral,
experiencing power blackout meter youre negatively affecting online resistance finance bill,neutral,
tell us parts uasingishu blackout rejectfinancebill,neutral,
good morning kakamega maraba blackout since yesterday,positive,
hello experiencing blackout kasarani seasons behind dos officeyet didnt issue notice maintenance,neutral,
guys south uyoma siaya nyanza blackout since saturday juu ya pole yenye ilianguka happened field agents guys something,neutral,
scheduled blackout thika road today tuko gizanimchana,neutral,
hisudden blackout utawala gives kindly assist,positive,
engineered blackout chebwagan stop us occupying litein town tomorrow promise wont change stand without power viva,positive,
kindly send technical team one transformers obama estate sparking seems like loose connection one phases causin partial blackout interval minutes appliances risk,positive,
kenya power aiding govt blackout kesho,neutral,
field jana almost touched illegal connection live wire shit scary mean legitimized illegal connections slum areas,negative,
also suspected many connections fron single line hence reason cutout,negative,
post leaning hazardously kindly assist fixing area mlolongo behind car wash hotel connections,positive,
cant tell really cant many connections could keeping thaat busy,neutral,
dear seems tree cutting rampage considered underground connections instead ugly poles think better option instead destroying trees left concrete jungle,negative,
hi unfortunately power tassia kwa ndege estate disconnected due illegal connections seems might take restored,negative,
take note complaint number nothing done since thursday th monthfor long customers endangered faulty distribution lines loose connections making houses uninhabitable,negative,
incompetent corrupt company kenya power knows illegal connections lazy anything profiting coz cant understand happening watch year yet,negative,
take away transformers whole area call affected come offices discussions discussions connections made formally use systems confirm client client,negative,
power olepolos ngong two days running illegal connections yet cant anything paying electricity,negative,
hello guys restore connections back migori come,positive,
complain instead legalizing illegal connectionsthey choose ac pass cost legally connected upuzi,negative,
meter complaints day electricity customers team took away transformer coz illegal connections yet staff involved regional manager act decisively perennial problem,negative,
nowadays pple interrupt power connections pastime youre looking overtime therefore creating work theres none whole junction kodoyo homabay affected account kindly deal,positive,
